from,to,subject_cui,object_cui,pmid,pmid_url,sentence
Hypertension,Alzheimers,C0020538,C0002395,12480731,https://pubmed.ncbi.nlm.nih.gov/12480731,"The consequences of hypertension include cerebrovascular disease, coronary heart disease, and general atherosclerosis."
Hypertension,Alzheimers,C0020538,C0002395,12480731,https://pubmed.ncbi.nlm.nih.gov/12480731,Hypertension and related factors in the etiology of Alzheimer's disease.
Hypertension,Alzheimers,C0020538,C0002395,17362841,https://pubmed.ncbi.nlm.nih.gov/17362841,"In recent years the renin-angiotensin system, already of recognised importance in the pathogenesis of hypertension, has become a source of interest in the pathogenesis of Alzheimer's disease."
Hypertension,Alzheimers,C0020538,C0002395,19555872,https://pubmed.ncbi.nlm.nih.gov/19555872,Cumulative evidence implicates hypertension in the pathogenesis of Alzheimer disease.
Hypertension,Alzheimers,C0020538,C0002395,22615109,https://pubmed.ncbi.nlm.nih.gov/22615109,"Interestingly, RAGE inhibition protected from hypertension-induced Alzheimer pathology, as showed by rescue from cognitive impairment and parenchymal Abeta deposition."
Hypertension,Alzheimers,C0020538,C0002395,22615109,https://pubmed.ncbi.nlm.nih.gov/22615109,"Overall we demonstrate that RAGE activation in brain vessels is a crucial pathogenetic event in hypertension-induced Alzheimer disease, suggesting that inhibiting this target can limit the onset of vascular-related Alzheimer disease."
Hypertension,Alzheimers,C0020538,C0002395,25976367,https://pubmed.ncbi.nlm.nih.gov/25976367,"Several preclinical and epidemiological studies have linked metabolic risk factors such as hypertension, obesity, dyslipidemia, and diabetes to the pathogenesis of AD."
Hypertension,Alzheimers,C0020538,C0002395,29568075,https://pubmed.ncbi.nlm.nih.gov/29568075,"Hypertension-induced endothelial dysfunction is associated with beta-amyloid (Abeta) deposition, a typical pathology of Alzheimer's disease (AD)."
Hypertension,Alzheimers,C0020538,C0002395,29568075,https://pubmed.ncbi.nlm.nih.gov/29568075,"In conclusion, eNOS downregulation contributed to hypertension-induced Alzheimer pathology and cognitive impairment."
Hypertension,Alzheimers,C0020538,C0002395,30854970,https://pubmed.ncbi.nlm.nih.gov/30854970,"Chronic, low-level environmental lead (Pb) exposure is associated with cognitive impairment, hypertension and mortality, and has been proposed as a potential cause of AD."
Hypertension,Alzheimers,C0020538,C0002395,31889399,https://pubmed.ncbi.nlm.nih.gov/31889399,The study result showed that HTN-induced AD regulated long-term memory (LTM) loss and neuronal degeneration in the SHR animals.
Hypertension,Alzheimers,C0020538,C0002395,31889399,https://pubmed.ncbi.nlm.nih.gov/31889399,Dipeptide IF prevents the effects of hypertension-induced Alzheimer's disease on long-term memory in the cortex of spontaneously hypertensive rats.
Hypertension,Alzheimers,C0020538,C0002395,34897090,https://pubmed.ncbi.nlm.nih.gov/34897090,Hypertension is a major risk factor for the pathogenesis of vascular dementia and Alzheimer's disease.
Hypertension,Alzheimers,C0020538,C0002395,38062190,https://pubmed.ncbi.nlm.nih.gov/38062190,The results suggest that the increased risk of AD owing to hypertension is mediated through stroke.
Hypertension,Alzheimers,C0020538,C0002395,38062190,https://pubmed.ncbi.nlm.nih.gov/38062190,This implies that approximately 55% of the risk of AD owing to hypertension can be attributed to stroke.
Hypertension,Alzheimers,C0020538,C0002395,9894287,https://pubmed.ncbi.nlm.nih.gov/9894287,"A possible consequence of these findings would be to prevent, or to postpone, AD by an early treatment of arterial hypertension."
Process,Alzheimers,C1522240,C0002395,10210631,https://pubmed.ncbi.nlm.nih.gov/10210631,"We discuss these findings in terms of a theory of reference processing, the Informational Load Hypothesis, which views referential impairments in AD as the consequence of normal discourse processing in the context of a working memory impairment."
Process,Alzheimers,C1522240,C0002395,10210631,https://pubmed.ncbi.nlm.nih.gov/10210631,"We discuss these findings in terms of a theory of reference processing, the Informational Load Hypothesis, which views referential impairments in AD as the consequence of normal discourse processing in the context of a working memory impairment."
Process,Alzheimers,C1522240,C0002395,10210631,https://pubmed.ncbi.nlm.nih.gov/10210631,"We discuss these findings in terms of a theory of reference processing, the Informational Load Hypothesis, which views referential impairments in AD as the consequence of normal discourse processing in the context of a working memory impairment."
Process,Alzheimers,C1522240,C0002395,10349334,https://pubmed.ncbi.nlm.nih.gov/10349334,"Although these data suggest that accumulation of A beta is an essential step in the pathogenesis of Alzheimer's disease, it still remains to be elucidated whether such process is causative for Alzheimer's disease."
Process,Alzheimers,C1522240,C0002395,10349334,https://pubmed.ncbi.nlm.nih.gov/10349334,"Amyloid precursor protein (APP), presenilin I (PS 1) and presenilin II (PS 2) genes have been identified as the causative genes for early-onset familial Alzheimer's disease."
Process,Alzheimers,C1522240,C0002395,10349334,https://pubmed.ncbi.nlm.nih.gov/10349334,"Recently another gene on chromosome 12 has been suggested to be involved in the development of late-onset Alzheimer's disease, and identification of the gene on chromosome 12 may bring a new insight into the pathogenesis of Alzheimer's disease."
Process,Alzheimers,C1522240,C0002395,10349334,https://pubmed.ncbi.nlm.nih.gov/10349334,"Although these data suggest that accumulation of A beta is an essential step in the pathogenesis of Alzheimer's disease, it still remains to be elucidated whether such process is causative for Alzheimer's disease."
Process,Alzheimers,C1522240,C0002395,10349334,https://pubmed.ncbi.nlm.nih.gov/10349334,"Amyloid precursor protein (APP), presenilin I (PS 1) and presenilin II (PS 2) genes have been identified as the causative genes for early-onset familial Alzheimer's disease."
Process,Alzheimers,C1522240,C0002395,10349334,https://pubmed.ncbi.nlm.nih.gov/10349334,"Recently another gene on chromosome 12 has been suggested to be involved in the development of late-onset Alzheimer's disease, and identification of the gene on chromosome 12 may bring a new insight into the pathogenesis of Alzheimer's disease."
Process,Alzheimers,C1522240,C0002395,10349334,https://pubmed.ncbi.nlm.nih.gov/10349334,"Although these data suggest that accumulation of A beta is an essential step in the pathogenesis of Alzheimer's disease, it still remains to be elucidated whether such process is causative for Alzheimer's disease."
Process,Alzheimers,C1522240,C0002395,10349334,https://pubmed.ncbi.nlm.nih.gov/10349334,"Amyloid precursor protein (APP), presenilin I (PS 1) and presenilin II (PS 2) genes have been identified as the causative genes for early-onset familial Alzheimer's disease."
Process,Alzheimers,C1522240,C0002395,10349334,https://pubmed.ncbi.nlm.nih.gov/10349334,"Recently another gene on chromosome 12 has been suggested to be involved in the development of late-onset Alzheimer's disease, and identification of the gene on chromosome 12 may bring a new insight into the pathogenesis of Alzheimer's disease."
Process,Alzheimers,C1522240,C0002395,10516307,https://pubmed.ncbi.nlm.nih.gov/10516307,Recent observations have begun to challenge this assumption by suggesting that earlier Abeta assemblies formed during the process of fibrillogenesis may also play a role in AD pathogenesis.
Process,Alzheimers,C1522240,C0002395,10516307,https://pubmed.ncbi.nlm.nih.gov/10516307,Both low molecular weight Abeta (LMW Abeta) and PF reproducibly induced toxicity in mixed brain cultures in a time- and concentration-dependent manner.
Process,Alzheimers,C1522240,C0002395,10516307,https://pubmed.ncbi.nlm.nih.gov/10516307,Recent observations have begun to challenge this assumption by suggesting that earlier Abeta assemblies formed during the process of fibrillogenesis may also play a role in AD pathogenesis.
Process,Alzheimers,C1522240,C0002395,10516307,https://pubmed.ncbi.nlm.nih.gov/10516307,Both low molecular weight Abeta (LMW Abeta) and PF reproducibly induced toxicity in mixed brain cultures in a time- and concentration-dependent manner.
Process,Alzheimers,C1522240,C0002395,10516307,https://pubmed.ncbi.nlm.nih.gov/10516307,Recent observations have begun to challenge this assumption by suggesting that earlier Abeta assemblies formed during the process of fibrillogenesis may also play a role in AD pathogenesis.
Process,Alzheimers,C1522240,C0002395,10516307,https://pubmed.ncbi.nlm.nih.gov/10516307,Both low molecular weight Abeta (LMW Abeta) and PF reproducibly induced toxicity in mixed brain cultures in a time- and concentration-dependent manner.
Process,Alzheimers,C1522240,C0002395,10616034,https://pubmed.ncbi.nlm.nih.gov/10616034,The fact that IL-6 is detectable in early stage diffuse plaques encourages the speculation that the acute-phase process is crucial to the pathogenesis of AD.
Process,Alzheimers,C1522240,C0002395,10616034,https://pubmed.ncbi.nlm.nih.gov/10616034,The fact that IL-6 is detectable in early stage diffuse plaques encourages the speculation that the acute-phase process is crucial to the pathogenesis of AD.
Process,Alzheimers,C1522240,C0002395,10616034,https://pubmed.ncbi.nlm.nih.gov/10616034,The fact that IL-6 is detectable in early stage diffuse plaques encourages the speculation that the acute-phase process is crucial to the pathogenesis of AD.
Process,Alzheimers,C1522240,C0002395,10818522,https://pubmed.ncbi.nlm.nih.gov/10818522,Our data suggest that ApoE modulates the outcome following cerebral ischemia via molecular events in common with AD pathogenesis.
Process,Alzheimers,C1522240,C0002395,10818522,https://pubmed.ncbi.nlm.nih.gov/10818522,We propose that ischemic-reperfusion processes in brain are the fountain-head of a cycle of molecular and cellular events that have neurodegenerative consequences which finally lead to AD.
Process,Alzheimers,C1522240,C0002395,10818522,https://pubmed.ncbi.nlm.nih.gov/10818522,Our data suggest that ApoE modulates the outcome following cerebral ischemia via molecular events in common with AD pathogenesis.
Process,Alzheimers,C1522240,C0002395,10818522,https://pubmed.ncbi.nlm.nih.gov/10818522,We propose that ischemic-reperfusion processes in brain are the fountain-head of a cycle of molecular and cellular events that have neurodegenerative consequences which finally lead to AD.
Process,Alzheimers,C1522240,C0002395,10818522,https://pubmed.ncbi.nlm.nih.gov/10818522,Our data suggest that ApoE modulates the outcome following cerebral ischemia via molecular events in common with AD pathogenesis.
Process,Alzheimers,C1522240,C0002395,10818522,https://pubmed.ncbi.nlm.nih.gov/10818522,We propose that ischemic-reperfusion processes in brain are the fountain-head of a cycle of molecular and cellular events that have neurodegenerative consequences which finally lead to AD.
Process,Alzheimers,C1522240,C0002395,10854253,https://pubmed.ncbi.nlm.nih.gov/10854253,This suggests that an altered function of mutated PSs accounts for a fundamental process leading to AD.
Process,Alzheimers,C1522240,C0002395,10854253,https://pubmed.ncbi.nlm.nih.gov/10854253,This suggests that an altered function of mutated PSs accounts for a fundamental process leading to AD.
Process,Alzheimers,C1522240,C0002395,10854253,https://pubmed.ncbi.nlm.nih.gov/10854253,This suggests that an altered function of mutated PSs accounts for a fundamental process leading to AD.
Process,Alzheimers,C1522240,C0002395,10899439,https://pubmed.ncbi.nlm.nih.gov/10899439,"While this suggests that oxidative stress is a proximal event in Alzheimer's disease pathogenesis, the mechanisms by which redox balance is altered in the disease remains elusive."
Process,Alzheimers,C1522240,C0002395,10899439,https://pubmed.ncbi.nlm.nih.gov/10899439,"Determining which of the proposed sources of free radicals, which include mitochondrial dysfunction, amyloid-beta-mediated processes, transition metal accumulation and genetic factors like apolipoprotein E and presenilins, is responsible for redox imbalance will lead to a better understanding of Alzheimer's disease pathogenesis and novel therapeutic approaches."
Process,Alzheimers,C1522240,C0002395,10899439,https://pubmed.ncbi.nlm.nih.gov/10899439,"While this suggests that oxidative stress is a proximal event in Alzheimer's disease pathogenesis, the mechanisms by which redox balance is altered in the disease remains elusive."
Process,Alzheimers,C1522240,C0002395,10899439,https://pubmed.ncbi.nlm.nih.gov/10899439,"Determining which of the proposed sources of free radicals, which include mitochondrial dysfunction, amyloid-beta-mediated processes, transition metal accumulation and genetic factors like apolipoprotein E and presenilins, is responsible for redox imbalance will lead to a better understanding of Alzheimer's disease pathogenesis and novel therapeutic approaches."
Process,Alzheimers,C1522240,C0002395,10899439,https://pubmed.ncbi.nlm.nih.gov/10899439,"While this suggests that oxidative stress is a proximal event in Alzheimer's disease pathogenesis, the mechanisms by which redox balance is altered in the disease remains elusive."
Process,Alzheimers,C1522240,C0002395,10899439,https://pubmed.ncbi.nlm.nih.gov/10899439,"Determining which of the proposed sources of free radicals, which include mitochondrial dysfunction, amyloid-beta-mediated processes, transition metal accumulation and genetic factors like apolipoprotein E and presenilins, is responsible for redox imbalance will lead to a better understanding of Alzheimer's disease pathogenesis and novel therapeutic approaches."
Process,Alzheimers,C1522240,C0002395,11131295,https://pubmed.ncbi.nlm.nih.gov/11131295,Unregulated systemic immune processes are secondary but important as a driving-force role in AD pathogenesis.
Process,Alzheimers,C1522240,C0002395,11131295,https://pubmed.ncbi.nlm.nih.gov/11131295,"Atherosclerosis, an underlying cause of myocardial infarction, stroke, and other cardiovascular diseases, consists of focal plaques characterized by cholesterol deposition, fibrosis, and inflammation."
Process,Alzheimers,C1522240,C0002395,11131295,https://pubmed.ncbi.nlm.nih.gov/11131295,"In Alzheimer's disease (AD), the primary degenerative process of amyloid-beta (AJ3) protein precedes a cascade of events that ultimately leads to a local \brain inflammatory response\."
Process,Alzheimers,C1522240,C0002395,11131295,https://pubmed.ncbi.nlm.nih.gov/11131295,Unregulated systemic immune processes are secondary but important as a driving-force role in AD pathogenesis.
Process,Alzheimers,C1522240,C0002395,11131295,https://pubmed.ncbi.nlm.nih.gov/11131295,"Atherosclerosis, an underlying cause of myocardial infarction, stroke, and other cardiovascular diseases, consists of focal plaques characterized by cholesterol deposition, fibrosis, and inflammation."
Process,Alzheimers,C1522240,C0002395,11131295,https://pubmed.ncbi.nlm.nih.gov/11131295,"In Alzheimer's disease (AD), the primary degenerative process of amyloid-beta (AJ3) protein precedes a cascade of events that ultimately leads to a local \brain inflammatory response\."
Process,Alzheimers,C1522240,C0002395,11131295,https://pubmed.ncbi.nlm.nih.gov/11131295,Unregulated systemic immune processes are secondary but important as a driving-force role in AD pathogenesis.
Process,Alzheimers,C1522240,C0002395,11131295,https://pubmed.ncbi.nlm.nih.gov/11131295,"Atherosclerosis, an underlying cause of myocardial infarction, stroke, and other cardiovascular diseases, consists of focal plaques characterized by cholesterol deposition, fibrosis, and inflammation."
Process,Alzheimers,C1522240,C0002395,11131295,https://pubmed.ncbi.nlm.nih.gov/11131295,"In Alzheimer's disease (AD), the primary degenerative process of amyloid-beta (AJ3) protein precedes a cascade of events that ultimately leads to a local \brain inflammatory response\."
Process,Alzheimers,C1522240,C0002395,11140685,https://pubmed.ncbi.nlm.nih.gov/11140685,"Much evidence indicates that abnormal processing and extracellular deposition of amyloid-beta peptide (A beta), a proteolytic derivative of the beta-amyloid precursor protein (betaAPP), is central to the pathogenesis of Alzheimer's disease (reviewed in ref. 1)."
Process,Alzheimers,C1522240,C0002395,11140685,https://pubmed.ncbi.nlm.nih.gov/11140685,"Evidence that A beta immunization also reduces cognitive dysfunction in murine models of Alzheimer's disease would support the hypothesis that abnormal A beta processing is essential to the pathogenesis of Alzheimer's disease, and would encourage the development of other strategies directed at the 'amyloid cascade'."
