from,to,subject_cui,object_cui,pmid,pmid_url,sentence
Alzheimers,Inflammation,C0002395,C0021368,12009502,https://pubmed.ncbi.nlm.nih.gov/12009502,Amyloid-beta protein (Abeta) is implicated in the pathogenesis of Alzheimer's disease because of its neurotoxicity and the ability to trigger local inflammation.
Alzheimers,Inflammation,C0002395,C0021368,12009502,https://pubmed.ncbi.nlm.nih.gov/12009502,Amyloid-beta protein (Abeta) is implicated in the pathogenesis of Alzheimer's disease because of its neurotoxicity and the ability to trigger local inflammation.
Alzheimers,Inflammation,C0002395,C0021368,12009502,https://pubmed.ncbi.nlm.nih.gov/12009502,Amyloid-beta protein (Abeta) is implicated in the pathogenesis of Alzheimer's disease because of its neurotoxicity and the ability to trigger local inflammation.
Alzheimers,Inflammation,C0002395,C0021368,12646202,https://pubmed.ncbi.nlm.nih.gov/12646202,"beta-Amyloid peptide (A beta), a major component of senile plaques, the formation of which is characteristic of Alzheimer's disease (AD), is believed to induce inflammation of the brain mediated by microglia, leading to neuronal cell loss."
Alzheimers,Inflammation,C0002395,C0021368,12646202,https://pubmed.ncbi.nlm.nih.gov/12646202,"beta-Amyloid peptide (A beta), a major component of senile plaques, the formation of which is characteristic of Alzheimer's disease (AD), is believed to induce inflammation of the brain mediated by microglia, leading to neuronal cell loss."
Alzheimers,Inflammation,C0002395,C0021368,12646202,https://pubmed.ncbi.nlm.nih.gov/12646202,"beta-Amyloid peptide (A beta), a major component of senile plaques, the formation of which is characteristic of Alzheimer's disease (AD), is believed to induce inflammation of the brain mediated by microglia, leading to neuronal cell loss."
Alzheimers,Inflammation,C0002395,C0021368,15811602,https://pubmed.ncbi.nlm.nih.gov/15811602,The major pathological consequence of Alzheimer disease (AD) is accumulation of beta-amyloid (Abeta) peptide fibrillar plaque in the brain and subsequent inflammatory reaction associated with the surrounding cells due to the presence of these aggregates.
Alzheimers,Inflammation,C0002395,C0021368,15811602,https://pubmed.ncbi.nlm.nih.gov/15811602,"DL-alpha-lipoic acid (LA), an antioxidant with known function as cofactor in mitochondrial dehydrogenase reactions, will be a good candidate to annul the oxidative damage due to vaccination triggered inflammation."
Alzheimers,Inflammation,C0002395,C0021368,15811602,https://pubmed.ncbi.nlm.nih.gov/15811602,The major pathological consequence of Alzheimer disease (AD) is accumulation of beta-amyloid (Abeta) peptide fibrillar plaque in the brain and subsequent inflammatory reaction associated with the surrounding cells due to the presence of these aggregates.
Alzheimers,Inflammation,C0002395,C0021368,15811602,https://pubmed.ncbi.nlm.nih.gov/15811602,"DL-alpha-lipoic acid (LA), an antioxidant with known function as cofactor in mitochondrial dehydrogenase reactions, will be a good candidate to annul the oxidative damage due to vaccination triggered inflammation."
Alzheimers,Inflammation,C0002395,C0021368,15811602,https://pubmed.ncbi.nlm.nih.gov/15811602,The major pathological consequence of Alzheimer disease (AD) is accumulation of beta-amyloid (Abeta) peptide fibrillar plaque in the brain and subsequent inflammatory reaction associated with the surrounding cells due to the presence of these aggregates.
Alzheimers,Inflammation,C0002395,C0021368,15811602,https://pubmed.ncbi.nlm.nih.gov/15811602,"DL-alpha-lipoic acid (LA), an antioxidant with known function as cofactor in mitochondrial dehydrogenase reactions, will be a good candidate to annul the oxidative damage due to vaccination triggered inflammation."
Alzheimers,Inflammation,C0002395,C0021368,17027528,https://pubmed.ncbi.nlm.nih.gov/17027528,"Although the precise molecular and cellular relationship between AD and inflammation remains unclear, interleukins and cytokines might induce activation of signaling pathways leading to futher inflammation and neuronal injury."
Alzheimers,Inflammation,C0002395,C0021368,17027528,https://pubmed.ncbi.nlm.nih.gov/17027528,"Epidemiologic data as well as clinical trial evidence suggest that nonsteroidal anti-inflammatory drug (NSAID) use may decrease the incidence of AD, further supporting a role for inflammation in AD pathogenesis."
Alzheimers,Inflammation,C0002395,C0021368,17027528,https://pubmed.ncbi.nlm.nih.gov/17027528,"Although the precise molecular and cellular relationship between AD and inflammation remains unclear, interleukins and cytokines might induce activation of signaling pathways leading to futher inflammation and neuronal injury."
Alzheimers,Inflammation,C0002395,C0021368,17027528,https://pubmed.ncbi.nlm.nih.gov/17027528,"Epidemiologic data as well as clinical trial evidence suggest that nonsteroidal anti-inflammatory drug (NSAID) use may decrease the incidence of AD, further supporting a role for inflammation in AD pathogenesis."
Alzheimers,Inflammation,C0002395,C0021368,17027528,https://pubmed.ncbi.nlm.nih.gov/17027528,"Although the precise molecular and cellular relationship between AD and inflammation remains unclear, interleukins and cytokines might induce activation of signaling pathways leading to futher inflammation and neuronal injury."
Alzheimers,Inflammation,C0002395,C0021368,17027528,https://pubmed.ncbi.nlm.nih.gov/17027528,"Epidemiologic data as well as clinical trial evidence suggest that nonsteroidal anti-inflammatory drug (NSAID) use may decrease the incidence of AD, further supporting a role for inflammation in AD pathogenesis."
Alzheimers,Inflammation,C0002395,C0021368,20205641,https://pubmed.ncbi.nlm.nih.gov/20205641,Morbidities of aging and Alzheimer's disease (AD) have been related to defective functions of both T cells and macrophages leading to brain amyloidosis and inflammation.
Alzheimers,Inflammation,C0002395,C0021368,20205641,https://pubmed.ncbi.nlm.nih.gov/20205641,Morbidities of aging and Alzheimer's disease (AD) have been related to defective functions of both T cells and macrophages leading to brain amyloidosis and inflammation.
Alzheimers,Inflammation,C0002395,C0021368,20205641,https://pubmed.ncbi.nlm.nih.gov/20205641,Morbidities of aging and Alzheimer's disease (AD) have been related to defective functions of both T cells and macrophages leading to brain amyloidosis and inflammation.
Alzheimers,Inflammation,C0002395,C0021368,21278785,https://pubmed.ncbi.nlm.nih.gov/21278785,"Furthermore, the dose of evodiamine significantly decreased the expression of IL-1beta, IL-6, TNF-alpha, and COX-2 that were involved in the inflammation due to Alzheimer's disease."
Alzheimers,Inflammation,C0002395,C0021368,21278785,https://pubmed.ncbi.nlm.nih.gov/21278785,"Furthermore, the dose of evodiamine significantly decreased the expression of IL-1beta, IL-6, TNF-alpha, and COX-2 that were involved in the inflammation due to Alzheimer's disease."
Alzheimers,Inflammation,C0002395,C0021368,21278785,https://pubmed.ncbi.nlm.nih.gov/21278785,"Furthermore, the dose of evodiamine significantly decreased the expression of IL-1beta, IL-6, TNF-alpha, and COX-2 that were involved in the inflammation due to Alzheimer's disease."
Alzheimers,Inflammation,C0002395,C0021368,24424131,https://pubmed.ncbi.nlm.nih.gov/24424131,"It plays an important role in rheumatoid arthritis, organ transplant rejection, Alzheimer's disease and also causes inflammation."
