from,to,subject_cui,object_cui,pmid,pmid_url,sentence
Hypertension,Alzheimers,C0020538,C0002395,12480731,https://pubmed.ncbi.nlm.nih.gov/12480731,"The consequences of hypertension include cerebrovascular disease, coronary heart disease, and general atherosclerosis."
Hypertension,Alzheimers,C0020538,C0002395,12480731,https://pubmed.ncbi.nlm.nih.gov/12480731,Hypertension and related factors in the etiology of Alzheimer's disease.
Hypertension,Alzheimers,C0020538,C0002395,17362841,https://pubmed.ncbi.nlm.nih.gov/17362841,"In recent years the renin-angiotensin system, already of recognised importance in the pathogenesis of hypertension, has become a source of interest in the pathogenesis of Alzheimer's disease."
Hypertension,Alzheimers,C0020538,C0002395,19555872,https://pubmed.ncbi.nlm.nih.gov/19555872,Cumulative evidence implicates hypertension in the pathogenesis of Alzheimer disease.
Hypertension,Alzheimers,C0020538,C0002395,22615109,https://pubmed.ncbi.nlm.nih.gov/22615109,"Interestingly, RAGE inhibition protected from hypertension-induced Alzheimer pathology, as showed by rescue from cognitive impairment and parenchymal Abeta deposition."
Hypertension,Alzheimers,C0020538,C0002395,22615109,https://pubmed.ncbi.nlm.nih.gov/22615109,"Overall we demonstrate that RAGE activation in brain vessels is a crucial pathogenetic event in hypertension-induced Alzheimer disease, suggesting that inhibiting this target can limit the onset of vascular-related Alzheimer disease."
Hypertension,Alzheimers,C0020538,C0002395,25976367,https://pubmed.ncbi.nlm.nih.gov/25976367,"Several preclinical and epidemiological studies have linked metabolic risk factors such as hypertension, obesity, dyslipidemia, and diabetes to the pathogenesis of AD."
Hypertension,Alzheimers,C0020538,C0002395,29568075,https://pubmed.ncbi.nlm.nih.gov/29568075,"Hypertension-induced endothelial dysfunction is associated with beta-amyloid (Abeta) deposition, a typical pathology of Alzheimer's disease (AD)."
Hypertension,Alzheimers,C0020538,C0002395,29568075,https://pubmed.ncbi.nlm.nih.gov/29568075,"In conclusion, eNOS downregulation contributed to hypertension-induced Alzheimer pathology and cognitive impairment."
Hypertension,Alzheimers,C0020538,C0002395,30854970,https://pubmed.ncbi.nlm.nih.gov/30854970,"Chronic, low-level environmental lead (Pb) exposure is associated with cognitive impairment, hypertension and mortality, and has been proposed as a potential cause of AD."
Hypertension,Alzheimers,C0020538,C0002395,31889399,https://pubmed.ncbi.nlm.nih.gov/31889399,The study result showed that HTN-induced AD regulated long-term memory (LTM) loss and neuronal degeneration in the SHR animals.
Hypertension,Alzheimers,C0020538,C0002395,31889399,https://pubmed.ncbi.nlm.nih.gov/31889399,Dipeptide IF prevents the effects of hypertension-induced Alzheimer's disease on long-term memory in the cortex of spontaneously hypertensive rats.
Hypertension,Alzheimers,C0020538,C0002395,34897090,https://pubmed.ncbi.nlm.nih.gov/34897090,Hypertension is a major risk factor for the pathogenesis of vascular dementia and Alzheimer's disease.
Hypertension,Alzheimers,C0020538,C0002395,38062190,https://pubmed.ncbi.nlm.nih.gov/38062190,The results suggest that the increased risk of AD owing to hypertension is mediated through stroke.
Hypertension,Alzheimers,C0020538,C0002395,38062190,https://pubmed.ncbi.nlm.nih.gov/38062190,This implies that approximately 55% of the risk of AD owing to hypertension can be attributed to stroke.
Hypertension,Alzheimers,C0020538,C0002395,9894287,https://pubmed.ncbi.nlm.nih.gov/9894287,"A possible consequence of these findings would be to prevent, or to postpone, AD by an early treatment of arterial hypertension."
receptor,Alzheimers,C0597357,C0002395,11263271,https://pubmed.ncbi.nlm.nih.gov/11263271,"These receptors play important roles in memory and cognition and participate in the pathogenesis of several brain disorders (Parkinson's and Alzheimer's diseases, Tourette's syndrome, schizophrenia, depression, attention deficit disorder)."
receptor,Alzheimers,C0597357,C0002395,11263271,https://pubmed.ncbi.nlm.nih.gov/11263271,"These receptors play important roles in memory and cognition and participate in the pathogenesis of several brain disorders (Parkinson's and Alzheimer's diseases, Tourette's syndrome, schizophrenia, depression, attention deficit disorder)."
receptor,Alzheimers,C0597357,C0002395,11263271,https://pubmed.ncbi.nlm.nih.gov/11263271,"These receptors play important roles in memory and cognition and participate in the pathogenesis of several brain disorders (Parkinson's and Alzheimer's diseases, Tourette's syndrome, schizophrenia, depression, attention deficit disorder)."
receptor,Alzheimers,C0597357,C0002395,15013213,https://pubmed.ncbi.nlm.nih.gov/15013213,"In this context, it is interesting that LDL receptor-related protein is a receptor for MK and PTN, and this receptor has been implicated in the pathogenesis of Alzheimer's disease."
receptor,Alzheimers,C0597357,C0002395,15013213,https://pubmed.ncbi.nlm.nih.gov/15013213,"In this context, it is interesting that LDL receptor-related protein is a receptor for MK and PTN, and this receptor has been implicated in the pathogenesis of Alzheimer's disease."
receptor,Alzheimers,C0597357,C0002395,15013213,https://pubmed.ncbi.nlm.nih.gov/15013213,"In this context, it is interesting that LDL receptor-related protein is a receptor for MK and PTN, and this receptor has been implicated in the pathogenesis of Alzheimer's disease."
receptor,Alzheimers,C0597357,C0002395,17493709,https://pubmed.ncbi.nlm.nih.gov/17493709,"These findings indicate that alpha7 nAChR may play a significant neuroprotective role by enhancing cleavage of APP by alpha-secretase, regulating signal transduction, improving antioxidant defenses and inhibiting the toxicity of Abeta, which is connected with the pathogenesis of AD."
receptor,Alzheimers,C0597357,C0002395,17493709,https://pubmed.ncbi.nlm.nih.gov/17493709,The consequences of reducing expression of the alpha7 nicotinic receptor by RNA interference and of stimulating its activity with an alpha7 agonist in SH-SY5Y cells indicate that this receptor plays a neuroprotective role in connection with the pathogenesis of Alzheimer's disease.
receptor,Alzheimers,C0597357,C0002395,17493709,https://pubmed.ncbi.nlm.nih.gov/17493709,"In order to examine the neuroprotective effects of the alpha7 nicotinic receptor (nAChR) in relationship to the pathogenesis of Alzheimer's disease (AD), neuroblastoma (SH-SY5Y) cells were transfected with small interference RNAs (siRNAs) that targets specifically towards alpha7 nAChR or exposed to 20microM 3-[2,4-dimethoxybenzylidene] anabaseine (DMXB), a selective agonist of this same receptor."
receptor,Alzheimers,C0597357,C0002395,17493709,https://pubmed.ncbi.nlm.nih.gov/17493709,"These findings indicate that alpha7 nAChR may play a significant neuroprotective role by enhancing cleavage of APP by alpha-secretase, regulating signal transduction, improving antioxidant defenses and inhibiting the toxicity of Abeta, which is connected with the pathogenesis of AD."
receptor,Alzheimers,C0597357,C0002395,17493709,https://pubmed.ncbi.nlm.nih.gov/17493709,The consequences of reducing expression of the alpha7 nicotinic receptor by RNA interference and of stimulating its activity with an alpha7 agonist in SH-SY5Y cells indicate that this receptor plays a neuroprotective role in connection with the pathogenesis of Alzheimer's disease.
receptor,Alzheimers,C0597357,C0002395,17493709,https://pubmed.ncbi.nlm.nih.gov/17493709,"In order to examine the neuroprotective effects of the alpha7 nicotinic receptor (nAChR) in relationship to the pathogenesis of Alzheimer's disease (AD), neuroblastoma (SH-SY5Y) cells were transfected with small interference RNAs (siRNAs) that targets specifically towards alpha7 nAChR or exposed to 20microM 3-[2,4-dimethoxybenzylidene] anabaseine (DMXB), a selective agonist of this same receptor."
receptor,Alzheimers,C0597357,C0002395,17493709,https://pubmed.ncbi.nlm.nih.gov/17493709,"These findings indicate that alpha7 nAChR may play a significant neuroprotective role by enhancing cleavage of APP by alpha-secretase, regulating signal transduction, improving antioxidant defenses and inhibiting the toxicity of Abeta, which is connected with the pathogenesis of AD."
receptor,Alzheimers,C0597357,C0002395,17493709,https://pubmed.ncbi.nlm.nih.gov/17493709,The consequences of reducing expression of the alpha7 nicotinic receptor by RNA interference and of stimulating its activity with an alpha7 agonist in SH-SY5Y cells indicate that this receptor plays a neuroprotective role in connection with the pathogenesis of Alzheimer's disease.
receptor,Alzheimers,C0597357,C0002395,17493709,https://pubmed.ncbi.nlm.nih.gov/17493709,"In order to examine the neuroprotective effects of the alpha7 nicotinic receptor (nAChR) in relationship to the pathogenesis of Alzheimer's disease (AD), neuroblastoma (SH-SY5Y) cells were transfected with small interference RNAs (siRNAs) that targets specifically towards alpha7 nAChR or exposed to 20microM 3-[2,4-dimethoxybenzylidene] anabaseine (DMXB), a selective agonist of this same receptor."
receptor,Alzheimers,C0597357,C0002395,18800618,https://pubmed.ncbi.nlm.nih.gov/18800618,"These receptors play important roles in attention, memory, and cognition and participate in the pathogenesis of several neuropsychiatric disorders (schizophrenia, depression, anxiety disorders, Parkinson's and Alzheimer's diseases, attention-deficit hyperactivity disorders, Tourette's syndrome, and autosomal dominant nocturnal frontal lobe epilepsy)."
receptor,Alzheimers,C0597357,C0002395,18800618,https://pubmed.ncbi.nlm.nih.gov/18800618,"These receptors play important roles in attention, memory, and cognition and participate in the pathogenesis of several neuropsychiatric disorders (schizophrenia, depression, anxiety disorders, Parkinson's and Alzheimer's diseases, attention-deficit hyperactivity disorders, Tourette's syndrome, and autosomal dominant nocturnal frontal lobe epilepsy)."
receptor,Alzheimers,C0597357,C0002395,18800618,https://pubmed.ncbi.nlm.nih.gov/18800618,"These receptors play important roles in attention, memory, and cognition and participate in the pathogenesis of several neuropsychiatric disorders (schizophrenia, depression, anxiety disorders, Parkinson's and Alzheimer's diseases, attention-deficit hyperactivity disorders, Tourette's syndrome, and autosomal dominant nocturnal frontal lobe epilepsy)."
receptor,Alzheimers,C0597357,C0002395,19374848,https://pubmed.ncbi.nlm.nih.gov/19374848,The significant decrease of IP accumulation by cholesterol depletion was also observed in cells expressing M(3) receptors and by both cholesterol depletion and enrichment in cells expressing M(1) receptors indicating relevance of reduced G(q/11) signaling for the pathogenesis of Alzheimer's disease.
receptor,Alzheimers,C0597357,C0002395,19374848,https://pubmed.ncbi.nlm.nih.gov/19374848,The significant decrease of IP accumulation by cholesterol depletion was also observed in cells expressing M(3) receptors and by both cholesterol depletion and enrichment in cells expressing M(1) receptors indicating relevance of reduced G(q/11) signaling for the pathogenesis of Alzheimer's disease.
receptor,Alzheimers,C0597357,C0002395,19374848,https://pubmed.ncbi.nlm.nih.gov/19374848,The significant decrease of IP accumulation by cholesterol depletion was also observed in cells expressing M(3) receptors and by both cholesterol depletion and enrichment in cells expressing M(1) receptors indicating relevance of reduced G(q/11) signaling for the pathogenesis of Alzheimer's disease.
receptor,Alzheimers,C0597357,C0002395,19584434,https://pubmed.ncbi.nlm.nih.gov/19584434,"Amyloid-beta protein precursor (AbetaPP) is a receptor-like, type-I membrane protein that plays a central role in the pathogenesis of Alzheimer's disease."
receptor,Alzheimers,C0597357,C0002395,19584434,https://pubmed.ncbi.nlm.nih.gov/19584434,"Amyloid-beta protein precursor (AbetaPP) is a receptor-like, type-I membrane protein that plays a central role in the pathogenesis of Alzheimer's disease."
receptor,Alzheimers,C0597357,C0002395,19584434,https://pubmed.ncbi.nlm.nih.gov/19584434,"Amyloid-beta protein precursor (AbetaPP) is a receptor-like, type-I membrane protein that plays a central role in the pathogenesis of Alzheimer's disease."
receptor,Alzheimers,C0597357,C0002395,23098038,https://pubmed.ncbi.nlm.nih.gov/23098038,Targeting the imidazoline I(2) receptor emerges as a new mechanism of action to inhibit tPA-induced signaling in neurons for the treatment of AD and other neurodegenerative diseases.
receptor,Alzheimers,C0597357,C0002395,23098038,https://pubmed.ncbi.nlm.nih.gov/23098038,"Using a combination of virtual screening and experimental testing, novel small molecule inhibitors of tPA-mediated extracellular signal-regulated kinase (Erk)1/2 activation were identified that provide higher levels of neuroprotection from Abeta-induced apoptosis than Memantine, the most recently FDA-approved drug for AD treatment."
receptor,Alzheimers,C0597357,C0002395,23098038,https://pubmed.ncbi.nlm.nih.gov/23098038,Targeting the imidazoline I(2) receptor emerges as a new mechanism of action to inhibit tPA-induced signaling in neurons for the treatment of AD and other neurodegenerative diseases.
receptor,Alzheimers,C0597357,C0002395,23098038,https://pubmed.ncbi.nlm.nih.gov/23098038,"Using a combination of virtual screening and experimental testing, novel small molecule inhibitors of tPA-mediated extracellular signal-regulated kinase (Erk)1/2 activation were identified that provide higher levels of neuroprotection from Abeta-induced apoptosis than Memantine, the most recently FDA-approved drug for AD treatment."
receptor,Alzheimers,C0597357,C0002395,23098038,https://pubmed.ncbi.nlm.nih.gov/23098038,Targeting the imidazoline I(2) receptor emerges as a new mechanism of action to inhibit tPA-induced signaling in neurons for the treatment of AD and other neurodegenerative diseases.
receptor,Alzheimers,C0597357,C0002395,23098038,https://pubmed.ncbi.nlm.nih.gov/23098038,"Using a combination of virtual screening and experimental testing, novel small molecule inhibitors of tPA-mediated extracellular signal-regulated kinase (Erk)1/2 activation were identified that provide higher levels of neuroprotection from Abeta-induced apoptosis than Memantine, the most recently FDA-approved drug for AD treatment."
receptor,Alzheimers,C0597357,C0002395,23928573,https://pubmed.ncbi.nlm.nih.gov/23928573,"This Review highlights recent insights into the structural features that determine the function of scavenger receptors and the emerging role that these receptors have in immune responses, notably in macrophage polarization and in the pathogenesis of diseases such as atherosclerosis and Alzheimer's disease."
receptor,Alzheimers,C0597357,C0002395,23928573,https://pubmed.ncbi.nlm.nih.gov/23928573,"This Review highlights recent insights into the structural features that determine the function of scavenger receptors and the emerging role that these receptors have in immune responses, notably in macrophage polarization and in the pathogenesis of diseases such as atherosclerosis and Alzheimer's disease."
receptor,Alzheimers,C0597357,C0002395,23928573,https://pubmed.ncbi.nlm.nih.gov/23928573,"This Review highlights recent insights into the structural features that determine the function of scavenger receptors and the emerging role that these receptors have in immune responses, notably in macrophage polarization and in the pathogenesis of diseases such as atherosclerosis and Alzheimer's disease."
receptor,Alzheimers,C0597357,C0002395,24162852,https://pubmed.ncbi.nlm.nih.gov/24162852,"Notably, CD36 is also a receptor for modified lipoproteins and beta-amyloid, and has been implicated in the pathogenesis of atherosclerosis and of Alzheimer's disease."
receptor,Alzheimers,C0597357,C0002395,24162852,https://pubmed.ncbi.nlm.nih.gov/24162852,"Notably, CD36 is also a receptor for modified lipoproteins and beta-amyloid, and has been implicated in the pathogenesis of atherosclerosis and of Alzheimer's disease."
receptor,Alzheimers,C0597357,C0002395,24162852,https://pubmed.ncbi.nlm.nih.gov/24162852,"Notably, CD36 is also a receptor for modified lipoproteins and beta-amyloid, and has been implicated in the pathogenesis of atherosclerosis and of Alzheimer's disease."
receptor,Alzheimers,C0597357,C0002395,25362032,https://pubmed.ncbi.nlm.nih.gov/25362032,Computationally-derived clusters and modules within the networks indicated strong ties between RORA and genes involved in the AD etiology.
