from,to,subject_cui,object_cui,pmid,pmid_url,sentence
Hypertension,Alzheimers,C0020538,C0002395,12480731,https://pubmed.ncbi.nlm.nih.gov/12480731,"The consequences of hypertension include cerebrovascular disease, coronary heart disease, and general atherosclerosis."
Hypertension,Alzheimers,C0020538,C0002395,12480731,https://pubmed.ncbi.nlm.nih.gov/12480731,Hypertension and related factors in the etiology of Alzheimer's disease.
Hypertension,Alzheimers,C0020538,C0002395,17362841,https://pubmed.ncbi.nlm.nih.gov/17362841,"In recent years the renin-angiotensin system, already of recognised importance in the pathogenesis of hypertension, has become a source of interest in the pathogenesis of Alzheimer's disease."
Hypertension,Alzheimers,C0020538,C0002395,19555872,https://pubmed.ncbi.nlm.nih.gov/19555872,Cumulative evidence implicates hypertension in the pathogenesis of Alzheimer disease.
Hypertension,Alzheimers,C0020538,C0002395,22615109,https://pubmed.ncbi.nlm.nih.gov/22615109,"Interestingly, RAGE inhibition protected from hypertension-induced Alzheimer pathology, as showed by rescue from cognitive impairment and parenchymal Abeta deposition."
Hypertension,Alzheimers,C0020538,C0002395,22615109,https://pubmed.ncbi.nlm.nih.gov/22615109,"Overall we demonstrate that RAGE activation in brain vessels is a crucial pathogenetic event in hypertension-induced Alzheimer disease, suggesting that inhibiting this target can limit the onset of vascular-related Alzheimer disease."
Hypertension,Alzheimers,C0020538,C0002395,25976367,https://pubmed.ncbi.nlm.nih.gov/25976367,"Several preclinical and epidemiological studies have linked metabolic risk factors such as hypertension, obesity, dyslipidemia, and diabetes to the pathogenesis of AD."
Hypertension,Alzheimers,C0020538,C0002395,29568075,https://pubmed.ncbi.nlm.nih.gov/29568075,"Hypertension-induced endothelial dysfunction is associated with beta-amyloid (Abeta) deposition, a typical pathology of Alzheimer's disease (AD)."
Hypertension,Alzheimers,C0020538,C0002395,29568075,https://pubmed.ncbi.nlm.nih.gov/29568075,"In conclusion, eNOS downregulation contributed to hypertension-induced Alzheimer pathology and cognitive impairment."
Hypertension,Alzheimers,C0020538,C0002395,30854970,https://pubmed.ncbi.nlm.nih.gov/30854970,"Chronic, low-level environmental lead (Pb) exposure is associated with cognitive impairment, hypertension and mortality, and has been proposed as a potential cause of AD."
Hypertension,Alzheimers,C0020538,C0002395,31889399,https://pubmed.ncbi.nlm.nih.gov/31889399,The study result showed that HTN-induced AD regulated long-term memory (LTM) loss and neuronal degeneration in the SHR animals.
Hypertension,Alzheimers,C0020538,C0002395,31889399,https://pubmed.ncbi.nlm.nih.gov/31889399,Dipeptide IF prevents the effects of hypertension-induced Alzheimer's disease on long-term memory in the cortex of spontaneously hypertensive rats.
Hypertension,Alzheimers,C0020538,C0002395,34897090,https://pubmed.ncbi.nlm.nih.gov/34897090,Hypertension is a major risk factor for the pathogenesis of vascular dementia and Alzheimer's disease.
Hypertension,Alzheimers,C0020538,C0002395,38062190,https://pubmed.ncbi.nlm.nih.gov/38062190,The results suggest that the increased risk of AD owing to hypertension is mediated through stroke.
Hypertension,Alzheimers,C0020538,C0002395,38062190,https://pubmed.ncbi.nlm.nih.gov/38062190,This implies that approximately 55% of the risk of AD owing to hypertension can be attributed to stroke.
Hypertension,Alzheimers,C0020538,C0002395,9894287,https://pubmed.ncbi.nlm.nih.gov/9894287,"A possible consequence of these findings would be to prevent, or to postpone, AD by an early treatment of arterial hypertension."
Polymorphism_Genetic,Alzheimers,C0032529,C0002395,10027555,https://pubmed.ncbi.nlm.nih.gov/10027555,"To investigate the further contribution of the polymorphism to the etiology of sporadic AD, we evaluated associations between Japanese AD and -491 A/T polymorphism of APOE."
Polymorphism_Genetic,Alzheimers,C0032529,C0002395,10530514,https://pubmed.ncbi.nlm.nih.gov/10530514,"Since reports about the relevance of these polymorphisms for the pathogenesis of AD have been contradictory, we performed an association study with some modifications."
Polymorphism_Genetic,Alzheimers,C0032529,C0002395,12214130,https://pubmed.ncbi.nlm.nih.gov/12214130,"To identify the possible mutations and/or polymorphisms of neuronal nicotinic acetylcholine receptor (nAChR) genes related to the pathogenesis of sporadic AD, we have performed mutational analyses of the major neuronal nAChR genes (CHRNA3, 4, 7 and CHRNB2) expressed in central nervous system."
Polymorphism_Genetic,Alzheimers,C0032529,C0002395,12214130,https://pubmed.ncbi.nlm.nih.gov/12214130,These findings suggested that genetic polymorphisms of the neuronal nAChR genes might be related to the pathogenesis of sporadic AD.
Polymorphism_Genetic,Alzheimers,C0032529,C0002395,15200238,https://pubmed.ncbi.nlm.nih.gov/15200238,These results suggest that polymorphism in exon 11 of septin 3 may have a determinative role in the pathogenesis of AD.
Polymorphism_Genetic,Alzheimers,C0032529,C0002395,15653174,https://pubmed.ncbi.nlm.nih.gov/15653174,"In order to clarify the role of these polymorphisms in the complex pathogenesis of AD we examined genotype and haplotype frequencies of the two C-to-T SNPs at position -889 and -551 in the IL-1alpha and IL-1beta genes, respectively, and of the 86 bp VNTR intron-2 polymorphisms in the IL-1Ra gene."
Polymorphism_Genetic,Alzheimers,C0032529,C0002395,16999857,https://pubmed.ncbi.nlm.nih.gov/16999857,"The Multi Drug Resistance (ABCB1) gene, encoding for P-gp, is highly polymorphic and this may result in a changed function of P-gp and may possibly interfere with the pathogenesis of Alzheimer's disease."
Polymorphism_Genetic,Alzheimers,C0032529,C0002395,18033638,https://pubmed.ncbi.nlm.nih.gov/18033638,BACKGROUND AND PURPOSE: The role of N-acetyltransferase gene (NAT2) polymorphism in the aetiology of Alzheimer's disease (AD) and Parkinson's disease (PD) is an interesting issue; it is suggested that the slow acetylator genotype favours the damage of central nervous system cells by environmental toxins.
Polymorphism_Genetic,Alzheimers,C0032529,C0002395,18303265,https://pubmed.ncbi.nlm.nih.gov/18303265,Further investigations of polymorphisms in the gene encoding the NMDA receptor 2B subunit in AD patients with different genetic setting are needed to clarify their role in the pathogenesis of AD.
Polymorphism_Genetic,Alzheimers,C0032529,C0002395,21176999,https://pubmed.ncbi.nlm.nih.gov/21176999,"These findings suggest that polymorphisms within the IGF-I gene could infer greater risk for AD through their effect on IGF-I levels, and confirm the physiological role IGF-I in the pathogenesis of AD."
Polymorphism_Genetic,Alzheimers,C0032529,C0002395,21840620,https://pubmed.ncbi.nlm.nih.gov/21840620,"Finally, we discuss the possible impact of CR1 genetic polymorphisms in relation to the amyloid cascade hypothesis of AD and the way in which CR1 may lead to AD pathogenesis."
Polymorphism_Genetic,Alzheimers,C0032529,C0002395,25538763,https://pubmed.ncbi.nlm.nih.gov/25538763,These results support the contribution of the polymorphisms of rs2227564 in the urokinase-type plasminogen gene to the pathogenesis of sporadic Alzheimer's disease in the Han Chinese population.
Polymorphism_Genetic,Alzheimers,C0032529,C0002395,26809345,https://pubmed.ncbi.nlm.nih.gov/26809345,"Since only ~30% of phenotypic diversity of AD can be explained by polymorphisms in risk genes, these and transgenic bioassay data argue that structurally distinct Abeta particles play a major role in the diverse pathogenesis of AD, and may behave as distinct prion-like strains encoding diverse phenotypes."
Polymorphism_Genetic,Alzheimers,C0032529,C0002395,26809345,https://pubmed.ncbi.nlm.nih.gov/26809345,"From these observations and our growing understanding of prions, there is a critical need for new strain-specific diagnostic strategies for misfolded proteins causing these elusive disorders."
Polymorphism_Genetic,Alzheimers,C0032529,C0002395,30026459,https://pubmed.ncbi.nlm.nih.gov/30026459,The odds ratios (ORs) and corresponding 95% confidence intervals (CI) were calculated to express the degree of risk of AD resulting from polymorphisms in the EGFR gene.
Polymorphism_Genetic,Hypertension,C0032529,C0020538,11317203,https://pubmed.ncbi.nlm.nih.gov/11317203,"Polymorphisms of the renin-angiotensin (RA) system have been implicated in the pathogenesis of hypertension and atherosclerotic vascular disease, and may play a role in the development of FMD."
Polymorphism_Genetic,Hypertension,C0032529,C0020538,11317203,https://pubmed.ncbi.nlm.nih.gov/11317203,"Fibromuscular dysplasia (FMD) is an important cause of renal artery stenosis, particularly in young females."
Polymorphism_Genetic,Hypertension,C0032529,C0020538,11317203,https://pubmed.ncbi.nlm.nih.gov/11317203,"Polymorphisms of the renin-angiotensin (RA) system have been implicated in the pathogenesis of hypertension and atherosclerotic vascular disease, and may play a role in the development of FMD."
Polymorphism_Genetic,Hypertension,C0032529,C0020538,11317203,https://pubmed.ncbi.nlm.nih.gov/11317203,"Fibromuscular dysplasia (FMD) is an important cause of renal artery stenosis, particularly in young females."
Polymorphism_Genetic,Hypertension,C0032529,C0020538,11904385,https://pubmed.ncbi.nlm.nih.gov/11904385,"The angiotensinogen M235T polymorphism in humans is linked to differential expression of the human angiotensinogen gene (AGT) gene and hypertension, but the homeostatic responses resulting from this polymorphism are not known."
Polymorphism_Genetic,Hypertension,C0032529,C0020538,11904385,https://pubmed.ncbi.nlm.nih.gov/11904385,"The angiotensinogen M235T polymorphism in humans is linked to differential expression of the human angiotensinogen gene (AGT) gene and hypertension, but the homeostatic responses resulting from this polymorphism are not known."
Polymorphism_Genetic,Hypertension,C0032529,C0020538,12105131,https://pubmed.ncbi.nlm.nih.gov/12105131,"Although the T594M polymorphism could increase renal sodium absorption through affected channels, it is not known whether this polymorphism causes hypertension."
Polymorphism_Genetic,Hypertension,C0032529,C0020538,12105131,https://pubmed.ncbi.nlm.nih.gov/12105131,"Although the T594M polymorphism could increase renal sodium absorption through affected channels, it is not known whether this polymorphism causes hypertension."
Polymorphism_Genetic,Hypertension,C0032529,C0020538,12215464,https://pubmed.ncbi.nlm.nih.gov/12215464,These analyses showed a significant interaction between the polymorphism and cigarette smoking in the pathogenesis of hypertension (P=0.0005).
Polymorphism_Genetic,Hypertension,C0032529,C0020538,12215464,https://pubmed.ncbi.nlm.nih.gov/12215464,A significant interaction between the polymorphism and aging in the pathogenesis of hypertension was also shown in nonheavy smokers.
Polymorphism_Genetic,Hypertension,C0032529,C0020538,12215464,https://pubmed.ncbi.nlm.nih.gov/12215464,These analyses showed a significant interaction between the polymorphism and cigarette smoking in the pathogenesis of hypertension (P=0.0005).
Polymorphism_Genetic,Hypertension,C0032529,C0020538,12215464,https://pubmed.ncbi.nlm.nih.gov/12215464,A significant interaction between the polymorphism and aging in the pathogenesis of hypertension was also shown in nonheavy smokers.
Polymorphism_Genetic,Hypertension,C0032529,C0020538,15479618,https://pubmed.ncbi.nlm.nih.gov/15479618,Several studies have demonstrated the importance of angiotensin-converting enzyme (ACE) insertion (I)/deletion (D) polymorphisms in the pathogenesis of hypertension.
Polymorphism_Genetic,Hypertension,C0032529,C0020538,15479618,https://pubmed.ncbi.nlm.nih.gov/15479618,Several studies have demonstrated the importance of angiotensin-converting enzyme (ACE) insertion (I)/deletion (D) polymorphisms in the pathogenesis of hypertension.
Polymorphism_Genetic,Hypertension,C0032529,C0020538,15659047,https://pubmed.ncbi.nlm.nih.gov/15659047,"We find that no correlation exists between the T102C genetic polymorphism and hypertension, which affords useful information on the pathogenesis of hypertension in the Chinese population."
Polymorphism_Genetic,Hypertension,C0032529,C0020538,15659047,https://pubmed.ncbi.nlm.nih.gov/15659047,"We find that no correlation exists between the T102C genetic polymorphism and hypertension, which affords useful information on the pathogenesis of hypertension in the Chinese population."
Polymorphism_Genetic,Hypertension,C0032529,C0020538,15671602,https://pubmed.ncbi.nlm.nih.gov/15671602,"CONCLUSION: The significance of the G(-930)A polymorphism of CYBA was confirmed in the present study with adequate statistical power, which strengthens the hypothesis that this polymorphism is important in the pathogenesis of hypertension and confers susceptibility."
Polymorphism_Genetic,Hypertension,C0032529,C0020538,15671602,https://pubmed.ncbi.nlm.nih.gov/15671602,"CONCLUSION: The significance of the G(-930)A polymorphism of CYBA was confirmed in the present study with adequate statistical power, which strengthens the hypothesis that this polymorphism is important in the pathogenesis of hypertension and confers susceptibility."
Polymorphism_Genetic,Hypertension,C0032529,C0020538,16954165,https://pubmed.ncbi.nlm.nih.gov/16954165,Several genetic polymorphisms in the RAS have been identified and have been implicated as a cause of hypertension and cardiovascular disease.
Polymorphism_Genetic,Hypertension,C0032529,C0020538,16954165,https://pubmed.ncbi.nlm.nih.gov/16954165,Several genetic polymorphisms in the RAS have been identified and have been implicated as a cause of hypertension and cardiovascular disease.
Polymorphism_Genetic,Hypertension,C0032529,C0020538,19302427,https://pubmed.ncbi.nlm.nih.gov/19302427,The significance of these polymorphisms in the pathogenesis of hypertension in APIAs is unclear.
Polymorphism_Genetic,Hypertension,C0032529,C0020538,19302427,https://pubmed.ncbi.nlm.nih.gov/19302427,The significance of these polymorphisms in the pathogenesis of hypertension in APIAs is unclear.
Polymorphism_Genetic,Hypertension,C0032529,C0020538,21440764,https://pubmed.ncbi.nlm.nih.gov/21440764,BACKGROUND: Genetic polymorphisms of the renin-angiotensin system (RAS) have been reported to play an important role in the pathogenesis of diabetes mellitus and hypertension.
Polymorphism_Genetic,Hypertension,C0032529,C0020538,21440764,https://pubmed.ncbi.nlm.nih.gov/21440764,BACKGROUND: Genetic polymorphisms of the renin-angiotensin system (RAS) have been reported to play an important role in the pathogenesis of diabetes mellitus and hypertension.
Polymorphism_Genetic,Hypertension,C0032529,C0020538,23404385,https://pubmed.ncbi.nlm.nih.gov/23404385,Genetic polymorphism of genes involved in renal salt handling and arterial vessel tone is considered to be one of the causes of hypertension.
Polymorphism_Genetic,Hypertension,C0032529,C0020538,23404385,https://pubmed.ncbi.nlm.nih.gov/23404385,Genetic polymorphism of genes involved in renal salt handling and arterial vessel tone is considered to be one of the causes of hypertension.
Polymorphism_Genetic,Hypertension,C0032529,C0020538,25054022,https://pubmed.ncbi.nlm.nih.gov/25054022,"Polymorphisms of the aldosterone synthase gene, CYP11B2, have been suggested to be involved in the pathogenesis of diabetes mellitus (DM), hypertension and cardiovascular diseases."
Polymorphism_Genetic,Hypertension,C0032529,C0020538,25054022,https://pubmed.ncbi.nlm.nih.gov/25054022,"Polymorphisms of the aldosterone synthase gene, CYP11B2, have been suggested to be involved in the pathogenesis of diabetes mellitus (DM), hypertension and cardiovascular diseases."
Polymorphism_Genetic,Hypertension,C0032529,C0020538,25475696,https://pubmed.ncbi.nlm.nih.gov/25475696,"CONCLUSIONS: Our findings support the contributory role of the II/I polymorphism in leptin gene in the pathogenesis of hypertension, and this role was more evident in Asians and for essential hypertension."
