from,to,subject_cui,object_cui,pmid,pmid_url,sentence
Hypertension,Alzheimers,C0020538,C0002395,12480731,https://pubmed.ncbi.nlm.nih.gov/12480731,"The consequences of hypertension include cerebrovascular disease, coronary heart disease, and general atherosclerosis."
Hypertension,Alzheimers,C0020538,C0002395,12480731,https://pubmed.ncbi.nlm.nih.gov/12480731,Hypertension and related factors in the etiology of Alzheimer's disease.
Hypertension,Alzheimers,C0020538,C0002395,17362841,https://pubmed.ncbi.nlm.nih.gov/17362841,"In recent years the renin-angiotensin system, already of recognised importance in the pathogenesis of hypertension, has become a source of interest in the pathogenesis of Alzheimer's disease."
Hypertension,Alzheimers,C0020538,C0002395,19555872,https://pubmed.ncbi.nlm.nih.gov/19555872,Cumulative evidence implicates hypertension in the pathogenesis of Alzheimer disease.
Hypertension,Alzheimers,C0020538,C0002395,22615109,https://pubmed.ncbi.nlm.nih.gov/22615109,"Interestingly, RAGE inhibition protected from hypertension-induced Alzheimer pathology, as showed by rescue from cognitive impairment and parenchymal Abeta deposition."
Hypertension,Alzheimers,C0020538,C0002395,22615109,https://pubmed.ncbi.nlm.nih.gov/22615109,"Overall we demonstrate that RAGE activation in brain vessels is a crucial pathogenetic event in hypertension-induced Alzheimer disease, suggesting that inhibiting this target can limit the onset of vascular-related Alzheimer disease."
Hypertension,Alzheimers,C0020538,C0002395,25976367,https://pubmed.ncbi.nlm.nih.gov/25976367,"Several preclinical and epidemiological studies have linked metabolic risk factors such as hypertension, obesity, dyslipidemia, and diabetes to the pathogenesis of AD."
Hypertension,Alzheimers,C0020538,C0002395,29568075,https://pubmed.ncbi.nlm.nih.gov/29568075,"Hypertension-induced endothelial dysfunction is associated with beta-amyloid (Abeta) deposition, a typical pathology of Alzheimer's disease (AD)."
Hypertension,Alzheimers,C0020538,C0002395,29568075,https://pubmed.ncbi.nlm.nih.gov/29568075,"In conclusion, eNOS downregulation contributed to hypertension-induced Alzheimer pathology and cognitive impairment."
Hypertension,Alzheimers,C0020538,C0002395,30854970,https://pubmed.ncbi.nlm.nih.gov/30854970,"Chronic, low-level environmental lead (Pb) exposure is associated with cognitive impairment, hypertension and mortality, and has been proposed as a potential cause of AD."
Hypertension,Alzheimers,C0020538,C0002395,31889399,https://pubmed.ncbi.nlm.nih.gov/31889399,The study result showed that HTN-induced AD regulated long-term memory (LTM) loss and neuronal degeneration in the SHR animals.
Hypertension,Alzheimers,C0020538,C0002395,31889399,https://pubmed.ncbi.nlm.nih.gov/31889399,Dipeptide IF prevents the effects of hypertension-induced Alzheimer's disease on long-term memory in the cortex of spontaneously hypertensive rats.
Hypertension,Alzheimers,C0020538,C0002395,34897090,https://pubmed.ncbi.nlm.nih.gov/34897090,Hypertension is a major risk factor for the pathogenesis of vascular dementia and Alzheimer's disease.
Hypertension,Alzheimers,C0020538,C0002395,38062190,https://pubmed.ncbi.nlm.nih.gov/38062190,The results suggest that the increased risk of AD owing to hypertension is mediated through stroke.
Hypertension,Alzheimers,C0020538,C0002395,38062190,https://pubmed.ncbi.nlm.nih.gov/38062190,This implies that approximately 55% of the risk of AD owing to hypertension can be attributed to stroke.
Hypertension,Alzheimers,C0020538,C0002395,9894287,https://pubmed.ncbi.nlm.nih.gov/9894287,"A possible consequence of these findings would be to prevent, or to postpone, AD by an early treatment of arterial hypertension."
IMPACT_gene,Alzheimers,C1825598,C0002395,32479244,https://pubmed.ncbi.nlm.nih.gov/32479244,"CONCLUSION: Examining the impact, as well as the consequences of protein misfolding, could help to uncover the molecular etiologies behind the complicated AD pathogenesis."
IMPACT_gene,Alzheimers,C1825598,C0002395,32479244,https://pubmed.ncbi.nlm.nih.gov/32479244,"CONCLUSION: Examining the impact, as well as the consequences of protein misfolding, could help to uncover the molecular etiologies behind the complicated AD pathogenesis."
IMPACT_gene,Alzheimers,C1825598,C0002395,33679375,https://pubmed.ncbi.nlm.nih.gov/33679375,"Over the last few years, remarkable efforts have been made to investigate the impact on the pathogenesis of Alzheimer's disease (AD) of various forms of mitochondrial dysfunction, such as excessive reactive oxygen species (ROS) production, mitochondrial Ca     2+       dyshomeostasis, loss of ATP, and defects in mitochondrial dynamics and transport, and mitophagy."
IMPACT_gene,Alzheimers,C1825598,C0002395,33679375,https://pubmed.ncbi.nlm.nih.gov/33679375,"In this review, we focus on recent progress that highlights the crucial role of alterations in mitochondrial function and oxidative stress in the pathogenesis of AD, emphasizing a framework of existing and potential therapeutic approaches."
IMPACT_gene,Alzheimers,C1825598,C0002395,33679375,https://pubmed.ncbi.nlm.nih.gov/33679375,"Over the last few years, remarkable efforts have been made to investigate the impact on the pathogenesis of Alzheimer's disease (AD) of various forms of mitochondrial dysfunction, such as excessive reactive oxygen species (ROS) production, mitochondrial Ca     2+       dyshomeostasis, loss of ATP, and defects in mitochondrial dynamics and transport, and mitophagy."
IMPACT_gene,Alzheimers,C1825598,C0002395,33679375,https://pubmed.ncbi.nlm.nih.gov/33679375,"In this review, we focus on recent progress that highlights the crucial role of alterations in mitochondrial function and oxidative stress in the pathogenesis of AD, emphasizing a framework of existing and potential therapeutic approaches."
IMPACT_gene,Alzheimers,C1825598,C0002395,34052817,https://pubmed.ncbi.nlm.nih.gov/34052817,"New theories on the link between sleep and beta-amyloid and tau secretion, accumulation and clearance, and its interaction with hypocretins/orexins (key neuropeptides regulating wakefulness) suggest mechanistic ways to better understand the impact of sleep alterations in the pathogenesis of AD."
IMPACT_gene,Alzheimers,C1825598,C0002395,34052817,https://pubmed.ncbi.nlm.nih.gov/34052817,"New theories on the link between sleep and beta-amyloid and tau secretion, accumulation and clearance, and its interaction with hypocretins/orexins (key neuropeptides regulating wakefulness) suggest mechanistic ways to better understand the impact of sleep alterations in the pathogenesis of AD."
IMPACT_gene,Alzheimers,C1825598,C0002395,34292312,https://pubmed.ncbi.nlm.nih.gov/34292312,"Finally, we outline future directions for delineating the microglial impact in AD pathogenesis."
IMPACT_gene,Alzheimers,C1825598,C0002395,34292312,https://pubmed.ncbi.nlm.nih.gov/34292312,"Finally, we outline future directions for delineating the microglial impact in AD pathogenesis."
IMPACT_gene,Alzheimers,C1825598,C0002395,34685649,https://pubmed.ncbi.nlm.nih.gov/34685649,"Here, we investigated the impact of NF-kappaB-initiated neuroinflammation on AD pathogenesis using the APP23 mouse model of AD in combination with conditional activation of IKK2/NF-kappaB signaling in astrocytes."
IMPACT_gene,Alzheimers,C1825598,C0002395,34685649,https://pubmed.ncbi.nlm.nih.gov/34685649,"Here, we investigated the impact of NF-kappaB-initiated neuroinflammation on AD pathogenesis using the APP23 mouse model of AD in combination with conditional activation of IKK2/NF-kappaB signaling in astrocytes."
IMPACT_gene,Alzheimers,C1825598,C0002395,35034901,https://pubmed.ncbi.nlm.nih.gov/35034901,The combination of biochemical/biophysical and 'omics-based studies of these variants needed to elucidate their downstream impact and molecular contributions to AD pathogenesis is highlighted.
IMPACT_gene,Alzheimers,C1825598,C0002395,35034901,https://pubmed.ncbi.nlm.nih.gov/35034901,The combination of biochemical/biophysical and 'omics-based studies of these variants needed to elucidate their downstream impact and molecular contributions to AD pathogenesis is highlighted.
IMPACT_gene,Alzheimers,C1825598,C0002395,35109353,https://pubmed.ncbi.nlm.nih.gov/35109353,"CONCLUSION: There are some evidences of common molecular pathways involved in AD and ischemic stroke, which require further investigations to evaluate cerebral vascular impacts on the pathogenesis of AD."
IMPACT_gene,Alzheimers,C1825598,C0002395,35109353,https://pubmed.ncbi.nlm.nih.gov/35109353,"CONCLUSION: There are some evidences of common molecular pathways involved in AD and ischemic stroke, which require further investigations to evaluate cerebral vascular impacts on the pathogenesis of AD."
IMPACT_gene,Alzheimers,C1825598,C0002395,35289012,https://pubmed.ncbi.nlm.nih.gov/35289012,We consider how abnormalities of the constituent cells of the neurovascular unit - particularly of endothelial cells and pericytes - and impairment of the blood-brain barrier (BBB) impact on the pathogenesis of AD.
IMPACT_gene,Alzheimers,C1825598,C0002395,35289012,https://pubmed.ncbi.nlm.nih.gov/35289012,We consider how abnormalities of the constituent cells of the neurovascular unit - particularly of endothelial cells and pericytes - and impairment of the blood-brain barrier (BBB) impact on the pathogenesis of AD.
IMPACT_gene,Alzheimers,C1825598,C0002395,35572126,https://pubmed.ncbi.nlm.nih.gov/35572126,The following review will explore the impact of p53 PTMs on its function and consequential involvement in AD pathogenesis.
IMPACT_gene,Alzheimers,C1825598,C0002395,35572126,https://pubmed.ncbi.nlm.nih.gov/35572126,The following review will explore the impact of p53 PTMs on its function and consequential involvement in AD pathogenesis.
IMPACT_gene,Alzheimers,C1825598,C0002395,35624892,https://pubmed.ncbi.nlm.nih.gov/35624892,"The provocative question arising is the following: is it possible that the beneficial effects of regular exercise on AD are due to the systemic impact of training, rather than just the effects of exercise on the brain?"
IMPACT_gene,Alzheimers,C1825598,C0002395,35624892,https://pubmed.ncbi.nlm.nih.gov/35624892,"The provocative question arising is the following: is it possible that the beneficial effects of regular exercise on AD are due to the systemic impact of training, rather than just the effects of exercise on the brain?"
IMPACT_gene,Alzheimers,C1825598,C0002395,36395955,https://pubmed.ncbi.nlm.nih.gov/36395955,"Here, we generated a novel AD mouse model deficient for Neil3 to study the impact of impaired oxidative base lesion repair on the pathogenesis of AD."
IMPACT_gene,Alzheimers,C1825598,C0002395,36395955,https://pubmed.ncbi.nlm.nih.gov/36395955,"Here, we generated a novel AD mouse model deficient for Neil3 to study the impact of impaired oxidative base lesion repair on the pathogenesis of AD."
IMPACT_gene,Alzheimers,C1825598,C0002395,37176104,https://pubmed.ncbi.nlm.nih.gov/37176104,Many preclinical and clinical trials have explored the impact of adjusting the whole-body and intracellular metabolism on the pathogenesis of AD.
IMPACT_gene,Alzheimers,C1825598,C0002395,37176104,https://pubmed.ncbi.nlm.nih.gov/37176104,Many preclinical and clinical trials have explored the impact of adjusting the whole-body and intracellular metabolism on the pathogenesis of AD.
IMPACT_gene,Alzheimers,C1825598,C0002395,37556014,https://pubmed.ncbi.nlm.nih.gov/37556014,This study aims to determine if two distinct doses of myco-fabricated ZnO-NPs have a positive impact on behavioral impairment and several biochemical markers associated with inflammation and oxidative stress in mice that have been treated by aluminum chloride (AlCl     3      ) to induce AD.
IMPACT_gene,Alzheimers,C1825598,C0002395,37556014,https://pubmed.ncbi.nlm.nih.gov/37556014,This study aims to determine if two distinct doses of myco-fabricated ZnO-NPs have a positive impact on behavioral impairment and several biochemical markers associated with inflammation and oxidative stress in mice that have been treated by aluminum chloride (AlCl     3      ) to induce AD.
IMPACT_gene,Alzheimers,C1825598,C0002395,37801071,https://pubmed.ncbi.nlm.nih.gov/37801071,"To assess the impact of vitamin D3 (Vit.D) on neurogenesis, we investigated its role in mitigating cognitive impairment and mitochondrial dysfunction through calcium/calmodulin-dependent protein kinase kinase 2 (CAMKK2)-mediated phosphorylation of Sirtuin1 (SIRT1) in an aluminum-chloride-D-galactose (AlCl3-D-gal)-induced AD rat model."
IMPACT_gene,Alzheimers,C1825598,C0002395,37801071,https://pubmed.ncbi.nlm.nih.gov/37801071,"To assess the impact of vitamin D3 (Vit.D) on neurogenesis, we investigated its role in mitigating cognitive impairment and mitochondrial dysfunction through calcium/calmodulin-dependent protein kinase kinase 2 (CAMKK2)-mediated phosphorylation of Sirtuin1 (SIRT1) in an aluminum-chloride-D-galactose (AlCl3-D-gal)-induced AD rat model."
IMPACT_gene,Alzheimers,C1825598,C0002395,37878335,https://pubmed.ncbi.nlm.nih.gov/37878335,"We investigated the impact of BHB on Abeta oligomer (AbetaO)-stimulated human iPS-derived microglia (hiMG), a model relevant to the pathogenesis of Alzheimer's disease (AD)."
IMPACT_gene,Alzheimers,C1825598,C0002395,37878335,https://pubmed.ncbi.nlm.nih.gov/37878335,"We investigated the impact of BHB on Abeta oligomer (AbetaO)-stimulated human iPS-derived microglia (hiMG), a model relevant to the pathogenesis of Alzheimer's disease (AD)."
IMPACT_gene,Alzheimers,C1825598,C0002395,38617186,https://pubmed.ncbi.nlm.nih.gov/38617186,Future studies exploring this impact on the pathogenesis of AD and related biomarkers are needed.
IMPACT_gene,Alzheimers,C1825598,C0002395,38617186,https://pubmed.ncbi.nlm.nih.gov/38617186,Future studies exploring this impact on the pathogenesis of AD and related biomarkers are needed.
IMPACT_gene,Hypertension,C1825598,C0020538,32034489,https://pubmed.ncbi.nlm.nih.gov/32034489,These changes could have an impact on the pathogenesis of HT and progression of CAD.
IMPACT_gene,Hypertension,C1825598,C0020538,32999396,https://pubmed.ncbi.nlm.nih.gov/32999396,"The C variant of a new component of the RAS, C9orf3 (rs4385527) might have a considerable impact on the pathogenesis of hypertension in diabetes."
IMPACT_gene,Hypertension,C1825598,C0020538,33025414,https://pubmed.ncbi.nlm.nih.gov/33025414,This peptide also exerts significant impact at the level of vasculature leading to lowering high blood pressure and reversal of endothelial dysfunction and atherosclerosis.
IMPACT_gene,Hypertension,C1825598,C0020538,33640277,https://pubmed.ncbi.nlm.nih.gov/33640277,"BACKGROUND: High-fat diet (HFD) had a complex impact on the myocardium and resulted in diastolic dysfunction and hypertension on left ventricular (LV) hypertrophy, which can cause cardiac remodeling."
IMPACT_gene,Hypertension,C1825598,C0020538,33793336,https://pubmed.ncbi.nlm.nih.gov/33793336,"These conditions activate the immune system either directly or through their impact on the gut microbiome, which ultimately produces chronic inflammation and hypertension."
IMPACT_gene,Hypertension,C1825598,C0020538,34327456,https://pubmed.ncbi.nlm.nih.gov/34327456,"The extraordinary expansion of cardiometabolic risk factors, the impact they generate in the development of hypertension and its specific phenotypes, and its implications in cardiovascular risk and therapeutic decision-making deserve an extensive and careful reflection."
IMPACT_gene,Hypertension,C1825598,C0020538,35333120,https://pubmed.ncbi.nlm.nih.gov/35333120,These findings have important implications for the role of mechanosensitive proteins in CFs and their impact on cardiomyocyte function in the pathogenesis of hypertension and cardiac hypertrophy.
IMPACT_gene,Hypertension,C1825598,C0020538,36315414,https://pubmed.ncbi.nlm.nih.gov/36315414,"Therefore, long-term treatment has a negative impact on different metabolic systems and can lead to hypertension, dyslipidemia and insulin resistance."
IMPACT_gene,Hypertension,C1825598,C0020538,36315414,https://pubmed.ncbi.nlm.nih.gov/36315414,Glucocorticoids are the most common iatrogenic cause of osteoporosis and can alter bone development in young adults.
