from,to,subject_cui,object_cui,pmid,pmid_url,sentence
Antioxidants,Alzheimers,C0003402,C0002395,16311508,https://pubmed.ncbi.nlm.nih.gov/16311508,Deregulation of GRX1 and TRX1 antioxidant systems could be important events in AD pathogenesis.
Antioxidants,Alzheimers,C0003402,C0002395,16311508,https://pubmed.ncbi.nlm.nih.gov/16311508,Strong evidence indicates oxidative stress in the pathogenesis of Alzheimer's disease (AD).
Antioxidants,Alzheimers,C0003402,C0002395,16311508,https://pubmed.ncbi.nlm.nih.gov/16311508,Deregulation of GRX1 and TRX1 antioxidant systems could be important events in AD pathogenesis.
Antioxidants,Alzheimers,C0003402,C0002395,16311508,https://pubmed.ncbi.nlm.nih.gov/16311508,Strong evidence indicates oxidative stress in the pathogenesis of Alzheimer's disease (AD).
Antioxidants,Alzheimers,C0003402,C0002395,16311508,https://pubmed.ncbi.nlm.nih.gov/16311508,Deregulation of GRX1 and TRX1 antioxidant systems could be important events in AD pathogenesis.
Antioxidants,Alzheimers,C0003402,C0002395,16311508,https://pubmed.ncbi.nlm.nih.gov/16311508,Strong evidence indicates oxidative stress in the pathogenesis of Alzheimer's disease (AD).
Antioxidants,Alzheimers,C0003402,C0002395,21166677,https://pubmed.ncbi.nlm.nih.gov/21166677,Recent findings suggest that 'aged garlic extract' (AGE) may be a therapeutic agent for AD because of its antioxidant and Abeta lowering properties.
Antioxidants,Alzheimers,C0003402,C0002395,21166677,https://pubmed.ncbi.nlm.nih.gov/21166677,Recent findings suggest that 'aged garlic extract' (AGE) may be a therapeutic agent for AD because of its antioxidant and Abeta lowering properties.
Antioxidants,Alzheimers,C0003402,C0002395,21166677,https://pubmed.ncbi.nlm.nih.gov/21166677,Recent findings suggest that 'aged garlic extract' (AGE) may be a therapeutic agent for AD because of its antioxidant and Abeta lowering properties.
Antioxidants,Alzheimers,C0003402,C0002395,22042981,https://pubmed.ncbi.nlm.nih.gov/22042981,BACKGROUND: Serum plasmalogens (Pls) have gained interest in several clinical symptoms such as metabolic syndrome/atherosclerosis or Alzheimer's disease possibly because of their antioxidant properties.
Antioxidants,Alzheimers,C0003402,C0002395,22042981,https://pubmed.ncbi.nlm.nih.gov/22042981,BACKGROUND: Serum plasmalogens (Pls) have gained interest in several clinical symptoms such as metabolic syndrome/atherosclerosis or Alzheimer's disease possibly because of their antioxidant properties.
Antioxidants,Alzheimers,C0003402,C0002395,22042981,https://pubmed.ncbi.nlm.nih.gov/22042981,BACKGROUND: Serum plasmalogens (Pls) have gained interest in several clinical symptoms such as metabolic syndrome/atherosclerosis or Alzheimer's disease possibly because of their antioxidant properties.
