from,to,subject_cui,object_cui,pmid,pmid_url,sentence
Alzheimers,Degenerative_abnormality,C0002395,C0011164,12955221,https://pubmed.ncbi.nlm.nih.gov/12955221,PURPOSE: Alzheimer disease (AD) causes cortical degeneration with subsequent degenerative changes of the white matter.
Alzheimers,Degenerative_abnormality,C0002395,C0011164,12955221,https://pubmed.ncbi.nlm.nih.gov/12955221,PURPOSE: Alzheimer disease (AD) causes cortical degeneration with subsequent degenerative changes of the white matter.
Alzheimers,Degenerative_abnormality,C0002395,C0011164,12955221,https://pubmed.ncbi.nlm.nih.gov/12955221,PURPOSE: Alzheimer disease (AD) causes cortical degeneration with subsequent degenerative changes of the white matter.
Alzheimers,Degenerative_abnormality,C0002395,C0011164,14675724,https://pubmed.ncbi.nlm.nih.gov/14675724,The ensuing homeostatic responses to myelin breakdown further increase intracortical toxicity and results in the relentless progression and non-random anatomical distribution of AD lesions that eventually cause neuronal dysfunction and degeneration.
Alzheimers,Degenerative_abnormality,C0002395,C0011164,14675724,https://pubmed.ncbi.nlm.nih.gov/14675724,The ensuing homeostatic responses to myelin breakdown further increase intracortical toxicity and results in the relentless progression and non-random anatomical distribution of AD lesions that eventually cause neuronal dysfunction and degeneration.
Alzheimers,Degenerative_abnormality,C0002395,C0011164,14675724,https://pubmed.ncbi.nlm.nih.gov/14675724,The ensuing homeostatic responses to myelin breakdown further increase intracortical toxicity and results in the relentless progression and non-random anatomical distribution of AD lesions that eventually cause neuronal dysfunction and degeneration.
Alzheimers,Degenerative_abnormality,C0002395,C0011164,15140940,https://pubmed.ncbi.nlm.nih.gov/15140940,"Alzheimer's disease (AD), the most common neurodegenerative disorder, results in progressive degeneration of synapses and aberrant sprouting of axon terminals."
Alzheimers,Degenerative_abnormality,C0002395,C0011164,15140940,https://pubmed.ncbi.nlm.nih.gov/15140940,"Alzheimer's disease (AD), the most common neurodegenerative disorder, results in progressive degeneration of synapses and aberrant sprouting of axon terminals."
Alzheimers,Degenerative_abnormality,C0002395,C0011164,15140940,https://pubmed.ncbi.nlm.nih.gov/15140940,"Alzheimer's disease (AD), the most common neurodegenerative disorder, results in progressive degeneration of synapses and aberrant sprouting of axon terminals."
Alzheimers,Degenerative_abnormality,C0002395,C0011164,15234342,https://pubmed.ncbi.nlm.nih.gov/15234342,"Alzheimer's disease is a neurological disorder resulting in the degeneration and death of brain neurons controlling memory, cognition and behavior."
Alzheimers,Degenerative_abnormality,C0002395,C0011164,15234342,https://pubmed.ncbi.nlm.nih.gov/15234342,"Although overproduction of Abeta peptides is widely considered a causative event in the disease, the mechanisms by which Abeta peptides cause neurodegeneration and the processes of Abeta clearance and degradation remain unclear."
Alzheimers,Degenerative_abnormality,C0002395,C0011164,15234342,https://pubmed.ncbi.nlm.nih.gov/15234342,"Alzheimer's disease is a neurological disorder resulting in the degeneration and death of brain neurons controlling memory, cognition and behavior."
