from,to,subject_cui,object_cui,pmid,pmid_url,sentence
Hypertension,Alzheimers,C0020538,C0002395,12480731,https://pubmed.ncbi.nlm.nih.gov/12480731,"The consequences of hypertension include cerebrovascular disease, coronary heart disease, and general atherosclerosis."
Hypertension,Alzheimers,C0020538,C0002395,12480731,https://pubmed.ncbi.nlm.nih.gov/12480731,Hypertension and related factors in the etiology of Alzheimer's disease.
Hypertension,Alzheimers,C0020538,C0002395,17362841,https://pubmed.ncbi.nlm.nih.gov/17362841,"In recent years the renin-angiotensin system, already of recognised importance in the pathogenesis of hypertension, has become a source of interest in the pathogenesis of Alzheimer's disease."
Hypertension,Alzheimers,C0020538,C0002395,19555872,https://pubmed.ncbi.nlm.nih.gov/19555872,Cumulative evidence implicates hypertension in the pathogenesis of Alzheimer disease.
Hypertension,Alzheimers,C0020538,C0002395,22615109,https://pubmed.ncbi.nlm.nih.gov/22615109,"Interestingly, RAGE inhibition protected from hypertension-induced Alzheimer pathology, as showed by rescue from cognitive impairment and parenchymal Abeta deposition."
Hypertension,Alzheimers,C0020538,C0002395,22615109,https://pubmed.ncbi.nlm.nih.gov/22615109,"Overall we demonstrate that RAGE activation in brain vessels is a crucial pathogenetic event in hypertension-induced Alzheimer disease, suggesting that inhibiting this target can limit the onset of vascular-related Alzheimer disease."
Hypertension,Alzheimers,C0020538,C0002395,25976367,https://pubmed.ncbi.nlm.nih.gov/25976367,"Several preclinical and epidemiological studies have linked metabolic risk factors such as hypertension, obesity, dyslipidemia, and diabetes to the pathogenesis of AD."
Hypertension,Alzheimers,C0020538,C0002395,29568075,https://pubmed.ncbi.nlm.nih.gov/29568075,"Hypertension-induced endothelial dysfunction is associated with beta-amyloid (Abeta) deposition, a typical pathology of Alzheimer's disease (AD)."
Hypertension,Alzheimers,C0020538,C0002395,29568075,https://pubmed.ncbi.nlm.nih.gov/29568075,"In conclusion, eNOS downregulation contributed to hypertension-induced Alzheimer pathology and cognitive impairment."
Hypertension,Alzheimers,C0020538,C0002395,30854970,https://pubmed.ncbi.nlm.nih.gov/30854970,"Chronic, low-level environmental lead (Pb) exposure is associated with cognitive impairment, hypertension and mortality, and has been proposed as a potential cause of AD."
Hypertension,Alzheimers,C0020538,C0002395,31889399,https://pubmed.ncbi.nlm.nih.gov/31889399,The study result showed that HTN-induced AD regulated long-term memory (LTM) loss and neuronal degeneration in the SHR animals.
Hypertension,Alzheimers,C0020538,C0002395,31889399,https://pubmed.ncbi.nlm.nih.gov/31889399,Dipeptide IF prevents the effects of hypertension-induced Alzheimer's disease on long-term memory in the cortex of spontaneously hypertensive rats.
Hypertension,Alzheimers,C0020538,C0002395,34897090,https://pubmed.ncbi.nlm.nih.gov/34897090,Hypertension is a major risk factor for the pathogenesis of vascular dementia and Alzheimer's disease.
Hypertension,Alzheimers,C0020538,C0002395,38062190,https://pubmed.ncbi.nlm.nih.gov/38062190,The results suggest that the increased risk of AD owing to hypertension is mediated through stroke.
Hypertension,Alzheimers,C0020538,C0002395,38062190,https://pubmed.ncbi.nlm.nih.gov/38062190,This implies that approximately 55% of the risk of AD owing to hypertension can be attributed to stroke.
Hypertension,Alzheimers,C0020538,C0002395,9894287,https://pubmed.ncbi.nlm.nih.gov/9894287,"A possible consequence of these findings would be to prevent, or to postpone, AD by an early treatment of arterial hypertension."
Intestinal_Microbiome,Alzheimers,C2985398,C0002395,32319677,https://pubmed.ncbi.nlm.nih.gov/32319677,"However, studies related to gut microbiota have been mostly restricted to comparisons of amyloid deposits, while investigations on neurobehavioral changes and the pathogenesis of AD are limited."
Intestinal_Microbiome,Alzheimers,C2985398,C0002395,32319677,https://pubmed.ncbi.nlm.nih.gov/32319677,"However, studies related to gut microbiota have been mostly restricted to comparisons of amyloid deposits, while investigations on neurobehavioral changes and the pathogenesis of AD are limited."
Intestinal_Microbiome,Alzheimers,C2985398,C0002395,32319677,https://pubmed.ncbi.nlm.nih.gov/32319677,"However, studies related to gut microbiota have been mostly restricted to comparisons of amyloid deposits, while investigations on neurobehavioral changes and the pathogenesis of AD are limited."
Intestinal_Microbiome,Alzheimers,C2985398,C0002395,32829453,https://pubmed.ncbi.nlm.nih.gov/32829453,"In this narrative review, we provide an overview of gut microbiota and their dysregulation in the pathogenesis of AD."
Intestinal_Microbiome,Alzheimers,C2985398,C0002395,32829453,https://pubmed.ncbi.nlm.nih.gov/32829453,"Although a causal relationship between gut dysbiosis and neural dysfunction remains elusive, emerging evidence indicates that gut dysbiosis may promote amyloid-beta aggregation, neuroinflammation, oxidative stress, and insulin resistance in the pathogenesis of Alzheimer's disease (AD)."
Intestinal_Microbiome,Alzheimers,C2985398,C0002395,32829453,https://pubmed.ncbi.nlm.nih.gov/32829453,"In this narrative review, we provide an overview of gut microbiota and their dysregulation in the pathogenesis of AD."
Intestinal_Microbiome,Alzheimers,C2985398,C0002395,32829453,https://pubmed.ncbi.nlm.nih.gov/32829453,"Although a causal relationship between gut dysbiosis and neural dysfunction remains elusive, emerging evidence indicates that gut dysbiosis may promote amyloid-beta aggregation, neuroinflammation, oxidative stress, and insulin resistance in the pathogenesis of Alzheimer's disease (AD)."
Intestinal_Microbiome,Alzheimers,C2985398,C0002395,32829453,https://pubmed.ncbi.nlm.nih.gov/32829453,"In this narrative review, we provide an overview of gut microbiota and their dysregulation in the pathogenesis of AD."
Intestinal_Microbiome,Alzheimers,C2985398,C0002395,32829453,https://pubmed.ncbi.nlm.nih.gov/32829453,"Although a causal relationship between gut dysbiosis and neural dysfunction remains elusive, emerging evidence indicates that gut dysbiosis may promote amyloid-beta aggregation, neuroinflammation, oxidative stress, and insulin resistance in the pathogenesis of Alzheimer's disease (AD)."
Intestinal_Microbiome,Alzheimers,C2985398,C0002395,32876860,https://pubmed.ncbi.nlm.nih.gov/32876860,Roles of Gut Microbiota in Pathogenesis of Alzheimer's Disease and Therapeutic Effects of Chinese Medicine.
Intestinal_Microbiome,Alzheimers,C2985398,C0002395,32876860,https://pubmed.ncbi.nlm.nih.gov/32876860,"Hence, the purpose of this review is to outline the roles of GM and its core metabolites in the pathogenesis of AD."
Intestinal_Microbiome,Alzheimers,C2985398,C0002395,32876860,https://pubmed.ncbi.nlm.nih.gov/32876860,Roles of Gut Microbiota in Pathogenesis of Alzheimer's Disease and Therapeutic Effects of Chinese Medicine.Alzheimer's disease (AD) is the most common neurodegenerative disease characterized by progressive cognitive impairment.
Intestinal_Microbiome,Alzheimers,C2985398,C0002395,32876860,https://pubmed.ncbi.nlm.nih.gov/32876860,Roles of Gut Microbiota in Pathogenesis of Alzheimer's Disease and Therapeutic Effects of Chinese Medicine.
Intestinal_Microbiome,Alzheimers,C2985398,C0002395,32876860,https://pubmed.ncbi.nlm.nih.gov/32876860,"Hence, the purpose of this review is to outline the roles of GM and its core metabolites in the pathogenesis of AD."
Intestinal_Microbiome,Alzheimers,C2985398,C0002395,32876860,https://pubmed.ncbi.nlm.nih.gov/32876860,Roles of Gut Microbiota in Pathogenesis of Alzheimer's Disease and Therapeutic Effects of Chinese Medicine.Alzheimer's disease (AD) is the most common neurodegenerative disease characterized by progressive cognitive impairment.
Intestinal_Microbiome,Alzheimers,C2985398,C0002395,32876860,https://pubmed.ncbi.nlm.nih.gov/32876860,Roles of Gut Microbiota in Pathogenesis of Alzheimer's Disease and Therapeutic Effects of Chinese Medicine.
Intestinal_Microbiome,Alzheimers,C2985398,C0002395,32876860,https://pubmed.ncbi.nlm.nih.gov/32876860,"Hence, the purpose of this review is to outline the roles of GM and its core metabolites in the pathogenesis of AD."
Intestinal_Microbiome,Alzheimers,C2985398,C0002395,32876860,https://pubmed.ncbi.nlm.nih.gov/32876860,Roles of Gut Microbiota in Pathogenesis of Alzheimer's Disease and Therapeutic Effects of Chinese Medicine.Alzheimer's disease (AD) is the most common neurodegenerative disease characterized by progressive cognitive impairment.
Intestinal_Microbiome,Alzheimers,C2985398,C0002395,33814442,https://pubmed.ncbi.nlm.nih.gov/33814442,Recent studies showed that gut microbiota might play an important role in the pathogenesis of Alzheimer's disease (AD).
Intestinal_Microbiome,Alzheimers,C2985398,C0002395,33814442,https://pubmed.ncbi.nlm.nih.gov/33814442,Recent studies showed that gut microbiota might play an important role in the pathogenesis of Alzheimer's disease (AD).
Intestinal_Microbiome,Alzheimers,C2985398,C0002395,33814442,https://pubmed.ncbi.nlm.nih.gov/33814442,Recent studies showed that gut microbiota might play an important role in the pathogenesis of Alzheimer's disease (AD).
Intestinal_Microbiome,Alzheimers,C2985398,C0002395,33829390,https://pubmed.ncbi.nlm.nih.gov/33829390,This review discusses the gut microbiota and epigenetics connection in the pathogenesis of AD and aims to highlight vast opportunities for diagnosis and therapeutics of AD.
Intestinal_Microbiome,Alzheimers,C2985398,C0002395,33829390,https://pubmed.ncbi.nlm.nih.gov/33829390,This review discusses the gut microbiota and epigenetics connection in the pathogenesis of AD and aims to highlight vast opportunities for diagnosis and therapeutics of AD.
Intestinal_Microbiome,Alzheimers,C2985398,C0002395,33829390,https://pubmed.ncbi.nlm.nih.gov/33829390,This review discusses the gut microbiota and epigenetics connection in the pathogenesis of AD and aims to highlight vast opportunities for diagnosis and therapeutics of AD.
Intestinal_Microbiome,Alzheimers,C2985398,C0002395,33916001,https://pubmed.ncbi.nlm.nih.gov/33916001,"Recent studies suggested that gut microbiota can influence AD progression; however, potential mechanisms linking the gut microbiota with AD pathogenesis remain obscure."
Intestinal_Microbiome,Alzheimers,C2985398,C0002395,33916001,https://pubmed.ncbi.nlm.nih.gov/33916001,"Alzheimer's disease (AD), a progressive neurodegenerative disorder characterized by memory loss and cognitive decline, is a major cause of death and disability among the older population."
Intestinal_Microbiome,Alzheimers,C2985398,C0002395,33916001,https://pubmed.ncbi.nlm.nih.gov/33916001,"Recent studies suggested that gut microbiota can influence AD progression; however, potential mechanisms linking the gut microbiota with AD pathogenesis remain obscure."
Intestinal_Microbiome,Alzheimers,C2985398,C0002395,33916001,https://pubmed.ncbi.nlm.nih.gov/33916001,"Alzheimer's disease (AD), a progressive neurodegenerative disorder characterized by memory loss and cognitive decline, is a major cause of death and disability among the older population."
Intestinal_Microbiome,Alzheimers,C2985398,C0002395,33916001,https://pubmed.ncbi.nlm.nih.gov/33916001,"Recent studies suggested that gut microbiota can influence AD progression; however, potential mechanisms linking the gut microbiota with AD pathogenesis remain obscure."
Intestinal_Microbiome,Alzheimers,C2985398,C0002395,33916001,https://pubmed.ncbi.nlm.nih.gov/33916001,"Alzheimer's disease (AD), a progressive neurodegenerative disorder characterized by memory loss and cognitive decline, is a major cause of death and disability among the older population."
Intestinal_Microbiome,Alzheimers,C2985398,C0002395,34365962,https://pubmed.ncbi.nlm.nih.gov/34365962,"As supported by a growing amount of evidence in recent years, the gut microbiota plays an important role in the pathogenesis of Alzheimer's disease through the brain-gut-microbiota axis."
Intestinal_Microbiome,Alzheimers,C2985398,C0002395,34365962,https://pubmed.ncbi.nlm.nih.gov/34365962,"As supported by a growing amount of evidence in recent years, the gut microbiota plays an important role in the pathogenesis of Alzheimer's disease through the brain-gut-microbiota axis."
Intestinal_Microbiome,Alzheimers,C2985398,C0002395,34365962,https://pubmed.ncbi.nlm.nih.gov/34365962,"As supported by a growing amount of evidence in recent years, the gut microbiota plays an important role in the pathogenesis of Alzheimer's disease through the brain-gut-microbiota axis."
Intestinal_Microbiome,Alzheimers,C2985398,C0002395,34384375,https://pubmed.ncbi.nlm.nih.gov/34384375,This study aims to investigate metabolic output of the dysbiosis of GMB in AD pathogenesis.
Intestinal_Microbiome,Alzheimers,C2985398,C0002395,34384375,https://pubmed.ncbi.nlm.nih.gov/34384375,This study aims to investigate metabolic output of the dysbiosis of GMB in AD pathogenesis.
Intestinal_Microbiome,Alzheimers,C2985398,C0002395,34384375,https://pubmed.ncbi.nlm.nih.gov/34384375,This study aims to investigate metabolic output of the dysbiosis of GMB in AD pathogenesis.
Intestinal_Microbiome,Alzheimers,C2985398,C0002395,34411603,https://pubmed.ncbi.nlm.nih.gov/34411603,The initial stage of the involvement of gut microbiota in the pathogenesis of AD may be the dysfunction of the blood-brain barrier (BBB).
Intestinal_Microbiome,Alzheimers,C2985398,C0002395,34411603,https://pubmed.ncbi.nlm.nih.gov/34411603,The initial stage of the involvement of gut microbiota in the pathogenesis of AD may be the dysfunction of the blood-brain barrier (BBB).
Intestinal_Microbiome,Alzheimers,C2985398,C0002395,34411603,https://pubmed.ncbi.nlm.nih.gov/34411603,The initial stage of the involvement of gut microbiota in the pathogenesis of AD may be the dysfunction of the blood-brain barrier (BBB).
Intestinal_Microbiome,Alzheimers,C2985398,C0002395,34520319,https://pubmed.ncbi.nlm.nih.gov/34520319,"Finally, we discuss the possible interactions between SCRD and GM in AD pathogenesis, as well as several methodological improvements that are necessary for future research."
Intestinal_Microbiome,Alzheimers,C2985398,C0002395,34520319,https://pubmed.ncbi.nlm.nih.gov/34520319,"Finally, we discuss the possible interactions between SCRD and GM in AD pathogenesis, as well as several methodological improvements that are necessary for future research."
Intestinal_Microbiome,Alzheimers,C2985398,C0002395,34520319,https://pubmed.ncbi.nlm.nih.gov/34520319,"Finally, we discuss the possible interactions between SCRD and GM in AD pathogenesis, as well as several methodological improvements that are necessary for future research."
Intestinal_Microbiome,Alzheimers,C2985398,C0002395,34735921,https://pubmed.ncbi.nlm.nih.gov/34735921,"Recently, the roles of short-chain fatty acids (SCFAs), the main metabolites generated by fermentation of dietary fiber by gut microbiota, in the pathogenesis of AD have attracted considerable interest."
Intestinal_Microbiome,Alzheimers,C2985398,C0002395,34735921,https://pubmed.ncbi.nlm.nih.gov/34735921,"Recently, the roles of short-chain fatty acids (SCFAs), the main metabolites generated by fermentation of dietary fiber by gut microbiota, in the pathogenesis of AD have attracted considerable interest."
Intestinal_Microbiome,Alzheimers,C2985398,C0002395,34735921,https://pubmed.ncbi.nlm.nih.gov/34735921,"Recently, the roles of short-chain fatty acids (SCFAs), the main metabolites generated by fermentation of dietary fiber by gut microbiota, in the pathogenesis of AD have attracted considerable interest."
Intestinal_Microbiome,Alzheimers,C2985398,C0002395,35070441,https://pubmed.ncbi.nlm.nih.gov/35070441,This article aims to review the leading-edge knowledge concerning potential roles of GM in AD pathogenesis and of probiotics in its treatment and prevention.
