from,to,subject_cui,object_cui,pmid,pmid_url,sentence
Hypertension,Alzheimers,C0020538,C0002395,12480731,https://pubmed.ncbi.nlm.nih.gov/12480731,"The consequences of hypertension include cerebrovascular disease, coronary heart disease, and general atherosclerosis."
Hypertension,Alzheimers,C0020538,C0002395,12480731,https://pubmed.ncbi.nlm.nih.gov/12480731,Hypertension and related factors in the etiology of Alzheimer's disease.
Hypertension,Alzheimers,C0020538,C0002395,17362841,https://pubmed.ncbi.nlm.nih.gov/17362841,"In recent years the renin-angiotensin system, already of recognised importance in the pathogenesis of hypertension, has become a source of interest in the pathogenesis of Alzheimer's disease."
Hypertension,Alzheimers,C0020538,C0002395,19555872,https://pubmed.ncbi.nlm.nih.gov/19555872,Cumulative evidence implicates hypertension in the pathogenesis of Alzheimer disease.
Hypertension,Alzheimers,C0020538,C0002395,22615109,https://pubmed.ncbi.nlm.nih.gov/22615109,"Interestingly, RAGE inhibition protected from hypertension-induced Alzheimer pathology, as showed by rescue from cognitive impairment and parenchymal Abeta deposition."
Hypertension,Alzheimers,C0020538,C0002395,22615109,https://pubmed.ncbi.nlm.nih.gov/22615109,"Overall we demonstrate that RAGE activation in brain vessels is a crucial pathogenetic event in hypertension-induced Alzheimer disease, suggesting that inhibiting this target can limit the onset of vascular-related Alzheimer disease."
Hypertension,Alzheimers,C0020538,C0002395,25976367,https://pubmed.ncbi.nlm.nih.gov/25976367,"Several preclinical and epidemiological studies have linked metabolic risk factors such as hypertension, obesity, dyslipidemia, and diabetes to the pathogenesis of AD."
Hypertension,Alzheimers,C0020538,C0002395,29568075,https://pubmed.ncbi.nlm.nih.gov/29568075,"Hypertension-induced endothelial dysfunction is associated with beta-amyloid (Abeta) deposition, a typical pathology of Alzheimer's disease (AD)."
Hypertension,Alzheimers,C0020538,C0002395,29568075,https://pubmed.ncbi.nlm.nih.gov/29568075,"In conclusion, eNOS downregulation contributed to hypertension-induced Alzheimer pathology and cognitive impairment."
Hypertension,Alzheimers,C0020538,C0002395,30854970,https://pubmed.ncbi.nlm.nih.gov/30854970,"Chronic, low-level environmental lead (Pb) exposure is associated with cognitive impairment, hypertension and mortality, and has been proposed as a potential cause of AD."
Hypertension,Alzheimers,C0020538,C0002395,31889399,https://pubmed.ncbi.nlm.nih.gov/31889399,The study result showed that HTN-induced AD regulated long-term memory (LTM) loss and neuronal degeneration in the SHR animals.
Hypertension,Alzheimers,C0020538,C0002395,31889399,https://pubmed.ncbi.nlm.nih.gov/31889399,Dipeptide IF prevents the effects of hypertension-induced Alzheimer's disease on long-term memory in the cortex of spontaneously hypertensive rats.
Hypertension,Alzheimers,C0020538,C0002395,34897090,https://pubmed.ncbi.nlm.nih.gov/34897090,Hypertension is a major risk factor for the pathogenesis of vascular dementia and Alzheimer's disease.
Hypertension,Alzheimers,C0020538,C0002395,38062190,https://pubmed.ncbi.nlm.nih.gov/38062190,The results suggest that the increased risk of AD owing to hypertension is mediated through stroke.
Hypertension,Alzheimers,C0020538,C0002395,38062190,https://pubmed.ncbi.nlm.nih.gov/38062190,This implies that approximately 55% of the risk of AD owing to hypertension can be attributed to stroke.
Hypertension,Alzheimers,C0020538,C0002395,9894287,https://pubmed.ncbi.nlm.nih.gov/9894287,"A possible consequence of these findings would be to prevent, or to postpone, AD by an early treatment of arterial hypertension."
Lipopolysaccharides,Alzheimers,C0023810,C0002395,22211682,https://pubmed.ncbi.nlm.nih.gov/22211682,"For instance, lipopolysaccharides in PD and amyloid beta in AD trigger microglia and astrocytes to release reactive oxygen species (ROS) and proinflammatory cytokines."
Lipopolysaccharides,Alzheimers,C0023810,C0002395,22211682,https://pubmed.ncbi.nlm.nih.gov/22211682,"For instance, lipopolysaccharides in PD and amyloid beta in AD trigger microglia and astrocytes to release reactive oxygen species (ROS) and proinflammatory cytokines."
Lipopolysaccharides,Alzheimers,C0023810,C0002395,22211682,https://pubmed.ncbi.nlm.nih.gov/22211682,"For instance, lipopolysaccharides in PD and amyloid beta in AD trigger microglia and astrocytes to release reactive oxygen species (ROS) and proinflammatory cytokines."
Lipopolysaccharides,Alzheimers,C0023810,C0002395,25454121,https://pubmed.ncbi.nlm.nih.gov/25454121,"RESULTS: Systemic LPS induced AD, as shown by cognitive impairment; increased levels of Abeta and concomitant increase in the brain NO concentrations."
Lipopolysaccharides,Alzheimers,C0023810,C0002395,25454121,https://pubmed.ncbi.nlm.nih.gov/25454121,"RESULTS: Systemic LPS induced AD, as shown by cognitive impairment; increased levels of Abeta and concomitant increase in the brain NO concentrations."
Lipopolysaccharides,Alzheimers,C0023810,C0002395,25454121,https://pubmed.ncbi.nlm.nih.gov/25454121,"RESULTS: Systemic LPS induced AD, as shown by cognitive impairment; increased levels of Abeta and concomitant increase in the brain NO concentrations."
Lipopolysaccharides,Alzheimers,C0023810,C0002395,29447949,https://pubmed.ncbi.nlm.nih.gov/29447949,"RESULTS: It was found that successive intragastric administration of AOF (360 mg/kg) extracts for 14 days showed different degrees of improvement on LPS-induced AD model as measured by Y-maze test, Morris water maze test, and Histopathological examination."
Lipopolysaccharides,Alzheimers,C0023810,C0002395,29447949,https://pubmed.ncbi.nlm.nih.gov/29447949,The anti-amnesic effects of different solvent extracts from AOF were measured in LPS-induced memory deficits mice by Y maze test and Morris water maze (MWM) test.
Lipopolysaccharides,Alzheimers,C0023810,C0002395,29447949,https://pubmed.ncbi.nlm.nih.gov/29447949,"RESULTS: It was found that successive intragastric administration of AOF (360 mg/kg) extracts for 14 days showed different degrees of improvement on LPS-induced AD model as measured by Y-maze test, Morris water maze test, and Histopathological examination."
Lipopolysaccharides,Alzheimers,C0023810,C0002395,29447949,https://pubmed.ncbi.nlm.nih.gov/29447949,The anti-amnesic effects of different solvent extracts from AOF were measured in LPS-induced memory deficits mice by Y maze test and Morris water maze (MWM) test.
Lipopolysaccharides,Alzheimers,C0023810,C0002395,29447949,https://pubmed.ncbi.nlm.nih.gov/29447949,"RESULTS: It was found that successive intragastric administration of AOF (360 mg/kg) extracts for 14 days showed different degrees of improvement on LPS-induced AD model as measured by Y-maze test, Morris water maze test, and Histopathological examination."
Lipopolysaccharides,Alzheimers,C0023810,C0002395,29447949,https://pubmed.ncbi.nlm.nih.gov/29447949,The anti-amnesic effects of different solvent extracts from AOF were measured in LPS-induced memory deficits mice by Y maze test and Morris water maze (MWM) test.
Lipopolysaccharides,Alzheimers,C0023810,C0002395,31073286,https://pubmed.ncbi.nlm.nih.gov/31073286,Design: We explored to investigate the effects of GA on neuroinflammation and memory impairment in an LPS-induced Alzheimer's mouse model.
Lipopolysaccharides,Alzheimers,C0023810,C0002395,31073286,https://pubmed.ncbi.nlm.nih.gov/31073286,Design: We explored to investigate the effects of GA on neuroinflammation and memory impairment in an LPS-induced Alzheimer's mouse model.
Lipopolysaccharides,Alzheimers,C0023810,C0002395,31073286,https://pubmed.ncbi.nlm.nih.gov/31073286,Design: We explored to investigate the effects of GA on neuroinflammation and memory impairment in an LPS-induced Alzheimer's mouse model.
Lipopolysaccharides,Alzheimers,C0023810,C0002395,31463498,https://pubmed.ncbi.nlm.nih.gov/31463498,"Our data showed that SEO improved the cognitive ability of mice with Abeta1-42 or lipopolysaccharides (LPS)-induced Alzheimer's disease (AD) and suppressed the production of tumor necrosis factor-a (TNF-a), interleukin-6 (IL-6), and interleukin-1beta (IL-1beta) in the hippocampus."
Lipopolysaccharides,Alzheimers,C0023810,C0002395,31463498,https://pubmed.ncbi.nlm.nih.gov/31463498,"Our data showed that SEO improved the cognitive ability of mice with Abeta1-42 or lipopolysaccharides (LPS)-induced Alzheimer's disease (AD) and suppressed the production of tumor necrosis factor-a (TNF-a), interleukin-6 (IL-6), and interleukin-1beta (IL-1beta) in the hippocampus."
Lipopolysaccharides,Alzheimers,C0023810,C0002395,31463498,https://pubmed.ncbi.nlm.nih.gov/31463498,"Our data showed that SEO improved the cognitive ability of mice with Abeta1-42 or lipopolysaccharides (LPS)-induced Alzheimer's disease (AD) and suppressed the production of tumor necrosis factor-a (TNF-a), interleukin-6 (IL-6), and interleukin-1beta (IL-1beta) in the hippocampus."
Lipopolysaccharides,Alzheimers,C0023810,C0002395,32045690,https://pubmed.ncbi.nlm.nih.gov/32045690,Nasal timosaponin BII dually sensitive in situ hydrogels for the prevention of Alzheimer's disease induced by lipopolysaccharides.
Lipopolysaccharides,Alzheimers,C0023810,C0002395,32045690,https://pubmed.ncbi.nlm.nih.gov/32045690,Nasal timosaponin BII dually sensitive in situ hydrogels for the prevention of Alzheimer's disease induced by lipopolysaccharides.
Lipopolysaccharides,Alzheimers,C0023810,C0002395,32045690,https://pubmed.ncbi.nlm.nih.gov/32045690,Nasal timosaponin BII dually sensitive in situ hydrogels for the prevention of Alzheimer's disease induced by lipopolysaccharides.
Lipopolysaccharides,Alzheimers,C0023810,C0002395,32925065,https://pubmed.ncbi.nlm.nih.gov/32925065,Systemic Exposure to Lipopolysaccharide from Porphyromonas gingivalis Induces Bone Loss-Correlated Alzheimer's Disease-Like Pathologies in Middle-Aged Mice.
Lipopolysaccharides,Alzheimers,C0023810,C0002395,32925065,https://pubmed.ncbi.nlm.nih.gov/32925065,Systemic Exposure to Lipopolysaccharide from Porphyromonas gingivalis Induces Bone Loss-Correlated Alzheimer's Disease-Like Pathologies in Middle-Aged Mice.BACKGROUND: Alzheimer's disease (AD) and bone loss are clinically exacerbated.
Lipopolysaccharides,Alzheimers,C0023810,C0002395,32925065,https://pubmed.ncbi.nlm.nih.gov/32925065,Systemic Exposure to Lipopolysaccharide from Porphyromonas gingivalis Induces Bone Loss-Correlated Alzheimer's Disease-Like Pathologies in Middle-Aged Mice.
Lipopolysaccharides,Alzheimers,C0023810,C0002395,32925065,https://pubmed.ncbi.nlm.nih.gov/32925065,Systemic Exposure to Lipopolysaccharide from Porphyromonas gingivalis Induces Bone Loss-Correlated Alzheimer's Disease-Like Pathologies in Middle-Aged Mice.BACKGROUND: Alzheimer's disease (AD) and bone loss are clinically exacerbated.
Lipopolysaccharides,Alzheimers,C0023810,C0002395,32925065,https://pubmed.ncbi.nlm.nih.gov/32925065,Systemic Exposure to Lipopolysaccharide from Porphyromonas gingivalis Induces Bone Loss-Correlated Alzheimer's Disease-Like Pathologies in Middle-Aged Mice.
Lipopolysaccharides,Alzheimers,C0023810,C0002395,32925065,https://pubmed.ncbi.nlm.nih.gov/32925065,Systemic Exposure to Lipopolysaccharide from Porphyromonas gingivalis Induces Bone Loss-Correlated Alzheimer's Disease-Like Pathologies in Middle-Aged Mice.BACKGROUND: Alzheimer's disease (AD) and bone loss are clinically exacerbated.
Lipopolysaccharides,Alzheimers,C0023810,C0002395,33191624,https://pubmed.ncbi.nlm.nih.gov/33191624,"Here, we identified a non-equilibrium state of interaction between supramolecular lipopolysaccharide (LPS) and Abeta42, an aggregate-prone protein that causes Alzheimer's disease (AD)."
Lipopolysaccharides,Alzheimers,C0023810,C0002395,33191624,https://pubmed.ncbi.nlm.nih.gov/33191624,"Here, we identified a non-equilibrium state of interaction between supramolecular lipopolysaccharide (LPS) and Abeta42, an aggregate-prone protein that causes Alzheimer's disease (AD)."
Lipopolysaccharides,Alzheimers,C0023810,C0002395,33191624,https://pubmed.ncbi.nlm.nih.gov/33191624,"Here, we identified a non-equilibrium state of interaction between supramolecular lipopolysaccharide (LPS) and Abeta42, an aggregate-prone protein that causes Alzheimer's disease (AD)."
Lipopolysaccharides,Alzheimers,C0023810,C0002395,33481268,https://pubmed.ncbi.nlm.nih.gov/33481268,"Thirty female Wistar albino rats aged 6 months to 1 year were equally divided into five groups; control group, LPS-induced AD group, LPS + MVs group, LPS + NaHS group, and LPS + MVs and NaHS group."
Lipopolysaccharides,Alzheimers,C0023810,C0002395,33481268,https://pubmed.ncbi.nlm.nih.gov/33481268,The current study was conducted to evaluate the role of miR-155 in a rat model of lipopolysaccharide (LPS)-induced AD and to investigate the effect of using MVs and H     2       S that were given either separately or combined in regulating pro-inflammatory signaling.
Lipopolysaccharides,Alzheimers,C0023810,C0002395,33481268,https://pubmed.ncbi.nlm.nih.gov/33481268,"In conclusion, downregulation of TNF-alpha, miR-155, and pAkt and increased SHIP-1 could improve the neuro-inflammatory state and cognitive function of LPS-induced Alzheimer's disease."
Lipopolysaccharides,Alzheimers,C0023810,C0002395,33481268,https://pubmed.ncbi.nlm.nih.gov/33481268,Hydrogen sulfide and mesenchymal stem cells-extracted microvesicles attenuate LPS-induced Alzheimer's disease.
Lipopolysaccharides,Alzheimers,C0023810,C0002395,33481268,https://pubmed.ncbi.nlm.nih.gov/33481268,"Thirty female Wistar albino rats aged 6 months to 1 year were equally divided into five groups; control group, LPS-induced AD group, LPS + MVs group, LPS + NaHS group, and LPS + MVs and NaHS group."
Lipopolysaccharides,Alzheimers,C0023810,C0002395,33481268,https://pubmed.ncbi.nlm.nih.gov/33481268,The current study was conducted to evaluate the role of miR-155 in a rat model of lipopolysaccharide (LPS)-induced AD and to investigate the effect of using MVs and H     2       S that were given either separately or combined in regulating pro-inflammatory signaling.
Lipopolysaccharides,Alzheimers,C0023810,C0002395,33481268,https://pubmed.ncbi.nlm.nih.gov/33481268,"In conclusion, downregulation of TNF-alpha, miR-155, and pAkt and increased SHIP-1 could improve the neuro-inflammatory state and cognitive function of LPS-induced Alzheimer's disease."
Lipopolysaccharides,Alzheimers,C0023810,C0002395,33481268,https://pubmed.ncbi.nlm.nih.gov/33481268,Hydrogen sulfide and mesenchymal stem cells-extracted microvesicles attenuate LPS-induced Alzheimer's disease.
Lipopolysaccharides,Alzheimers,C0023810,C0002395,33481268,https://pubmed.ncbi.nlm.nih.gov/33481268,"Thirty female Wistar albino rats aged 6 months to 1 year were equally divided into five groups; control group, LPS-induced AD group, LPS + MVs group, LPS + NaHS group, and LPS + MVs and NaHS group."
Lipopolysaccharides,Alzheimers,C0023810,C0002395,33481268,https://pubmed.ncbi.nlm.nih.gov/33481268,The current study was conducted to evaluate the role of miR-155 in a rat model of lipopolysaccharide (LPS)-induced AD and to investigate the effect of using MVs and H     2       S that were given either separately or combined in regulating pro-inflammatory signaling.
