from,to,subject_cui,object_cui,pmid,pmid_url,sentence
Hypertension,Alzheimers,C0020538,C0002395,12480731,https://pubmed.ncbi.nlm.nih.gov/12480731,"The consequences of hypertension include cerebrovascular disease, coronary heart disease, and general atherosclerosis."
Hypertension,Alzheimers,C0020538,C0002395,12480731,https://pubmed.ncbi.nlm.nih.gov/12480731,Hypertension and related factors in the etiology of Alzheimer's disease.
Hypertension,Alzheimers,C0020538,C0002395,17362841,https://pubmed.ncbi.nlm.nih.gov/17362841,"In recent years the renin-angiotensin system, already of recognised importance in the pathogenesis of hypertension, has become a source of interest in the pathogenesis of Alzheimer's disease."
Hypertension,Alzheimers,C0020538,C0002395,19555872,https://pubmed.ncbi.nlm.nih.gov/19555872,Cumulative evidence implicates hypertension in the pathogenesis of Alzheimer disease.
Hypertension,Alzheimers,C0020538,C0002395,22615109,https://pubmed.ncbi.nlm.nih.gov/22615109,"Interestingly, RAGE inhibition protected from hypertension-induced Alzheimer pathology, as showed by rescue from cognitive impairment and parenchymal Abeta deposition."
Hypertension,Alzheimers,C0020538,C0002395,22615109,https://pubmed.ncbi.nlm.nih.gov/22615109,"Overall we demonstrate that RAGE activation in brain vessels is a crucial pathogenetic event in hypertension-induced Alzheimer disease, suggesting that inhibiting this target can limit the onset of vascular-related Alzheimer disease."
Hypertension,Alzheimers,C0020538,C0002395,25976367,https://pubmed.ncbi.nlm.nih.gov/25976367,"Several preclinical and epidemiological studies have linked metabolic risk factors such as hypertension, obesity, dyslipidemia, and diabetes to the pathogenesis of AD."
Hypertension,Alzheimers,C0020538,C0002395,29568075,https://pubmed.ncbi.nlm.nih.gov/29568075,"Hypertension-induced endothelial dysfunction is associated with beta-amyloid (Abeta) deposition, a typical pathology of Alzheimer's disease (AD)."
Hypertension,Alzheimers,C0020538,C0002395,29568075,https://pubmed.ncbi.nlm.nih.gov/29568075,"In conclusion, eNOS downregulation contributed to hypertension-induced Alzheimer pathology and cognitive impairment."
Hypertension,Alzheimers,C0020538,C0002395,30854970,https://pubmed.ncbi.nlm.nih.gov/30854970,"Chronic, low-level environmental lead (Pb) exposure is associated with cognitive impairment, hypertension and mortality, and has been proposed as a potential cause of AD."
Hypertension,Alzheimers,C0020538,C0002395,31889399,https://pubmed.ncbi.nlm.nih.gov/31889399,The study result showed that HTN-induced AD regulated long-term memory (LTM) loss and neuronal degeneration in the SHR animals.
Hypertension,Alzheimers,C0020538,C0002395,31889399,https://pubmed.ncbi.nlm.nih.gov/31889399,Dipeptide IF prevents the effects of hypertension-induced Alzheimer's disease on long-term memory in the cortex of spontaneously hypertensive rats.
Hypertension,Alzheimers,C0020538,C0002395,34897090,https://pubmed.ncbi.nlm.nih.gov/34897090,Hypertension is a major risk factor for the pathogenesis of vascular dementia and Alzheimer's disease.
Hypertension,Alzheimers,C0020538,C0002395,38062190,https://pubmed.ncbi.nlm.nih.gov/38062190,The results suggest that the increased risk of AD owing to hypertension is mediated through stroke.
Hypertension,Alzheimers,C0020538,C0002395,38062190,https://pubmed.ncbi.nlm.nih.gov/38062190,This implies that approximately 55% of the risk of AD owing to hypertension can be attributed to stroke.
Hypertension,Alzheimers,C0020538,C0002395,9894287,https://pubmed.ncbi.nlm.nih.gov/9894287,"A possible consequence of these findings would be to prevent, or to postpone, AD by an early treatment of arterial hypertension."
Toxic_effect,Alzheimers,C0600688,C0002395,1423339,https://pubmed.ncbi.nlm.nih.gov/1423339,An elderly woman developed an Alzheimer-like subacute dementia as a result of propranolol toxicity.
Toxic_effect,Alzheimers,C0600688,C0002395,1423339,https://pubmed.ncbi.nlm.nih.gov/1423339,An elderly woman developed an Alzheimer-like subacute dementia as a result of propranolol toxicity.
Toxic_effect,Alzheimers,C0600688,C0002395,1423339,https://pubmed.ncbi.nlm.nih.gov/1423339,An elderly woman developed an Alzheimer-like subacute dementia as a result of propranolol toxicity.
Toxic_effect,Alzheimers,C0600688,C0002395,16866916,https://pubmed.ncbi.nlm.nih.gov/16866916,"According to the amyloid cascade hypothesis, both familial and sporadic Alzheimer's disease (AD) is caused by the toxic effect of over-production and/or aggregation of beta-amyloid (Abeta)."
Toxic_effect,Alzheimers,C0600688,C0002395,16866916,https://pubmed.ncbi.nlm.nih.gov/16866916,"According to the amyloid cascade hypothesis, both familial and sporadic Alzheimer's disease (AD) is caused by the toxic effect of over-production and/or aggregation of beta-amyloid (Abeta)."
Toxic_effect,Alzheimers,C0600688,C0002395,16866916,https://pubmed.ncbi.nlm.nih.gov/16866916,"According to the amyloid cascade hypothesis, both familial and sporadic Alzheimer's disease (AD) is caused by the toxic effect of over-production and/or aggregation of beta-amyloid (Abeta)."
Toxic_effect,Alzheimers,C0600688,C0002395,17676931,https://pubmed.ncbi.nlm.nih.gov/17676931,Amyloid beta (Abeta) toxicity has been hypothesized to initiate the pathogenesis of Alzheimer's disease (AD).
Toxic_effect,Alzheimers,C0600688,C0002395,17676931,https://pubmed.ncbi.nlm.nih.gov/17676931,Amyloid beta (Abeta) toxicity has been hypothesized to initiate the pathogenesis of Alzheimer's disease (AD).
Toxic_effect,Alzheimers,C0600688,C0002395,17676931,https://pubmed.ncbi.nlm.nih.gov/17676931,Amyloid beta (Abeta) toxicity has been hypothesized to initiate the pathogenesis of Alzheimer's disease (AD).
Toxic_effect,Alzheimers,C0600688,C0002395,17873593,https://pubmed.ncbi.nlm.nih.gov/17873593,"Recent data also reveal that general anesthesia produces enduring cognitive impairment in aged but not young rodents and that halothane and isoflurane increase the generation and toxicity of amyloid beta, a protein strongly implicated in the pathogenesis of Alzheimer's disease."
Toxic_effect,Alzheimers,C0600688,C0002395,17873593,https://pubmed.ncbi.nlm.nih.gov/17873593,"Recent data also reveal that general anesthesia produces enduring cognitive impairment in aged but not young rodents and that halothane and isoflurane increase the generation and toxicity of amyloid beta, a protein strongly implicated in the pathogenesis of Alzheimer's disease."
Toxic_effect,Alzheimers,C0600688,C0002395,17873593,https://pubmed.ncbi.nlm.nih.gov/17873593,"Recent data also reveal that general anesthesia produces enduring cognitive impairment in aged but not young rodents and that halothane and isoflurane increase the generation and toxicity of amyloid beta, a protein strongly implicated in the pathogenesis of Alzheimer's disease."
Toxic_effect,Alzheimers,C0600688,C0002395,18160097,https://pubmed.ncbi.nlm.nih.gov/18160097,"Although neuronal apoptosis in Alzheimer's disease is generally interpreted as the consequence of the toxicity of extracellular beta-amyloid (Abeta) peptide aggregates, some experimental results provide evidence that the Abeta overproduction can be the result of a primary neuronal degeneration."
Toxic_effect,Alzheimers,C0600688,C0002395,18160097,https://pubmed.ncbi.nlm.nih.gov/18160097,"Although neuronal apoptosis in Alzheimer's disease is generally interpreted as the consequence of the toxicity of extracellular beta-amyloid (Abeta) peptide aggregates, some experimental results provide evidence that the Abeta overproduction can be the result of a primary neuronal degeneration."
Toxic_effect,Alzheimers,C0600688,C0002395,18160097,https://pubmed.ncbi.nlm.nih.gov/18160097,"Although neuronal apoptosis in Alzheimer's disease is generally interpreted as the consequence of the toxicity of extracellular beta-amyloid (Abeta) peptide aggregates, some experimental results provide evidence that the Abeta overproduction can be the result of a primary neuronal degeneration."
Toxic_effect,Alzheimers,C0600688,C0002395,19765580,https://pubmed.ncbi.nlm.nih.gov/19765580,"Recently, modulation of beta-amyloid (Abeta) toxicity, one of the major potential causes of Alzheimer's disease, has emerged as a possible therapeutic approach to control the onset of Alzheimer's disease."
Toxic_effect,Alzheimers,C0600688,C0002395,19765580,https://pubmed.ncbi.nlm.nih.gov/19765580,"Therefore, CBNU06 has the possible beneficial effects in Alzheimer's disease by attenuating Abeta-induced toxicity."
Toxic_effect,Alzheimers,C0600688,C0002395,19765580,https://pubmed.ncbi.nlm.nih.gov/19765580,"In this study, we investigated the neuroprotective effects and possible mechanisms by which 19-hydroxy-1alpha,6-diacetoxy-6,7-seco-ent-kaur-16-en-15-one-7,20-olide (named as CBNU06), a new diterpene isolated from Isodon japonicus, acts against Abeta-induced toxicity in PC12 cells."
Toxic_effect,Alzheimers,C0600688,C0002395,19765580,https://pubmed.ncbi.nlm.nih.gov/19765580,"Neuroprotective effects of the new diterpene, CBNU06 against beta-amyloid-induced toxicity through the inhibition of NF-kappaB signaling pathway in PC12 cells."
Toxic_effect,Alzheimers,C0600688,C0002395,19765580,https://pubmed.ncbi.nlm.nih.gov/19765580,"Recently, modulation of beta-amyloid (Abeta) toxicity, one of the major potential causes of Alzheimer's disease, has emerged as a possible therapeutic approach to control the onset of Alzheimer's disease."
Toxic_effect,Alzheimers,C0600688,C0002395,19765580,https://pubmed.ncbi.nlm.nih.gov/19765580,"Therefore, CBNU06 has the possible beneficial effects in Alzheimer's disease by attenuating Abeta-induced toxicity."
Toxic_effect,Alzheimers,C0600688,C0002395,19765580,https://pubmed.ncbi.nlm.nih.gov/19765580,"In this study, we investigated the neuroprotective effects and possible mechanisms by which 19-hydroxy-1alpha,6-diacetoxy-6,7-seco-ent-kaur-16-en-15-one-7,20-olide (named as CBNU06), a new diterpene isolated from Isodon japonicus, acts against Abeta-induced toxicity in PC12 cells."
Toxic_effect,Alzheimers,C0600688,C0002395,19765580,https://pubmed.ncbi.nlm.nih.gov/19765580,"Neuroprotective effects of the new diterpene, CBNU06 against beta-amyloid-induced toxicity through the inhibition of NF-kappaB signaling pathway in PC12 cells."
Toxic_effect,Alzheimers,C0600688,C0002395,19765580,https://pubmed.ncbi.nlm.nih.gov/19765580,"Recently, modulation of beta-amyloid (Abeta) toxicity, one of the major potential causes of Alzheimer's disease, has emerged as a possible therapeutic approach to control the onset of Alzheimer's disease."
Toxic_effect,Alzheimers,C0600688,C0002395,19765580,https://pubmed.ncbi.nlm.nih.gov/19765580,"Therefore, CBNU06 has the possible beneficial effects in Alzheimer's disease by attenuating Abeta-induced toxicity."
Toxic_effect,Alzheimers,C0600688,C0002395,19765580,https://pubmed.ncbi.nlm.nih.gov/19765580,"In this study, we investigated the neuroprotective effects and possible mechanisms by which 19-hydroxy-1alpha,6-diacetoxy-6,7-seco-ent-kaur-16-en-15-one-7,20-olide (named as CBNU06), a new diterpene isolated from Isodon japonicus, acts against Abeta-induced toxicity in PC12 cells."
Toxic_effect,Alzheimers,C0600688,C0002395,19765580,https://pubmed.ncbi.nlm.nih.gov/19765580,"Neuroprotective effects of the new diterpene, CBNU06 against beta-amyloid-induced toxicity through the inhibition of NF-kappaB signaling pathway in PC12 cells."
Toxic_effect,Alzheimers,C0600688,C0002395,19969390,https://pubmed.ncbi.nlm.nih.gov/19969390,"Alternatively, our analysis of the specific effects of DR on neuronal toxicity downstream of Abeta and tau pathologies with negative results may simply confirm that the neuro-protective effects of DR are upstream of the initiating events involved in the pathogenesis of AD."
Toxic_effect,Alzheimers,C0600688,C0002395,19969390,https://pubmed.ncbi.nlm.nih.gov/19969390,"Alternatively, our analysis of the specific effects of DR on neuronal toxicity downstream of Abeta and tau pathologies with negative results may simply confirm that the neuro-protective effects of DR are upstream of the initiating events involved in the pathogenesis of AD."
Toxic_effect,Alzheimers,C0600688,C0002395,19969390,https://pubmed.ncbi.nlm.nih.gov/19969390,"Alternatively, our analysis of the specific effects of DR on neuronal toxicity downstream of Abeta and tau pathologies with negative results may simply confirm that the neuro-protective effects of DR are upstream of the initiating events involved in the pathogenesis of AD."
Toxic_effect,Alzheimers,C0600688,C0002395,20159774,https://pubmed.ncbi.nlm.nih.gov/20159774,"Since accumulation of DNA damage has been detected in the brains of AD patients, our results suggest that the DNA damage-activated kinases Chk1 and Chk2 may be involved in tau phosphorylation and toxicity in the pathogenesis of AD."
Toxic_effect,Alzheimers,C0600688,C0002395,20159774,https://pubmed.ncbi.nlm.nih.gov/20159774,Overexpression of Drosophila Chk2 increases tau phosphorylation at Ser262 and enhances tau-induced neurodegeneration in transgenic flies expressing human tau.
Toxic_effect,Alzheimers,C0600688,C0002395,20159774,https://pubmed.ncbi.nlm.nih.gov/20159774,An imbalance in phosphorylation and/or dephosphorylation of tau at disease-related sites has been suggested to initiate the abnormal metabolism and toxicity of tau in disease pathogenesis.
Toxic_effect,Alzheimers,C0600688,C0002395,20159774,https://pubmed.ncbi.nlm.nih.gov/20159774,A DNA damage-activated checkpoint kinase phosphorylates tau and enhances tau-induced neurodegeneration.
Toxic_effect,Alzheimers,C0600688,C0002395,20159774,https://pubmed.ncbi.nlm.nih.gov/20159774,"Since accumulation of DNA damage has been detected in the brains of AD patients, our results suggest that the DNA damage-activated kinases Chk1 and Chk2 may be involved in tau phosphorylation and toxicity in the pathogenesis of AD."
Toxic_effect,Alzheimers,C0600688,C0002395,20159774,https://pubmed.ncbi.nlm.nih.gov/20159774,Overexpression of Drosophila Chk2 increases tau phosphorylation at Ser262 and enhances tau-induced neurodegeneration in transgenic flies expressing human tau.
Toxic_effect,Alzheimers,C0600688,C0002395,20159774,https://pubmed.ncbi.nlm.nih.gov/20159774,An imbalance in phosphorylation and/or dephosphorylation of tau at disease-related sites has been suggested to initiate the abnormal metabolism and toxicity of tau in disease pathogenesis.
Toxic_effect,Alzheimers,C0600688,C0002395,20159774,https://pubmed.ncbi.nlm.nih.gov/20159774,A DNA damage-activated checkpoint kinase phosphorylates tau and enhances tau-induced neurodegeneration.
Toxic_effect,Alzheimers,C0600688,C0002395,20159774,https://pubmed.ncbi.nlm.nih.gov/20159774,"Since accumulation of DNA damage has been detected in the brains of AD patients, our results suggest that the DNA damage-activated kinases Chk1 and Chk2 may be involved in tau phosphorylation and toxicity in the pathogenesis of AD."
Toxic_effect,Alzheimers,C0600688,C0002395,20159774,https://pubmed.ncbi.nlm.nih.gov/20159774,Overexpression of Drosophila Chk2 increases tau phosphorylation at Ser262 and enhances tau-induced neurodegeneration in transgenic flies expressing human tau.
Toxic_effect,Alzheimers,C0600688,C0002395,20159774,https://pubmed.ncbi.nlm.nih.gov/20159774,An imbalance in phosphorylation and/or dephosphorylation of tau at disease-related sites has been suggested to initiate the abnormal metabolism and toxicity of tau in disease pathogenesis.
Toxic_effect,Alzheimers,C0600688,C0002395,20159774,https://pubmed.ncbi.nlm.nih.gov/20159774,A DNA damage-activated checkpoint kinase phosphorylates tau and enhances tau-induced neurodegeneration.
