from,to,subject_cui,object_cui,pmid,pmid_url,sentence
Hypertension,Alzheimers,C0020538,C0002395,12480731,https://pubmed.ncbi.nlm.nih.gov/12480731,"The consequences of hypertension include cerebrovascular disease, coronary heart disease, and general atherosclerosis."
Hypertension,Alzheimers,C0020538,C0002395,12480731,https://pubmed.ncbi.nlm.nih.gov/12480731,Hypertension and related factors in the etiology of Alzheimer's disease.
Hypertension,Alzheimers,C0020538,C0002395,17362841,https://pubmed.ncbi.nlm.nih.gov/17362841,"In recent years the renin-angiotensin system, already of recognised importance in the pathogenesis of hypertension, has become a source of interest in the pathogenesis of Alzheimer's disease."
Hypertension,Alzheimers,C0020538,C0002395,19555872,https://pubmed.ncbi.nlm.nih.gov/19555872,Cumulative evidence implicates hypertension in the pathogenesis of Alzheimer disease.
Hypertension,Alzheimers,C0020538,C0002395,22615109,https://pubmed.ncbi.nlm.nih.gov/22615109,"Interestingly, RAGE inhibition protected from hypertension-induced Alzheimer pathology, as showed by rescue from cognitive impairment and parenchymal Abeta deposition."
Hypertension,Alzheimers,C0020538,C0002395,22615109,https://pubmed.ncbi.nlm.nih.gov/22615109,"Overall we demonstrate that RAGE activation in brain vessels is a crucial pathogenetic event in hypertension-induced Alzheimer disease, suggesting that inhibiting this target can limit the onset of vascular-related Alzheimer disease."
Hypertension,Alzheimers,C0020538,C0002395,25976367,https://pubmed.ncbi.nlm.nih.gov/25976367,"Several preclinical and epidemiological studies have linked metabolic risk factors such as hypertension, obesity, dyslipidemia, and diabetes to the pathogenesis of AD."
Hypertension,Alzheimers,C0020538,C0002395,29568075,https://pubmed.ncbi.nlm.nih.gov/29568075,"Hypertension-induced endothelial dysfunction is associated with beta-amyloid (Abeta) deposition, a typical pathology of Alzheimer's disease (AD)."
Hypertension,Alzheimers,C0020538,C0002395,29568075,https://pubmed.ncbi.nlm.nih.gov/29568075,"In conclusion, eNOS downregulation contributed to hypertension-induced Alzheimer pathology and cognitive impairment."
Hypertension,Alzheimers,C0020538,C0002395,30854970,https://pubmed.ncbi.nlm.nih.gov/30854970,"Chronic, low-level environmental lead (Pb) exposure is associated with cognitive impairment, hypertension and mortality, and has been proposed as a potential cause of AD."
Hypertension,Alzheimers,C0020538,C0002395,31889399,https://pubmed.ncbi.nlm.nih.gov/31889399,The study result showed that HTN-induced AD regulated long-term memory (LTM) loss and neuronal degeneration in the SHR animals.
Hypertension,Alzheimers,C0020538,C0002395,31889399,https://pubmed.ncbi.nlm.nih.gov/31889399,Dipeptide IF prevents the effects of hypertension-induced Alzheimer's disease on long-term memory in the cortex of spontaneously hypertensive rats.
Hypertension,Alzheimers,C0020538,C0002395,34897090,https://pubmed.ncbi.nlm.nih.gov/34897090,Hypertension is a major risk factor for the pathogenesis of vascular dementia and Alzheimer's disease.
Hypertension,Alzheimers,C0020538,C0002395,38062190,https://pubmed.ncbi.nlm.nih.gov/38062190,The results suggest that the increased risk of AD owing to hypertension is mediated through stroke.
Hypertension,Alzheimers,C0020538,C0002395,38062190,https://pubmed.ncbi.nlm.nih.gov/38062190,This implies that approximately 55% of the risk of AD owing to hypertension can be attributed to stroke.
Hypertension,Alzheimers,C0020538,C0002395,9894287,https://pubmed.ncbi.nlm.nih.gov/9894287,"A possible consequence of these findings would be to prevent, or to postpone, AD by an early treatment of arterial hypertension."
Reactive_Oxygen_Species,Alzheimers,C0162772,C0002395,10699754,https://pubmed.ncbi.nlm.nih.gov/10699754,Increasing evidence supports the role of reactive oxygen species (ROS) in the pathogenesis of Alzheimer's disease (AD).
Reactive_Oxygen_Species,Alzheimers,C0162772,C0002395,10699754,https://pubmed.ncbi.nlm.nih.gov/10699754,"To investigate the protective effects of Trx and TR against Abeta-induced toxicity, primary hippocampal cultures were treated with Trx or TR in combination with toxic doses of Abeta."
Reactive_Oxygen_Species,Alzheimers,C0162772,C0002395,10699754,https://pubmed.ncbi.nlm.nih.gov/10699754,Increasing evidence supports the role of reactive oxygen species (ROS) in the pathogenesis of Alzheimer's disease (AD).
Reactive_Oxygen_Species,Alzheimers,C0162772,C0002395,10699754,https://pubmed.ncbi.nlm.nih.gov/10699754,"To investigate the protective effects of Trx and TR against Abeta-induced toxicity, primary hippocampal cultures were treated with Trx or TR in combination with toxic doses of Abeta."
Reactive_Oxygen_Species,Alzheimers,C0162772,C0002395,10699754,https://pubmed.ncbi.nlm.nih.gov/10699754,Increasing evidence supports the role of reactive oxygen species (ROS) in the pathogenesis of Alzheimer's disease (AD).
Reactive_Oxygen_Species,Alzheimers,C0162772,C0002395,10699754,https://pubmed.ncbi.nlm.nih.gov/10699754,"To investigate the protective effects of Trx and TR against Abeta-induced toxicity, primary hippocampal cultures were treated with Trx or TR in combination with toxic doses of Abeta."
Reactive_Oxygen_Species,Alzheimers,C0162772,C0002395,10875435,https://pubmed.ncbi.nlm.nih.gov/10875435,The preliminary segment is an introduction to reactive oxygen species and their potential involvement in the pathogenesis of AD and the generation of an inflammatory response.
Reactive_Oxygen_Species,Alzheimers,C0162772,C0002395,10875435,https://pubmed.ncbi.nlm.nih.gov/10875435,The preliminary segment is an introduction to reactive oxygen species and their potential involvement in the pathogenesis of AD and the generation of an inflammatory response.
Reactive_Oxygen_Species,Alzheimers,C0162772,C0002395,10875435,https://pubmed.ncbi.nlm.nih.gov/10875435,The preliminary segment is an introduction to reactive oxygen species and their potential involvement in the pathogenesis of AD and the generation of an inflammatory response.
Reactive_Oxygen_Species,Alzheimers,C0162772,C0002395,11992623,https://pubmed.ncbi.nlm.nih.gov/11992623,"The discovery of the isoprostanes, recent studies performed in living patients, and the development of transgenic animal models of AD-amyloidosis are three important factors that are helping us to better understand and define the role that oxygen radicals might play in AD pathogenesis."
Reactive_Oxygen_Species,Alzheimers,C0162772,C0002395,11992623,https://pubmed.ncbi.nlm.nih.gov/11992623,"The accumulated information points toward an earlier involvement than previously thought of oxidative stress in the pathogenesis of the disease, making this a potential target for therapeutic intervention, especially in subjects at high risk for developing AD."
Reactive_Oxygen_Species,Alzheimers,C0162772,C0002395,11992623,https://pubmed.ncbi.nlm.nih.gov/11992623,"The discovery of the isoprostanes, recent studies performed in living patients, and the development of transgenic animal models of AD-amyloidosis are three important factors that are helping us to better understand and define the role that oxygen radicals might play in AD pathogenesis."
Reactive_Oxygen_Species,Alzheimers,C0162772,C0002395,11992623,https://pubmed.ncbi.nlm.nih.gov/11992623,"The accumulated information points toward an earlier involvement than previously thought of oxidative stress in the pathogenesis of the disease, making this a potential target for therapeutic intervention, especially in subjects at high risk for developing AD."
Reactive_Oxygen_Species,Alzheimers,C0162772,C0002395,11992623,https://pubmed.ncbi.nlm.nih.gov/11992623,"The discovery of the isoprostanes, recent studies performed in living patients, and the development of transgenic animal models of AD-amyloidosis are three important factors that are helping us to better understand and define the role that oxygen radicals might play in AD pathogenesis."
Reactive_Oxygen_Species,Alzheimers,C0162772,C0002395,11992623,https://pubmed.ncbi.nlm.nih.gov/11992623,"The accumulated information points toward an earlier involvement than previously thought of oxidative stress in the pathogenesis of the disease, making this a potential target for therapeutic intervention, especially in subjects at high risk for developing AD."
Reactive_Oxygen_Species,Alzheimers,C0162772,C0002395,17365122,https://pubmed.ncbi.nlm.nih.gov/17365122,"One major pathogenesis in degenerative disorders of the central nervous system (CNS), including Alzheimer's disease, Parkinson's disease, amyotrophic lateral sclerosis, and ischemia, is the oxidative stress induced by reactive oxygen species (ROS)."
Reactive_Oxygen_Species,Alzheimers,C0162772,C0002395,17365122,https://pubmed.ncbi.nlm.nih.gov/17365122,"One major pathogenesis in degenerative disorders of the central nervous system (CNS), including Alzheimer's disease, Parkinson's disease, amyotrophic lateral sclerosis, and ischemia, is the oxidative stress induced by reactive oxygen species (ROS)."
Reactive_Oxygen_Species,Alzheimers,C0162772,C0002395,17365122,https://pubmed.ncbi.nlm.nih.gov/17365122,"One major pathogenesis in degenerative disorders of the central nervous system (CNS), including Alzheimer's disease, Parkinson's disease, amyotrophic lateral sclerosis, and ischemia, is the oxidative stress induced by reactive oxygen species (ROS)."
Reactive_Oxygen_Species,Alzheimers,C0162772,C0002395,19035781,https://pubmed.ncbi.nlm.nih.gov/19035781,"As a result, the AbetaCu(I) complex may be a critical reactant involved in ROS associated with AD etiology."
Reactive_Oxygen_Species,Alzheimers,C0162772,C0002395,19035781,https://pubmed.ncbi.nlm.nih.gov/19035781,"As a result, the AbetaCu(I) complex may be a critical reactant involved in ROS associated with AD etiology."
Reactive_Oxygen_Species,Alzheimers,C0162772,C0002395,19035781,https://pubmed.ncbi.nlm.nih.gov/19035781,"As a result, the AbetaCu(I) complex may be a critical reactant involved in ROS associated with AD etiology."
Reactive_Oxygen_Species,Alzheimers,C0162772,C0002395,23041154,https://pubmed.ncbi.nlm.nih.gov/23041154,"It has been suggested that excess accumulation of reactive oxygen species, termed oxidative stress, may lead to neuronal death resulting in neurodegenerative disorders such as Parkinson's and Alzheimer's diseases."
Reactive_Oxygen_Species,Alzheimers,C0162772,C0002395,23041154,https://pubmed.ncbi.nlm.nih.gov/23041154,"It has been suggested that excess accumulation of reactive oxygen species, termed oxidative stress, may lead to neuronal death resulting in neurodegenerative disorders such as Parkinson's and Alzheimer's diseases."
Reactive_Oxygen_Species,Alzheimers,C0162772,C0002395,23041154,https://pubmed.ncbi.nlm.nih.gov/23041154,"It has been suggested that excess accumulation of reactive oxygen species, termed oxidative stress, may lead to neuronal death resulting in neurodegenerative disorders such as Parkinson's and Alzheimer's diseases."
Reactive_Oxygen_Species,Alzheimers,C0162772,C0002395,23417568,https://pubmed.ncbi.nlm.nih.gov/23417568,Identifying these differential behaviors and mechanisms of hydrogen peroxide and superoxide anion functions illuminates the possible therapeutic targets in the prevention or treatment of ROS-induced neurodegenerative diseases such as Alzheimer's disease.
Reactive_Oxygen_Species,Alzheimers,C0162772,C0002395,23417568,https://pubmed.ncbi.nlm.nih.gov/23417568,Identifying these differential behaviors and mechanisms of hydrogen peroxide and superoxide anion functions illuminates the possible therapeutic targets in the prevention or treatment of ROS-induced neurodegenerative diseases such as Alzheimer's disease.
Reactive_Oxygen_Species,Alzheimers,C0162772,C0002395,23417568,https://pubmed.ncbi.nlm.nih.gov/23417568,Identifying these differential behaviors and mechanisms of hydrogen peroxide and superoxide anion functions illuminates the possible therapeutic targets in the prevention or treatment of ROS-induced neurodegenerative diseases such as Alzheimer's disease.
Reactive_Oxygen_Species,Alzheimers,C0162772,C0002395,24189435,https://pubmed.ncbi.nlm.nih.gov/24189435,"Since mitochondria are also vulnerable to oxidative stress, it is likely that a vicious downward spiral involving the interactions between mitochondrial dysfunction and oxidative stress contributes to the initiation and/or amplification of reactive oxygen species that is critical to the pathogenesis of AD."
Reactive_Oxygen_Species,Alzheimers,C0162772,C0002395,24189435,https://pubmed.ncbi.nlm.nih.gov/24189435,"Since mitochondria are also vulnerable to oxidative stress, it is likely that a vicious downward spiral involving the interactions between mitochondrial dysfunction and oxidative stress contributes to the initiation and/or amplification of reactive oxygen species that is critical to the pathogenesis of AD."
Reactive_Oxygen_Species,Alzheimers,C0162772,C0002395,24189435,https://pubmed.ncbi.nlm.nih.gov/24189435,"Since mitochondria are also vulnerable to oxidative stress, it is likely that a vicious downward spiral involving the interactions between mitochondrial dysfunction and oxidative stress contributes to the initiation and/or amplification of reactive oxygen species that is critical to the pathogenesis of AD."
Reactive_Oxygen_Species,Alzheimers,C0162772,C0002395,24276282,https://pubmed.ncbi.nlm.nih.gov/24276282,Aberrant regulation of transition metals and the resultant disregulation of neuronal reactive oxygen species (ROS) are considered significant in the etiology of Alzheimer's disease (AD).
Reactive_Oxygen_Species,Alzheimers,C0162772,C0002395,24276282,https://pubmed.ncbi.nlm.nih.gov/24276282,Aberrant regulation of transition metals and the resultant disregulation of neuronal reactive oxygen species (ROS) are considered significant in the etiology of Alzheimer's disease (AD).
Reactive_Oxygen_Species,Alzheimers,C0162772,C0002395,24276282,https://pubmed.ncbi.nlm.nih.gov/24276282,Aberrant regulation of transition metals and the resultant disregulation of neuronal reactive oxygen species (ROS) are considered significant in the etiology of Alzheimer's disease (AD).
Reactive_Oxygen_Species,Alzheimers,C0162772,C0002395,24351276,https://pubmed.ncbi.nlm.nih.gov/24351276,These results indicate that dityrosine cross-links may play an important role in the pathogenesis of Alzheimer's disease and can be generated by reactive oxygen species catalyzed by Cu2+ ions.
Reactive_Oxygen_Species,Alzheimers,C0162772,C0002395,24351276,https://pubmed.ncbi.nlm.nih.gov/24351276,These results indicate that dityrosine cross-links may play an important role in the pathogenesis of Alzheimer's disease and can be generated by reactive oxygen species catalyzed by Cu2+ ions.
Reactive_Oxygen_Species,Alzheimers,C0162772,C0002395,24351276,https://pubmed.ncbi.nlm.nih.gov/24351276,These results indicate that dityrosine cross-links may play an important role in the pathogenesis of Alzheimer's disease and can be generated by reactive oxygen species catalyzed by Cu2+ ions.
Reactive_Oxygen_Species,Alzheimers,C0162772,C0002395,25620241,https://pubmed.ncbi.nlm.nih.gov/25620241,"Oxidative stress and inflammatory response are important elements of Alzheimer's disease (AD) pathogenesis, but the role of redox signaling cascade and its cross-talk with inflammatory mediators have not been elucidated in details in this disorder."
Reactive_Oxygen_Species,Alzheimers,C0162772,C0002395,25620241,https://pubmed.ncbi.nlm.nih.gov/25620241,The biology of NF-kappaB and its activation by reactive oxygen species (ROS) and proinflammatory cytokines in the pathogenesis of AD have been specially highlighted citing evidence both from post-mortem studies in AD brain and experimental research in animal or cell-based models of AD.
Reactive_Oxygen_Species,Alzheimers,C0162772,C0002395,25620241,https://pubmed.ncbi.nlm.nih.gov/25620241,"Oxidative stress and inflammatory response are important elements of Alzheimer's disease (AD) pathogenesis, but the role of redox signaling cascade and its cross-talk with inflammatory mediators have not been elucidated in details in this disorder."
Reactive_Oxygen_Species,Alzheimers,C0162772,C0002395,25620241,https://pubmed.ncbi.nlm.nih.gov/25620241,The biology of NF-kappaB and its activation by reactive oxygen species (ROS) and proinflammatory cytokines in the pathogenesis of AD have been specially highlighted citing evidence both from post-mortem studies in AD brain and experimental research in animal or cell-based models of AD.
