from,to,subject_cui,object_cui,pmid,pmid_url,sentence
Hypertension,Alzheimers,C0020538,C0002395,12480731,https://pubmed.ncbi.nlm.nih.gov/12480731,"The consequences of hypertension include cerebrovascular disease, coronary heart disease, and general atherosclerosis."
Hypertension,Alzheimers,C0020538,C0002395,12480731,https://pubmed.ncbi.nlm.nih.gov/12480731,Hypertension and related factors in the etiology of Alzheimer's disease.
Hypertension,Alzheimers,C0020538,C0002395,17362841,https://pubmed.ncbi.nlm.nih.gov/17362841,"In recent years the renin-angiotensin system, already of recognised importance in the pathogenesis of hypertension, has become a source of interest in the pathogenesis of Alzheimer's disease."
Hypertension,Alzheimers,C0020538,C0002395,19555872,https://pubmed.ncbi.nlm.nih.gov/19555872,Cumulative evidence implicates hypertension in the pathogenesis of Alzheimer disease.
Hypertension,Alzheimers,C0020538,C0002395,22615109,https://pubmed.ncbi.nlm.nih.gov/22615109,"Interestingly, RAGE inhibition protected from hypertension-induced Alzheimer pathology, as showed by rescue from cognitive impairment and parenchymal Abeta deposition."
Hypertension,Alzheimers,C0020538,C0002395,22615109,https://pubmed.ncbi.nlm.nih.gov/22615109,"Overall we demonstrate that RAGE activation in brain vessels is a crucial pathogenetic event in hypertension-induced Alzheimer disease, suggesting that inhibiting this target can limit the onset of vascular-related Alzheimer disease."
Hypertension,Alzheimers,C0020538,C0002395,25976367,https://pubmed.ncbi.nlm.nih.gov/25976367,"Several preclinical and epidemiological studies have linked metabolic risk factors such as hypertension, obesity, dyslipidemia, and diabetes to the pathogenesis of AD."
Hypertension,Alzheimers,C0020538,C0002395,29568075,https://pubmed.ncbi.nlm.nih.gov/29568075,"Hypertension-induced endothelial dysfunction is associated with beta-amyloid (Abeta) deposition, a typical pathology of Alzheimer's disease (AD)."
Hypertension,Alzheimers,C0020538,C0002395,29568075,https://pubmed.ncbi.nlm.nih.gov/29568075,"In conclusion, eNOS downregulation contributed to hypertension-induced Alzheimer pathology and cognitive impairment."
Hypertension,Alzheimers,C0020538,C0002395,30854970,https://pubmed.ncbi.nlm.nih.gov/30854970,"Chronic, low-level environmental lead (Pb) exposure is associated with cognitive impairment, hypertension and mortality, and has been proposed as a potential cause of AD."
Hypertension,Alzheimers,C0020538,C0002395,31889399,https://pubmed.ncbi.nlm.nih.gov/31889399,The study result showed that HTN-induced AD regulated long-term memory (LTM) loss and neuronal degeneration in the SHR animals.
Hypertension,Alzheimers,C0020538,C0002395,31889399,https://pubmed.ncbi.nlm.nih.gov/31889399,Dipeptide IF prevents the effects of hypertension-induced Alzheimer's disease on long-term memory in the cortex of spontaneously hypertensive rats.
Hypertension,Alzheimers,C0020538,C0002395,34897090,https://pubmed.ncbi.nlm.nih.gov/34897090,Hypertension is a major risk factor for the pathogenesis of vascular dementia and Alzheimer's disease.
Hypertension,Alzheimers,C0020538,C0002395,38062190,https://pubmed.ncbi.nlm.nih.gov/38062190,The results suggest that the increased risk of AD owing to hypertension is mediated through stroke.
Hypertension,Alzheimers,C0020538,C0002395,38062190,https://pubmed.ncbi.nlm.nih.gov/38062190,This implies that approximately 55% of the risk of AD owing to hypertension can be attributed to stroke.
Hypertension,Alzheimers,C0020538,C0002395,9894287,https://pubmed.ncbi.nlm.nih.gov/9894287,"A possible consequence of these findings would be to prevent, or to postpone, AD by an early treatment of arterial hypertension."
Mutation,Alzheimers,C0026882,C0750901,10025714,https://pubmed.ncbi.nlm.nih.gov/10025714,Many cases of early-onset familial Alzheimer's disease (FAD) are caused by mutations in the presenilin 1 (PS1) and PS2 genes.
Mutation,Alzheimers,C0026882,C0750901,10025714,https://pubmed.ncbi.nlm.nih.gov/10025714,Many cases of early-onset familial Alzheimer's disease (FAD) are caused by mutations in the presenilin 1 (PS1) and PS2 genes.
Mutation,Alzheimers,C0026882,C0750901,10025714,https://pubmed.ncbi.nlm.nih.gov/10025714,Many cases of early-onset familial Alzheimer's disease (FAD) are caused by mutations in the presenilin 1 (PS1) and PS2 genes.
Mutation,Alzheimers,C0026882,C0002395,10037473,https://pubmed.ncbi.nlm.nih.gov/10037473,Many cases of early-onset inherited Alzheimer's disease (AD) are caused by mutations in the presenilin-1 (PS1) gene.
Mutation,Alzheimers,C0026882,C0002395,10037473,https://pubmed.ncbi.nlm.nih.gov/10037473,The peroxynitrite-scavenging antioxidant uric acid and the caspase inhibitor benzyloxycarbonyl-Val-Ala-Asp-fluoromethyl ketone protected hippocampal neurons expressing mutant PS1 against cell death induced by amyloid beta-peptide.
Mutation,Alzheimers,C0026882,C0002395,10037473,https://pubmed.ncbi.nlm.nih.gov/10037473,Many cases of early-onset inherited Alzheimer's disease (AD) are caused by mutations in the presenilin-1 (PS1) gene.
Mutation,Alzheimers,C0026882,C0002395,10037473,https://pubmed.ncbi.nlm.nih.gov/10037473,The peroxynitrite-scavenging antioxidant uric acid and the caspase inhibitor benzyloxycarbonyl-Val-Ala-Asp-fluoromethyl ketone protected hippocampal neurons expressing mutant PS1 against cell death induced by amyloid beta-peptide.
Mutation,Alzheimers,C0026882,C0002395,10037473,https://pubmed.ncbi.nlm.nih.gov/10037473,Many cases of early-onset inherited Alzheimer's disease (AD) are caused by mutations in the presenilin-1 (PS1) gene.
Mutation,Alzheimers,C0026882,C0002395,10037473,https://pubmed.ncbi.nlm.nih.gov/10037473,The peroxynitrite-scavenging antioxidant uric acid and the caspase inhibitor benzyloxycarbonyl-Val-Ala-Asp-fluoromethyl ketone protected hippocampal neurons expressing mutant PS1 against cell death induced by amyloid beta-peptide.
Mutation,Alzheimers,C0026882,C0750901,10051671,https://pubmed.ncbi.nlm.nih.gov/10051671,Mutations in the human presenilin genes PS1 and PS2 cause early-onset Alzheimer's disease.
Mutation,Alzheimers,C0026882,C0750901,10051671,https://pubmed.ncbi.nlm.nih.gov/10051671,Mutations in the human presenilin genes PS1 and PS2 cause early-onset Alzheimer's disease.
Mutation,Alzheimers,C0026882,C0750901,10051671,https://pubmed.ncbi.nlm.nih.gov/10051671,Mutations in the human presenilin genes PS1 and PS2 cause early-onset Alzheimer's disease.
Mutation,Alzheimers,C0026882,C0750901,10193509,https://pubmed.ncbi.nlm.nih.gov/10193509,"First, the three genes in which mutations are known to result in early onset autosomal dominant familial Alzheimer's disease will be discussed."
Mutation,Alzheimers,C0026882,C0750901,10193509,https://pubmed.ncbi.nlm.nih.gov/10193509,"First, the three genes in which mutations are known to result in early onset autosomal dominant familial Alzheimer's disease will be discussed."
Mutation,Alzheimers,C0026882,C0750901,10193509,https://pubmed.ncbi.nlm.nih.gov/10193509,"First, the three genes in which mutations are known to result in early onset autosomal dominant familial Alzheimer's disease will be discussed."
Mutation,Alzheimers,C0026882,C0002395,10352866,https://pubmed.ncbi.nlm.nih.gov/10352866,"While the discovery of three rare genetic mutations that can cause AD has provided much information about the causes and progression of the disease, a great deal of attention has been focused on apolipoprotein (ApoE) because of its involvement in the more common, later onset form of AD."
Mutation,Alzheimers,C0026882,C0002395,10352866,https://pubmed.ncbi.nlm.nih.gov/10352866,"While the discovery of three rare genetic mutations that can cause AD has provided much information about the causes and progression of the disease, a great deal of attention has been focused on apolipoprotein (ApoE) because of its involvement in the more common, later onset form of AD."
Mutation,Alzheimers,C0026882,C0002395,10352866,https://pubmed.ncbi.nlm.nih.gov/10352866,"While the discovery of three rare genetic mutations that can cause AD has provided much information about the causes and progression of the disease, a great deal of attention has been focused on apolipoprotein (ApoE) because of its involvement in the more common, later onset form of AD."
Mutation,Alzheimers,C0026882,C0002395,10381410,https://pubmed.ncbi.nlm.nih.gov/10381410,"Familial forms of Alzheimer's disease are caused by mutations in the genes encoding the presenilins, which are integral membrane proteins."
Mutation,Alzheimers,C0026882,C0002395,10381410,https://pubmed.ncbi.nlm.nih.gov/10381410,"Familial forms of Alzheimer's disease are caused by mutations in the genes encoding the presenilins, which are integral membrane proteins."
Mutation,Alzheimers,C0026882,C0002395,10381410,https://pubmed.ncbi.nlm.nih.gov/10381410,"Familial forms of Alzheimer's disease are caused by mutations in the genes encoding the presenilins, which are integral membrane proteins."
Mutation,Alzheimers,C0026882,C0750901,10439444,https://pubmed.ncbi.nlm.nih.gov/10439444,Mutation in the presenilin-1 (PS-1) gene at chromosome 14q24.3 is the most common cause of autosomal dominant early-onset Alzheimer's disease.
Mutation,Alzheimers,C0026882,C0750901,10439444,https://pubmed.ncbi.nlm.nih.gov/10439444,Mutation in the presenilin-1 (PS-1) gene at chromosome 14q24.3 is the most common cause of autosomal dominant early-onset Alzheimer's disease.
Mutation,Alzheimers,C0026882,C0750901,10439444,https://pubmed.ncbi.nlm.nih.gov/10439444,Mutation in the presenilin-1 (PS-1) gene at chromosome 14q24.3 is the most common cause of autosomal dominant early-onset Alzheimer's disease.
Mutation,Alzheimers,C0026882,C0002395,10448055,https://pubmed.ncbi.nlm.nih.gov/10448055,Mutations in the presenilin 1 (PSEN1) gene are an important cause of autosomal dominant Alzheimer's disease (AD).
Mutation,Alzheimers,C0026882,C0002395,10448055,https://pubmed.ncbi.nlm.nih.gov/10448055,Mutations in the presenilin 1 (PSEN1) gene are an important cause of autosomal dominant Alzheimer's disease (AD).
Mutation,Alzheimers,C0026882,C0002395,10448055,https://pubmed.ncbi.nlm.nih.gov/10448055,Mutations in the presenilin 1 (PSEN1) gene are an important cause of autosomal dominant Alzheimer's disease (AD).
Mutation,Alzheimers,C0026882,C0002395,10518543,https://pubmed.ncbi.nlm.nih.gov/10518543,"Absence of PS2 does not detectably alter processing of amyloid precursor protein and has little or no effect on physiologically important apoptotic processes, indicating that Alzheimer's disease-causing mutations in PS2, as in PS1, result in gain of function."
Mutation,Alzheimers,C0026882,C0002395,10518543,https://pubmed.ncbi.nlm.nih.gov/10518543,"Absence of PS2 does not detectably alter processing of amyloid precursor protein and has little or no effect on physiologically important apoptotic processes, indicating that Alzheimer's disease-causing mutations in PS2, as in PS1, result in gain of function."
Mutation,Alzheimers,C0026882,C0002395,10518543,https://pubmed.ncbi.nlm.nih.gov/10518543,"Absence of PS2 does not detectably alter processing of amyloid precursor protein and has little or no effect on physiologically important apoptotic processes, indicating that Alzheimer's disease-causing mutations in PS2, as in PS1, result in gain of function."
Mutation,Alzheimers,C0026882,C0002395,10526115,https://pubmed.ncbi.nlm.nih.gov/10526115,"Although dietary restriction (DR) can increase lifespan and reduce the incidence of several age-related diseases in rodents, the possibility that DR can modify the pathogenic actions of mutations that cause AD has not been examined."
Mutation,Alzheimers,C0026882,C0002395,10526115,https://pubmed.ncbi.nlm.nih.gov/10526115,"Some cases of AD are caused by mutations in presenilin-1 (PS1), an integral membrane protein located in the endoplasmic reticulum."
Mutation,Alzheimers,C0026882,C0002395,10526115,https://pubmed.ncbi.nlm.nih.gov/10526115,"Although dietary restriction (DR) can increase lifespan and reduce the incidence of several age-related diseases in rodents, the possibility that DR can modify the pathogenic actions of mutations that cause AD has not been examined."
Mutation,Alzheimers,C0026882,C0002395,10526115,https://pubmed.ncbi.nlm.nih.gov/10526115,"Some cases of AD are caused by mutations in presenilin-1 (PS1), an integral membrane protein located in the endoplasmic reticulum."
Mutation,Alzheimers,C0026882,C0002395,10526115,https://pubmed.ncbi.nlm.nih.gov/10526115,"Although dietary restriction (DR) can increase lifespan and reduce the incidence of several age-related diseases in rodents, the possibility that DR can modify the pathogenic actions of mutations that cause AD has not been examined."
Mutation,Alzheimers,C0026882,C0002395,10526115,https://pubmed.ncbi.nlm.nih.gov/10526115,"Some cases of AD are caused by mutations in presenilin-1 (PS1), an integral membrane protein located in the endoplasmic reticulum."
Mutation,Alzheimers,C0026882,C0750901,10549825,https://pubmed.ncbi.nlm.nih.gov/10549825,"Autosomal dominant early-onset Alzheimer's disease results mainly from mutations of the presenilin 1 (PSEN1) gene, which codes for an integral membrane protein of 467 amino acids."
Mutation,Alzheimers,C0026882,C0750901,10549825,https://pubmed.ncbi.nlm.nih.gov/10549825,"Autosomal dominant early-onset Alzheimer's disease results mainly from mutations of the presenilin 1 (PSEN1) gene, which codes for an integral membrane protein of 467 amino acids."
Mutation,Alzheimers,C0026882,C0750901,10549825,https://pubmed.ncbi.nlm.nih.gov/10549825,"Autosomal dominant early-onset Alzheimer's disease results mainly from mutations of the presenilin 1 (PSEN1) gene, which codes for an integral membrane protein of 467 amino acids."
Mutation,Alzheimers,C0026882,C0750901,10594046,https://pubmed.ncbi.nlm.nih.gov/10594046,Mutations in presenilin (PS) genes cause early onset familial Alzheimer's disease (FAD) by increasing production of the amyloidogenic form of amyloid beta peptides ending at residue 42 (Abeta42).
Mutation,Alzheimers,C0026882,C0750901,10594046,https://pubmed.ncbi.nlm.nih.gov/10594046,Mutations in presenilin (PS) genes cause early onset familial Alzheimer's disease (FAD) by increasing production of the amyloidogenic form of amyloid beta peptides ending at residue 42 (Abeta42).
Mutation,Alzheimers,C0026882,C0750901,10594046,https://pubmed.ncbi.nlm.nih.gov/10594046,Mutations in presenilin (PS) genes cause early onset familial Alzheimer's disease (FAD) by increasing production of the amyloidogenic form of amyloid beta peptides ending at residue 42 (Abeta42).
Mutation,Alzheimers,C0026882,C0002395,10624576,https://pubmed.ncbi.nlm.nih.gov/10624576,"A hypothesis and model are suggested to explain the interaction between evolutionary, ontogenetic, and epigenetic factors of the development of the central nervous system and the products of genes whose mutations result in AD."
Mutation,Alzheimers,C0026882,C0002395,10624576,https://pubmed.ncbi.nlm.nih.gov/10624576,"A hypothesis and model are suggested to explain the interaction between evolutionary, ontogenetic, and epigenetic factors of the development of the central nervous system and the products of genes whose mutations result in AD."
Mutation,Alzheimers,C0026882,C0002395,10624576,https://pubmed.ncbi.nlm.nih.gov/10624576,"A hypothesis and model are suggested to explain the interaction between evolutionary, ontogenetic, and epigenetic factors of the development of the central nervous system and the products of genes whose mutations result in AD."
Mutation,Alzheimers,C0026882,C0002395,10662826,https://pubmed.ncbi.nlm.nih.gov/10662826,Many cases of early-onset inherited Alzheimer's disease (AD) are caused by mutations in the presenilin-1 (PS1) gene.
Mutation,Alzheimers,C0026882,C0002395,10662826,https://pubmed.ncbi.nlm.nih.gov/10662826,Many cases of early-onset inherited Alzheimer's disease (AD) are caused by mutations in the presenilin-1 (PS1) gene.
