from,to,subject_cui,object_cui,pmid,pmid_url,sentence
Hypertension,Alzheimers,C0020538,C0002395,12480731,https://pubmed.ncbi.nlm.nih.gov/12480731,"The consequences of hypertension include cerebrovascular disease, coronary heart disease, and general atherosclerosis."
Hypertension,Alzheimers,C0020538,C0002395,12480731,https://pubmed.ncbi.nlm.nih.gov/12480731,Hypertension and related factors in the etiology of Alzheimer's disease.
Hypertension,Alzheimers,C0020538,C0002395,17362841,https://pubmed.ncbi.nlm.nih.gov/17362841,"In recent years the renin-angiotensin system, already of recognised importance in the pathogenesis of hypertension, has become a source of interest in the pathogenesis of Alzheimer's disease."
Hypertension,Alzheimers,C0020538,C0002395,19555872,https://pubmed.ncbi.nlm.nih.gov/19555872,Cumulative evidence implicates hypertension in the pathogenesis of Alzheimer disease.
Hypertension,Alzheimers,C0020538,C0002395,22615109,https://pubmed.ncbi.nlm.nih.gov/22615109,"Interestingly, RAGE inhibition protected from hypertension-induced Alzheimer pathology, as showed by rescue from cognitive impairment and parenchymal Abeta deposition."
Hypertension,Alzheimers,C0020538,C0002395,22615109,https://pubmed.ncbi.nlm.nih.gov/22615109,"Overall we demonstrate that RAGE activation in brain vessels is a crucial pathogenetic event in hypertension-induced Alzheimer disease, suggesting that inhibiting this target can limit the onset of vascular-related Alzheimer disease."
Hypertension,Alzheimers,C0020538,C0002395,25976367,https://pubmed.ncbi.nlm.nih.gov/25976367,"Several preclinical and epidemiological studies have linked metabolic risk factors such as hypertension, obesity, dyslipidemia, and diabetes to the pathogenesis of AD."
Hypertension,Alzheimers,C0020538,C0002395,29568075,https://pubmed.ncbi.nlm.nih.gov/29568075,"Hypertension-induced endothelial dysfunction is associated with beta-amyloid (Abeta) deposition, a typical pathology of Alzheimer's disease (AD)."
Hypertension,Alzheimers,C0020538,C0002395,29568075,https://pubmed.ncbi.nlm.nih.gov/29568075,"In conclusion, eNOS downregulation contributed to hypertension-induced Alzheimer pathology and cognitive impairment."
Hypertension,Alzheimers,C0020538,C0002395,30854970,https://pubmed.ncbi.nlm.nih.gov/30854970,"Chronic, low-level environmental lead (Pb) exposure is associated with cognitive impairment, hypertension and mortality, and has been proposed as a potential cause of AD."
Hypertension,Alzheimers,C0020538,C0002395,31889399,https://pubmed.ncbi.nlm.nih.gov/31889399,The study result showed that HTN-induced AD regulated long-term memory (LTM) loss and neuronal degeneration in the SHR animals.
Hypertension,Alzheimers,C0020538,C0002395,31889399,https://pubmed.ncbi.nlm.nih.gov/31889399,Dipeptide IF prevents the effects of hypertension-induced Alzheimer's disease on long-term memory in the cortex of spontaneously hypertensive rats.
Hypertension,Alzheimers,C0020538,C0002395,34897090,https://pubmed.ncbi.nlm.nih.gov/34897090,Hypertension is a major risk factor for the pathogenesis of vascular dementia and Alzheimer's disease.
Hypertension,Alzheimers,C0020538,C0002395,38062190,https://pubmed.ncbi.nlm.nih.gov/38062190,The results suggest that the increased risk of AD owing to hypertension is mediated through stroke.
Hypertension,Alzheimers,C0020538,C0002395,38062190,https://pubmed.ncbi.nlm.nih.gov/38062190,This implies that approximately 55% of the risk of AD owing to hypertension can be attributed to stroke.
Hypertension,Alzheimers,C0020538,C0002395,9894287,https://pubmed.ncbi.nlm.nih.gov/9894287,"A possible consequence of these findings would be to prevent, or to postpone, AD by an early treatment of arterial hypertension."
Oxidative_Stress,Alzheimers,C0242606,C0002395,10507060,https://pubmed.ncbi.nlm.nih.gov/10507060,"Oxidative stress and its sequelae are likely related to both necrotic and apoptotic mechanisms of neurotoxicity, and A beta-associated free radical oxidative stress may be of fundamental importance in Alzheimer's disease etiology and pathogenesis."
Oxidative_Stress,Alzheimers,C0242606,C0002395,10507060,https://pubmed.ncbi.nlm.nih.gov/10507060,"Oxidative stress and its sequelae are likely related to both necrotic and apoptotic mechanisms of neurotoxicity, and A beta-associated free radical oxidative stress may be of fundamental importance in Alzheimer's disease etiology and pathogenesis."
Oxidative_Stress,Alzheimers,C0242606,C0002395,10507060,https://pubmed.ncbi.nlm.nih.gov/10507060,"Oxidative stress and its sequelae are likely related to both necrotic and apoptotic mechanisms of neurotoxicity, and A beta-associated free radical oxidative stress may be of fundamental importance in Alzheimer's disease etiology and pathogenesis."
Oxidative_Stress,Alzheimers,C0242606,C0002395,10568522,https://pubmed.ncbi.nlm.nih.gov/10568522,"The provided data appear to be in accordance with the known alteration of GSH levels in central nervous system and strengthen the hypothesis of oxidative stress as an important, possibly crucial mechanism in the pathogenesis of AD."
Oxidative_Stress,Alzheimers,C0242606,C0002395,10568522,https://pubmed.ncbi.nlm.nih.gov/10568522,"The provided data appear to be in accordance with the known alteration of GSH levels in central nervous system and strengthen the hypothesis of oxidative stress as an important, possibly crucial mechanism in the pathogenesis of AD."
Oxidative_Stress,Alzheimers,C0242606,C0002395,10568522,https://pubmed.ncbi.nlm.nih.gov/10568522,"The provided data appear to be in accordance with the known alteration of GSH levels in central nervous system and strengthen the hypothesis of oxidative stress as an important, possibly crucial mechanism in the pathogenesis of AD."
Oxidative_Stress,Alzheimers,C0242606,C0002395,10681271,https://pubmed.ncbi.nlm.nih.gov/10681271,Many lines of evidence suggest that oxidative stress is important in the pathogenesis of Alzheimer disease.
Oxidative_Stress,Alzheimers,C0242606,C0002395,10681271,https://pubmed.ncbi.nlm.nih.gov/10681271,Many lines of evidence suggest that oxidative stress is important in the pathogenesis of Alzheimer disease.
Oxidative_Stress,Alzheimers,C0242606,C0002395,10681271,https://pubmed.ncbi.nlm.nih.gov/10681271,Many lines of evidence suggest that oxidative stress is important in the pathogenesis of Alzheimer disease.
Oxidative_Stress,Alzheimers,C0242606,C0002395,10850732,https://pubmed.ncbi.nlm.nih.gov/10850732,"Because of the proximal role that oxidative stress mechanisms seem to play in the pathogenesis of Alzheimer disease, further investigation in this realm may lead to novel therapeutic strategies."
Oxidative_Stress,Alzheimers,C0242606,C0002395,10850732,https://pubmed.ncbi.nlm.nih.gov/10850732,"Because of the proximal role that oxidative stress mechanisms seem to play in the pathogenesis of Alzheimer disease, further investigation in this realm may lead to novel therapeutic strategies."
Oxidative_Stress,Alzheimers,C0242606,C0002395,10850732,https://pubmed.ncbi.nlm.nih.gov/10850732,"Because of the proximal role that oxidative stress mechanisms seem to play in the pathogenesis of Alzheimer disease, further investigation in this realm may lead to novel therapeutic strategies."
Oxidative_Stress,Alzheimers,C0242606,C0002395,10867210,https://pubmed.ncbi.nlm.nih.gov/10867210,"The relationships shown to exist between hemorheology, blood flow, amyloids, oxidative stress, and cognitive function suggest that these factors may be one of the mechanisms operating in the complex etiology of Alzheimer's disease."
Oxidative_Stress,Alzheimers,C0242606,C0002395,10867210,https://pubmed.ncbi.nlm.nih.gov/10867210,"The relationships shown to exist between hemorheology, blood flow, amyloids, oxidative stress, and cognitive function suggest that these factors may be one of the mechanisms operating in the complex etiology of Alzheimer's disease."
Oxidative_Stress,Alzheimers,C0242606,C0002395,10867210,https://pubmed.ncbi.nlm.nih.gov/10867210,"The relationships shown to exist between hemorheology, blood flow, amyloids, oxidative stress, and cognitive function suggest that these factors may be one of the mechanisms operating in the complex etiology of Alzheimer's disease."
Oxidative_Stress,Alzheimers,C0242606,C0002395,10899439,https://pubmed.ncbi.nlm.nih.gov/10899439,"While this suggests that oxidative stress is a proximal event in Alzheimer's disease pathogenesis, the mechanisms by which redox balance is altered in the disease remains elusive."
Oxidative_Stress,Alzheimers,C0242606,C0002395,10899439,https://pubmed.ncbi.nlm.nih.gov/10899439,"Determining which of the proposed sources of free radicals, which include mitochondrial dysfunction, amyloid-beta-mediated processes, transition metal accumulation and genetic factors like apolipoprotein E and presenilins, is responsible for redox imbalance will lead to a better understanding of Alzheimer's disease pathogenesis and novel therapeutic approaches."
Oxidative_Stress,Alzheimers,C0242606,C0002395,10899439,https://pubmed.ncbi.nlm.nih.gov/10899439,"While this suggests that oxidative stress is a proximal event in Alzheimer's disease pathogenesis, the mechanisms by which redox balance is altered in the disease remains elusive."
Oxidative_Stress,Alzheimers,C0242606,C0002395,10899439,https://pubmed.ncbi.nlm.nih.gov/10899439,"Determining which of the proposed sources of free radicals, which include mitochondrial dysfunction, amyloid-beta-mediated processes, transition metal accumulation and genetic factors like apolipoprotein E and presenilins, is responsible for redox imbalance will lead to a better understanding of Alzheimer's disease pathogenesis and novel therapeutic approaches."
Oxidative_Stress,Alzheimers,C0242606,C0002395,10899439,https://pubmed.ncbi.nlm.nih.gov/10899439,"While this suggests that oxidative stress is a proximal event in Alzheimer's disease pathogenesis, the mechanisms by which redox balance is altered in the disease remains elusive."
Oxidative_Stress,Alzheimers,C0242606,C0002395,10899439,https://pubmed.ncbi.nlm.nih.gov/10899439,"Determining which of the proposed sources of free radicals, which include mitochondrial dysfunction, amyloid-beta-mediated processes, transition metal accumulation and genetic factors like apolipoprotein E and presenilins, is responsible for redox imbalance will lead to a better understanding of Alzheimer's disease pathogenesis and novel therapeutic approaches."
Oxidative_Stress,Alzheimers,C0242606,C0002395,11068183,https://pubmed.ncbi.nlm.nih.gov/11068183,The present study may help to explain the pathogenesis of neurodegeneration in AD disorders caused by metal-generated oxidative stress.
Oxidative_Stress,Alzheimers,C0242606,C0002395,11068183,https://pubmed.ncbi.nlm.nih.gov/11068183,These results suggest that glial cells rather than neuronal cells contribute to the metal accumulation and are more resistant to oxidative stress caused by metals than neuronal cells.
Oxidative_Stress,Alzheimers,C0242606,C0002395,11068183,https://pubmed.ncbi.nlm.nih.gov/11068183,The present study may help to explain the pathogenesis of neurodegeneration in AD disorders caused by metal-generated oxidative stress.
Oxidative_Stress,Alzheimers,C0242606,C0002395,11068183,https://pubmed.ncbi.nlm.nih.gov/11068183,These results suggest that glial cells rather than neuronal cells contribute to the metal accumulation and are more resistant to oxidative stress caused by metals than neuronal cells.
Oxidative_Stress,Alzheimers,C0242606,C0002395,11068183,https://pubmed.ncbi.nlm.nih.gov/11068183,The present study may help to explain the pathogenesis of neurodegeneration in AD disorders caused by metal-generated oxidative stress.
Oxidative_Stress,Alzheimers,C0242606,C0002395,11068183,https://pubmed.ncbi.nlm.nih.gov/11068183,These results suggest that glial cells rather than neuronal cells contribute to the metal accumulation and are more resistant to oxidative stress caused by metals than neuronal cells.
Oxidative_Stress,Alzheimers,C0242606,C0002395,11079778,https://pubmed.ncbi.nlm.nih.gov/11079778,"To begin to address these issues, we investigated p38 kinase, which is induced by oxidative stress, in the pathogenesis of AD."
Oxidative_Stress,Alzheimers,C0242606,C0002395,11079778,https://pubmed.ncbi.nlm.nih.gov/11079778,"To begin to address these issues, we investigated p38 kinase, which is induced by oxidative stress, in the pathogenesis of AD."
Oxidative_Stress,Alzheimers,C0242606,C0002395,11079778,https://pubmed.ncbi.nlm.nih.gov/11079778,"To begin to address these issues, we investigated p38 kinase, which is induced by oxidative stress, in the pathogenesis of AD."
Oxidative_Stress,Alzheimers,C0242606,C0002395,11232594,https://pubmed.ncbi.nlm.nih.gov/11232594,Multiple lines of evidence indicate that oxidative stress is an integral component of the pathogenesis of Alzheimer disease (AD).
Oxidative_Stress,Alzheimers,C0242606,C0002395,11232594,https://pubmed.ncbi.nlm.nih.gov/11232594,This furthers the evidence that redox-active iron and subsequent Fenton reaction generating reactive oxygen are critical factors in the pathogenesis of AD.
Oxidative_Stress,Alzheimers,C0242606,C0002395,11232594,https://pubmed.ncbi.nlm.nih.gov/11232594,Multiple lines of evidence indicate that oxidative stress is an integral component of the pathogenesis of Alzheimer disease (AD).
Oxidative_Stress,Alzheimers,C0242606,C0002395,11232594,https://pubmed.ncbi.nlm.nih.gov/11232594,This furthers the evidence that redox-active iron and subsequent Fenton reaction generating reactive oxygen are critical factors in the pathogenesis of AD.
Oxidative_Stress,Alzheimers,C0242606,C0002395,11232594,https://pubmed.ncbi.nlm.nih.gov/11232594,Multiple lines of evidence indicate that oxidative stress is an integral component of the pathogenesis of Alzheimer disease (AD).
Oxidative_Stress,Alzheimers,C0242606,C0002395,11232594,https://pubmed.ncbi.nlm.nih.gov/11232594,This furthers the evidence that redox-active iron and subsequent Fenton reaction generating reactive oxygen are critical factors in the pathogenesis of AD.
Oxidative_Stress,Alzheimers,C0242606,C0002395,11578751,https://pubmed.ncbi.nlm.nih.gov/11578751,"On the other hand, there is cumulative evidence from studies in cultured brain cells and on brains that oxidative stress constitutes a main factor in the modification of normal signaling pathways in neuronal cells, leading to biochemical and structural abnormalities and neurodegeneration as related to the pathogenesis of Alzheimer's disease."
Oxidative_Stress,Alzheimers,C0242606,C0002395,11578751,https://pubmed.ncbi.nlm.nih.gov/11578751,"On the other hand, there is cumulative evidence from studies in cultured brain cells and on brains that oxidative stress constitutes a main factor in the modification of normal signaling pathways in neuronal cells, leading to biochemical and structural abnormalities and neurodegeneration as related to the pathogenesis of Alzheimer's disease."
Oxidative_Stress,Alzheimers,C0242606,C0002395,11578751,https://pubmed.ncbi.nlm.nih.gov/11578751,"On the other hand, there is cumulative evidence from studies in cultured brain cells and on brains that oxidative stress constitutes a main factor in the modification of normal signaling pathways in neuronal cells, leading to biochemical and structural abnormalities and neurodegeneration as related to the pathogenesis of Alzheimer's disease."
Oxidative_Stress,Alzheimers,C0242606,C0002395,11640950,https://pubmed.ncbi.nlm.nih.gov/11640950,There are multiple lines of evidence showing that oxidative stress and aberrant mitogenic signaling play an important role in the pathogenesis of Alzheimer disease.
Oxidative_Stress,Alzheimers,C0242606,C0002395,11640950,https://pubmed.ncbi.nlm.nih.gov/11640950,"Taken together, these findings indicate that MAPK pathways are differentially activated during the course of Alzheimer disease and, by inference, suggest that both oxidative stress and abnormalities in mitotic signaling can independently serve to initiate, but both are necessary to propagate, disease pathogenesis."
Oxidative_Stress,Alzheimers,C0242606,C0002395,11640950,https://pubmed.ncbi.nlm.nih.gov/11640950,There are multiple lines of evidence showing that oxidative stress and aberrant mitogenic signaling play an important role in the pathogenesis of Alzheimer disease.
Oxidative_Stress,Alzheimers,C0242606,C0002395,11640950,https://pubmed.ncbi.nlm.nih.gov/11640950,"Taken together, these findings indicate that MAPK pathways are differentially activated during the course of Alzheimer disease and, by inference, suggest that both oxidative stress and abnormalities in mitotic signaling can independently serve to initiate, but both are necessary to propagate, disease pathogenesis."
