from,to,subject_cui,object_cui,pmid,pmid_url,sentence
Hypertension,Alzheimers,C0020538,C0002395,12480731,https://pubmed.ncbi.nlm.nih.gov/12480731,"The consequences of hypertension include cerebrovascular disease, coronary heart disease, and general atherosclerosis."
Hypertension,Alzheimers,C0020538,C0002395,12480731,https://pubmed.ncbi.nlm.nih.gov/12480731,Hypertension and related factors in the etiology of Alzheimer's disease.
Hypertension,Alzheimers,C0020538,C0002395,17362841,https://pubmed.ncbi.nlm.nih.gov/17362841,"In recent years the renin-angiotensin system, already of recognised importance in the pathogenesis of hypertension, has become a source of interest in the pathogenesis of Alzheimer's disease."
Hypertension,Alzheimers,C0020538,C0002395,19555872,https://pubmed.ncbi.nlm.nih.gov/19555872,Cumulative evidence implicates hypertension in the pathogenesis of Alzheimer disease.
Hypertension,Alzheimers,C0020538,C0002395,22615109,https://pubmed.ncbi.nlm.nih.gov/22615109,"Interestingly, RAGE inhibition protected from hypertension-induced Alzheimer pathology, as showed by rescue from cognitive impairment and parenchymal Abeta deposition."
Hypertension,Alzheimers,C0020538,C0002395,22615109,https://pubmed.ncbi.nlm.nih.gov/22615109,"Overall we demonstrate that RAGE activation in brain vessels is a crucial pathogenetic event in hypertension-induced Alzheimer disease, suggesting that inhibiting this target can limit the onset of vascular-related Alzheimer disease."
Hypertension,Alzheimers,C0020538,C0002395,25976367,https://pubmed.ncbi.nlm.nih.gov/25976367,"Several preclinical and epidemiological studies have linked metabolic risk factors such as hypertension, obesity, dyslipidemia, and diabetes to the pathogenesis of AD."
Hypertension,Alzheimers,C0020538,C0002395,29568075,https://pubmed.ncbi.nlm.nih.gov/29568075,"Hypertension-induced endothelial dysfunction is associated with beta-amyloid (Abeta) deposition, a typical pathology of Alzheimer's disease (AD)."
Hypertension,Alzheimers,C0020538,C0002395,29568075,https://pubmed.ncbi.nlm.nih.gov/29568075,"In conclusion, eNOS downregulation contributed to hypertension-induced Alzheimer pathology and cognitive impairment."
Hypertension,Alzheimers,C0020538,C0002395,30854970,https://pubmed.ncbi.nlm.nih.gov/30854970,"Chronic, low-level environmental lead (Pb) exposure is associated with cognitive impairment, hypertension and mortality, and has been proposed as a potential cause of AD."
Hypertension,Alzheimers,C0020538,C0002395,31889399,https://pubmed.ncbi.nlm.nih.gov/31889399,The study result showed that HTN-induced AD regulated long-term memory (LTM) loss and neuronal degeneration in the SHR animals.
Hypertension,Alzheimers,C0020538,C0002395,31889399,https://pubmed.ncbi.nlm.nih.gov/31889399,Dipeptide IF prevents the effects of hypertension-induced Alzheimer's disease on long-term memory in the cortex of spontaneously hypertensive rats.
Hypertension,Alzheimers,C0020538,C0002395,34897090,https://pubmed.ncbi.nlm.nih.gov/34897090,Hypertension is a major risk factor for the pathogenesis of vascular dementia and Alzheimer's disease.
Hypertension,Alzheimers,C0020538,C0002395,38062190,https://pubmed.ncbi.nlm.nih.gov/38062190,The results suggest that the increased risk of AD owing to hypertension is mediated through stroke.
Hypertension,Alzheimers,C0020538,C0002395,38062190,https://pubmed.ncbi.nlm.nih.gov/38062190,This implies that approximately 55% of the risk of AD owing to hypertension can be attributed to stroke.
Hypertension,Alzheimers,C0020538,C0002395,9894287,https://pubmed.ncbi.nlm.nih.gov/9894287,"A possible consequence of these findings would be to prevent, or to postpone, AD by an early treatment of arterial hypertension."
Injection_procedure,Alzheimers,C1533685,C0002395,15151831,https://pubmed.ncbi.nlm.nih.gov/15151831,CONCLUSION: The differentially displayed proteins in the brain identified between the rats with intrahippocampal amyloid beta injection and control rats may provide further insight into the pathogenesis of Alzheimer's disease and useful clues for developing new drugs for its treatment.
Injection_procedure,Alzheimers,C1533685,C0002395,15151831,https://pubmed.ncbi.nlm.nih.gov/15151831,CONCLUSION: The differentially displayed proteins in the brain identified between the rats with intrahippocampal amyloid beta injection and control rats may provide further insight into the pathogenesis of Alzheimer's disease and useful clues for developing new drugs for its treatment.
Injection_procedure,Alzheimers,C1533685,C0002395,15151831,https://pubmed.ncbi.nlm.nih.gov/15151831,CONCLUSION: The differentially displayed proteins in the brain identified between the rats with intrahippocampal amyloid beta injection and control rats may provide further insight into the pathogenesis of Alzheimer's disease and useful clues for developing new drugs for its treatment.
Injection_procedure,Alzheimers,C1533685,C0002395,18687381,https://pubmed.ncbi.nlm.nih.gov/18687381,The rat model of Alzheimer's disease used in the present study was induced by the intracerebroventricular (ICV) injection of streptozotocin (STZ) using a stereotaxic instrument.
Injection_procedure,Alzheimers,C1533685,C0002395,18687381,https://pubmed.ncbi.nlm.nih.gov/18687381,The rat model of Alzheimer's disease used in the present study was induced by the intracerebroventricular (ICV) injection of streptozotocin (STZ) using a stereotaxic instrument.
Injection_procedure,Alzheimers,C1533685,C0002395,18687381,https://pubmed.ncbi.nlm.nih.gov/18687381,The rat model of Alzheimer's disease used in the present study was induced by the intracerebroventricular (ICV) injection of streptozotocin (STZ) using a stereotaxic instrument.
Injection_procedure,Alzheimers,C1533685,C0002395,20030829,https://pubmed.ncbi.nlm.nih.gov/20030829,CONCLUSIONS: These findings indicate efficacy for NPC transplantation in an animal model of AD with effects consistent with cellular actions to attenuate inflammatory reactivity induced by intrahippocampal peptide injection.
Injection_procedure,Alzheimers,C1533685,C0002395,20030829,https://pubmed.ncbi.nlm.nih.gov/20030829,CONCLUSIONS: These findings indicate efficacy for NPC transplantation in an animal model of AD with effects consistent with cellular actions to attenuate inflammatory reactivity induced by intrahippocampal peptide injection.
Injection_procedure,Alzheimers,C1533685,C0002395,20030829,https://pubmed.ncbi.nlm.nih.gov/20030829,CONCLUSIONS: These findings indicate efficacy for NPC transplantation in an animal model of AD with effects consistent with cellular actions to attenuate inflammatory reactivity induced by intrahippocampal peptide injection.
Injection_procedure,Alzheimers,C1533685,C0002395,20384276,https://pubmed.ncbi.nlm.nih.gov/20384276,"Rats with AD-like cognitive deficiency was induced by injection of ibotenic acid into Nucleus Basalis of Meynert (NBM) bilaterally (5 microg 0.5 microL(-1), each side)."
Injection_procedure,Alzheimers,C1533685,C0002395,20384276,https://pubmed.ncbi.nlm.nih.gov/20384276,"Rats with AD-like cognitive deficiency was induced by injection of ibotenic acid into Nucleus Basalis of Meynert (NBM) bilaterally (5 microg 0.5 microL(-1), each side)."
Injection_procedure,Alzheimers,C1533685,C0002395,20384276,https://pubmed.ncbi.nlm.nih.gov/20384276,"Rats with AD-like cognitive deficiency was induced by injection of ibotenic acid into Nucleus Basalis of Meynert (NBM) bilaterally (5 microg 0.5 microL(-1), each side)."
Injection_procedure,Alzheimers,C1533685,C0002395,20838863,https://pubmed.ncbi.nlm.nih.gov/20838863,A nonhuman primate model of Alzheimer's disease generated by intracranial injection of amyloid-beta42 and thiorphan.
Injection_procedure,Alzheimers,C1533685,C0002395,20838863,https://pubmed.ncbi.nlm.nih.gov/20838863,A nonhuman primate model of Alzheimer's disease generated by intracranial injection of amyloid-beta42 and thiorphan.
Injection_procedure,Alzheimers,C1533685,C0002395,20838863,https://pubmed.ncbi.nlm.nih.gov/20838863,A nonhuman primate model of Alzheimer's disease generated by intracranial injection of amyloid-beta42 and thiorphan.
Injection_procedure,Alzheimers,C1533685,C0002395,20933058,https://pubmed.ncbi.nlm.nih.gov/20933058,The present work explored the anti-neuroinflammation effects of Ginseng Rb1 in a rat model of Alzheimer disease produced by ventricle injection of Abeta1-42.
Injection_procedure,Alzheimers,C1533685,C0002395,20933058,https://pubmed.ncbi.nlm.nih.gov/20933058,The present work explored the anti-neuroinflammation effects of Ginseng Rb1 in a rat model of Alzheimer disease produced by ventricle injection of Abeta1-42.
Injection_procedure,Alzheimers,C1533685,C0002395,20933058,https://pubmed.ncbi.nlm.nih.gov/20933058,The present work explored the anti-neuroinflammation effects of Ginseng Rb1 in a rat model of Alzheimer disease produced by ventricle injection of Abeta1-42.
Injection_procedure,Alzheimers,C1533685,C0002395,21689771,https://pubmed.ncbi.nlm.nih.gov/21689771,"The present study utilized a mouse model of AD induced by intrahippocampal injection of AbetaO (10 MUM) to investigate the effects of Gami-Chunghyuldan (GCD), a standardized multi-herbal medicinal formula, on the presentation of memory deficits and neurohistological pathogenesis."
Injection_procedure,Alzheimers,C1533685,C0002395,21689771,https://pubmed.ncbi.nlm.nih.gov/21689771,"The present study utilized a mouse model of AD induced by intrahippocampal injection of AbetaO (10 MUM) to investigate the effects of Gami-Chunghyuldan (GCD), a standardized multi-herbal medicinal formula, on the presentation of memory deficits and neurohistological pathogenesis."
Injection_procedure,Alzheimers,C1533685,C0002395,21689771,https://pubmed.ncbi.nlm.nih.gov/21689771,"The present study utilized a mouse model of AD induced by intrahippocampal injection of AbetaO (10 MUM) to investigate the effects of Gami-Chunghyuldan (GCD), a standardized multi-herbal medicinal formula, on the presentation of memory deficits and neurohistological pathogenesis."
Injection_procedure,Alzheimers,C1533685,C0002395,22235318,https://pubmed.ncbi.nlm.nih.gov/22235318,"The current study was designed to further investigate the protective effect of the RCE on neurogenesis in a rat model of Alzheimer's disease (AD) induced by an intracerebroventricular injection of streptozotocin (STZ), and to determine whether this neuroprotective effect is induced by the antioxidative activity of salidroside."
Injection_procedure,Alzheimers,C1533685,C0002395,22235318,https://pubmed.ncbi.nlm.nih.gov/22235318,"The current study was designed to further investigate the protective effect of the RCE on neurogenesis in a rat model of Alzheimer's disease (AD) induced by an intracerebroventricular injection of streptozotocin (STZ), and to determine whether this neuroprotective effect is induced by the antioxidative activity of salidroside."
Injection_procedure,Alzheimers,C1533685,C0002395,22235318,https://pubmed.ncbi.nlm.nih.gov/22235318,"The current study was designed to further investigate the protective effect of the RCE on neurogenesis in a rat model of Alzheimer's disease (AD) induced by an intracerebroventricular injection of streptozotocin (STZ), and to determine whether this neuroprotective effect is induced by the antioxidative activity of salidroside."
Injection_procedure,Alzheimers,C1533685,C0002395,22562026,https://pubmed.ncbi.nlm.nih.gov/22562026,"METHODS: Two weeks after induction of AD by injection of Amyloid-beta1-40 into CA1 area of rat hippocamp, Y-maze and single-trial passive avoidance tests were used to show deficit of learning and memory abilities."
Injection_procedure,Alzheimers,C1533685,C0002395,22562026,https://pubmed.ncbi.nlm.nih.gov/22562026,"METHODS: Two weeks after induction of AD by injection of Amyloid-beta1-40 into CA1 area of rat hippocamp, Y-maze and single-trial passive avoidance tests were used to show deficit of learning and memory abilities."
Injection_procedure,Alzheimers,C1533685,C0002395,22562026,https://pubmed.ncbi.nlm.nih.gov/22562026,"METHODS: Two weeks after induction of AD by injection of Amyloid-beta1-40 into CA1 area of rat hippocamp, Y-maze and single-trial passive avoidance tests were used to show deficit of learning and memory abilities."
Injection_procedure,Alzheimers,C1533685,C0002395,23061885,https://pubmed.ncbi.nlm.nih.gov/23061885,This study aimed to show that the rat model of sporadic Alzheimer's disease (sAD) generated by the intracerebroventricular (icv) injection of a sub-diabetogenic dose of streptozotocin (icvSTZ) is characterized by brain mitochondrial abnormalities.
Injection_procedure,Alzheimers,C1533685,C0002395,23061885,https://pubmed.ncbi.nlm.nih.gov/23061885,This study aimed to show that the rat model of sporadic Alzheimer's disease (sAD) generated by the intracerebroventricular (icv) injection of a sub-diabetogenic dose of streptozotocin (icvSTZ) is characterized by brain mitochondrial abnormalities.
Injection_procedure,Alzheimers,C1533685,C0002395,23061885,https://pubmed.ncbi.nlm.nih.gov/23061885,This study aimed to show that the rat model of sporadic Alzheimer's disease (sAD) generated by the intracerebroventricular (icv) injection of a sub-diabetogenic dose of streptozotocin (icvSTZ) is characterized by brain mitochondrial abnormalities.
Injection_procedure,Alzheimers,C1533685,C0002395,23156675,https://pubmed.ncbi.nlm.nih.gov/23156675,The intranasal administration of glutamate antibodies in the dose of 300 microg/kg one hour after damage on the level of mRNA expression of Dffb gene which codes caspase-activated DNase which participates in intranucleosome fragmentation of genome DNA in apoptosis was investigated in experimental Alzheimer's disease induced by injection of neurotoxic fragment of beta-amyloid protein Abeta25-35 in Meynert basal magnocellular nuclei on rats.
Injection_procedure,Alzheimers,C1533685,C0002395,23156675,https://pubmed.ncbi.nlm.nih.gov/23156675,The intranasal administration of glutamate antibodies in the dose of 300 microg/kg one hour after damage on the level of mRNA expression of Dffb gene which codes caspase-activated DNase which participates in intranucleosome fragmentation of genome DNA in apoptosis was investigated in experimental Alzheimer's disease induced by injection of neurotoxic fragment of beta-amyloid protein Abeta25-35 in Meynert basal magnocellular nuclei on rats.
Injection_procedure,Alzheimers,C1533685,C0002395,23156675,https://pubmed.ncbi.nlm.nih.gov/23156675,The intranasal administration of glutamate antibodies in the dose of 300 microg/kg one hour after damage on the level of mRNA expression of Dffb gene which codes caspase-activated DNase which participates in intranucleosome fragmentation of genome DNA in apoptosis was investigated in experimental Alzheimer's disease induced by injection of neurotoxic fragment of beta-amyloid protein Abeta25-35 in Meynert basal magnocellular nuclei on rats.
Injection_procedure,Alzheimers,C1533685,C0002395,23244235,https://pubmed.ncbi.nlm.nih.gov/23244235,We investigated the effect of thalidomide on AD-like cognitive deficits caused by intracerebroventricular injection of streptozotocin (STZ).
Injection_procedure,Alzheimers,C1533685,C0002395,23244235,https://pubmed.ncbi.nlm.nih.gov/23244235,Thalidomide treatment attenuated significantly STZ induced cognitive impairment and histopathological changes.
Injection_procedure,Alzheimers,C1533685,C0002395,23244235,https://pubmed.ncbi.nlm.nih.gov/23244235,Thalidomide appears to provide neuroprotection from the memory deficits and neuronal damage induced by STZ.
Injection_procedure,Alzheimers,C1533685,C0002395,23244235,https://pubmed.ncbi.nlm.nih.gov/23244235,We investigated the effect of thalidomide on AD-like cognitive deficits caused by intracerebroventricular injection of streptozotocin (STZ).
Injection_procedure,Alzheimers,C1533685,C0002395,23244235,https://pubmed.ncbi.nlm.nih.gov/23244235,Thalidomide treatment attenuated significantly STZ induced cognitive impairment and histopathological changes.
Injection_procedure,Alzheimers,C1533685,C0002395,23244235,https://pubmed.ncbi.nlm.nih.gov/23244235,Thalidomide appears to provide neuroprotection from the memory deficits and neuronal damage induced by STZ.
Injection_procedure,Alzheimers,C1533685,C0002395,23244235,https://pubmed.ncbi.nlm.nih.gov/23244235,We investigated the effect of thalidomide on AD-like cognitive deficits caused by intracerebroventricular injection of streptozotocin (STZ).
