from,to,subject_cui,object_cui,pmid,pmid_url,sentence
Diet,Alzheimers,C0012155,C0002395,22406440,https://pubmed.ncbi.nlm.nih.gov/22406440,We have previously demonstrated that cholesterol-enriched diet causes AD-like pathology with iron deposition in rabbit brain.
Diet,Alzheimers,C0012155,C0002395,22406440,https://pubmed.ncbi.nlm.nih.gov/22406440,We have previously demonstrated that cholesterol-enriched diet causes AD-like pathology with iron deposition in rabbit brain.
Diet,Alzheimers,C0012155,C0002395,22533436,https://pubmed.ncbi.nlm.nih.gov/22533436,"Alzheimer disease (AD) and metabolic syndrome are two highly prevalent pathological conditions of Western society due to incorrect diet, lifestyle, and vascular risk factors."
Diet,Alzheimers,C0012155,C0002395,22533436,https://pubmed.ncbi.nlm.nih.gov/22533436,"Alzheimer disease (AD) and metabolic syndrome are two highly prevalent pathological conditions of Western society due to incorrect diet, lifestyle, and vascular risk factors."
Diet,Alzheimers,C0012155,C0002395,22914588,https://pubmed.ncbi.nlm.nih.gov/22914588,"Diet is an important lifestyle factor implicated in the etiology of Alzheimer's disease (AD), but so far it is not fully elucidated to which nutrients the suggested protective effect of diet can be attributed."
Diet,Alzheimers,C0012155,C0002395,22914588,https://pubmed.ncbi.nlm.nih.gov/22914588,Recent evidence obtained in the amyloid-beta 1-42 (Abeta(42)) infusion model in rats has shown that a multi-nutrient intervention known as FortasynTM Connect (FC) may protect the central cholinergic system against Abeta(42)-induced toxicity.
Diet,Alzheimers,C0012155,C0002395,22914588,https://pubmed.ncbi.nlm.nih.gov/22914588,"Diet is an important lifestyle factor implicated in the etiology of Alzheimer's disease (AD), but so far it is not fully elucidated to which nutrients the suggested protective effect of diet can be attributed."
Diet,Alzheimers,C0012155,C0002395,22914588,https://pubmed.ncbi.nlm.nih.gov/22914588,Recent evidence obtained in the amyloid-beta 1-42 (Abeta(42)) infusion model in rats has shown that a multi-nutrient intervention known as FortasynTM Connect (FC) may protect the central cholinergic system against Abeta(42)-induced toxicity.
Diet,Alzheimers,C0012155,C0002395,23530509,https://pubmed.ncbi.nlm.nih.gov/23530509,"The more common sporadic form of Alzheimer disease (SAD) and the metabolic syndrome are two highly prevalent pathological conditions of Western society due to incorrect diet, lifestyle, and vascular risk factors."
Diet,Alzheimers,C0012155,C0002395,23530509,https://pubmed.ncbi.nlm.nih.gov/23530509,"The more common sporadic form of Alzheimer disease (SAD) and the metabolic syndrome are two highly prevalent pathological conditions of Western society due to incorrect diet, lifestyle, and vascular risk factors."
Diet,Alzheimers,C0012155,C0002395,24286859,https://pubmed.ncbi.nlm.nih.gov/24286859,"The ameliorating effects of the diet on the OBX-induced changes were comparable to those of the NMDA receptor antagonist, memantine, a drug used for the management of Alzheimer's disease."
