from,to,subject_cui,object_cui,pmid,pmid_url,sentence
Hypertension,Alzheimers,C0020538,C0002395,12480731,https://pubmed.ncbi.nlm.nih.gov/12480731,"The consequences of hypertension include cerebrovascular disease, coronary heart disease, and general atherosclerosis."
Hypertension,Alzheimers,C0020538,C0002395,12480731,https://pubmed.ncbi.nlm.nih.gov/12480731,Hypertension and related factors in the etiology of Alzheimer's disease.
Hypertension,Alzheimers,C0020538,C0002395,17362841,https://pubmed.ncbi.nlm.nih.gov/17362841,"In recent years the renin-angiotensin system, already of recognised importance in the pathogenesis of hypertension, has become a source of interest in the pathogenesis of Alzheimer's disease."
Hypertension,Alzheimers,C0020538,C0002395,19555872,https://pubmed.ncbi.nlm.nih.gov/19555872,Cumulative evidence implicates hypertension in the pathogenesis of Alzheimer disease.
Hypertension,Alzheimers,C0020538,C0002395,22615109,https://pubmed.ncbi.nlm.nih.gov/22615109,"Interestingly, RAGE inhibition protected from hypertension-induced Alzheimer pathology, as showed by rescue from cognitive impairment and parenchymal Abeta deposition."
Hypertension,Alzheimers,C0020538,C0002395,22615109,https://pubmed.ncbi.nlm.nih.gov/22615109,"Overall we demonstrate that RAGE activation in brain vessels is a crucial pathogenetic event in hypertension-induced Alzheimer disease, suggesting that inhibiting this target can limit the onset of vascular-related Alzheimer disease."
Hypertension,Alzheimers,C0020538,C0002395,25976367,https://pubmed.ncbi.nlm.nih.gov/25976367,"Several preclinical and epidemiological studies have linked metabolic risk factors such as hypertension, obesity, dyslipidemia, and diabetes to the pathogenesis of AD."
Hypertension,Alzheimers,C0020538,C0002395,29568075,https://pubmed.ncbi.nlm.nih.gov/29568075,"Hypertension-induced endothelial dysfunction is associated with beta-amyloid (Abeta) deposition, a typical pathology of Alzheimer's disease (AD)."
Hypertension,Alzheimers,C0020538,C0002395,29568075,https://pubmed.ncbi.nlm.nih.gov/29568075,"In conclusion, eNOS downregulation contributed to hypertension-induced Alzheimer pathology and cognitive impairment."
Hypertension,Alzheimers,C0020538,C0002395,30854970,https://pubmed.ncbi.nlm.nih.gov/30854970,"Chronic, low-level environmental lead (Pb) exposure is associated with cognitive impairment, hypertension and mortality, and has been proposed as a potential cause of AD."
Hypertension,Alzheimers,C0020538,C0002395,31889399,https://pubmed.ncbi.nlm.nih.gov/31889399,The study result showed that HTN-induced AD regulated long-term memory (LTM) loss and neuronal degeneration in the SHR animals.
Hypertension,Alzheimers,C0020538,C0002395,31889399,https://pubmed.ncbi.nlm.nih.gov/31889399,Dipeptide IF prevents the effects of hypertension-induced Alzheimer's disease on long-term memory in the cortex of spontaneously hypertensive rats.
Hypertension,Alzheimers,C0020538,C0002395,34897090,https://pubmed.ncbi.nlm.nih.gov/34897090,Hypertension is a major risk factor for the pathogenesis of vascular dementia and Alzheimer's disease.
Hypertension,Alzheimers,C0020538,C0002395,38062190,https://pubmed.ncbi.nlm.nih.gov/38062190,The results suggest that the increased risk of AD owing to hypertension is mediated through stroke.
Hypertension,Alzheimers,C0020538,C0002395,38062190,https://pubmed.ncbi.nlm.nih.gov/38062190,This implies that approximately 55% of the risk of AD owing to hypertension can be attributed to stroke.
Hypertension,Alzheimers,C0020538,C0002395,9894287,https://pubmed.ncbi.nlm.nih.gov/9894287,"A possible consequence of these findings would be to prevent, or to postpone, AD by an early treatment of arterial hypertension."
Nitric_Oxide,Alzheimers,C0028128,C0002395,10567488,https://pubmed.ncbi.nlm.nih.gov/10567488,"There is a growing evidence that NO is involved in neuronal death in Alzheimer's disease, and the oxidative stress caused by NO in the brain could be a pathogenic mechanism in Alzheimer's disease."
Nitric_Oxide,Alzheimers,C0028128,C0002395,11110032,https://pubmed.ncbi.nlm.nih.gov/11110032,"Interleukin-1 (IL-1) is known to trigger induction of inducible nitric oxide synthase (iNOS) to persistently mass produce nitric oxide (NO) to induce various diseases such as cancer, inflammation, Alzheimer's disease and eye diseases, including uveitis, retinopathy, age-related macular degeneration, glaucoma and myopia."
Nitric_Oxide,Alzheimers,C0028128,C0002395,1381038,https://pubmed.ncbi.nlm.nih.gov/1381038,"A possible role for nitric oxide in glutamate (MSG)-induced Chinese restaurant syndrome, glutamate-induced asthma, 'hot-dog headache', pugilistic Alzheimer's disease, and other disorders."
Nitric_Oxide,Alzheimers,C0028128,C0002395,1381038,https://pubmed.ncbi.nlm.nih.gov/1381038,The NO-MNP can be activated to release NO in endothelial cells which in turn acts on neighboring vascular smooth muscle cells to induce vasodilation.
Nitric_Oxide,Alzheimers,C0028128,C0002395,16253246,https://pubmed.ncbi.nlm.nih.gov/16253246,"This is the first direct evidence demonstrating that nitric oxide induces AD-like tau hyperphosphorylation in vitro, and GSK-3beta activation is partially responsible for the nitric oxide-induced tau hyperphosphorylation."
Nitric_Oxide,Alzheimers,C0028128,C0002395,17560043,https://pubmed.ncbi.nlm.nih.gov/17560043,Several studies suggest a pivotal role of amyloid beta (Abeta)(1-42) and nitric oxide (NO) in the pathogenesis of Alzheimer's disease.
Nitric_Oxide,Alzheimers,C0028128,C0002395,20082297,https://pubmed.ncbi.nlm.nih.gov/20082297,"The elevation of nitric oxide (NO) within the central nervous system (CNS) is known to be associated with the pathogenesis of neurodegenerative diseases such as HIV-associated dementia (HAD), brain ischemia, Parkinson's disease, and Alzheimer's disease."
Nitric_Oxide,Alzheimers,C0028128,C0002395,22445961,https://pubmed.ncbi.nlm.nih.gov/22445961,"The Abeta aggregate-induced neurotoxicity, inflammatory reactions, oxidative stress, and nitric oxide (NO) generation are strongly linked to the etiology of AD."
Nitric_Oxide,Alzheimers,C0028128,C0002395,23745722,https://pubmed.ncbi.nlm.nih.gov/23745722,This suggests chronic loss of endothelial NO may be an important contributor to the pathogenesis of sporadic AD.
Nitric_Oxide,Alzheimers,C0028128,C0002395,27806872,https://pubmed.ncbi.nlm.nih.gov/27806872,"Our results showed that LPS treatment (500MUg/kg/day) for 7days disturbed memory, enhanced systemic NO production, NOS2 and Abeta 1-42 cerebral expression and generated an Alzheimer's disease (AD)-like neuronal degeneration."
Nitric_Oxide,Alzheimers,C0028128,C0002395,29300354,https://pubmed.ncbi.nlm.nih.gov/29300354,"The overproduction of nitric oxide (NO) and prostaglandin E2 (PGE2) by microglia may cause neurodegenerative diseases, such as Alzheimer's disease and Parkinson's disease."
Nitric_Oxide,Alzheimers,C0028128,C0002395,31531065,https://pubmed.ncbi.nlm.nih.gov/31531065,Nitric oxide (NO) is a key mediator that plays an important role in pathogenesis of various chronic diseases like Alzheimer's disease and Parkinson's disease.
Nitric_Oxide,Hypertension,C0028128,C0020538,10067799,https://pubmed.ncbi.nlm.nih.gov/10067799,OBJECTIVE: Chronic inhibition of nitric oxide synthesis has been shown to cause arterial hypertension and an important blunting of the pressure diuresis and natriuresis response.
Nitric_Oxide,Hypertension,C0028128,C0020538,10067799,https://pubmed.ncbi.nlm.nih.gov/10067799,OBJECTIVE: Chronic inhibition of nitric oxide synthesis has been shown to cause arterial hypertension and an important blunting of the pressure diuresis and natriuresis response.
Nitric_Oxide,Hypertension,C0028128,C0020538,10067799,https://pubmed.ncbi.nlm.nih.gov/10067799,OBJECTIVE: Chronic inhibition of nitric oxide synthesis has been shown to cause arterial hypertension and an important blunting of the pressure diuresis and natriuresis response.
Nitric_Oxide,Hypertension,C0028128,C0020538,10403604,https://pubmed.ncbi.nlm.nih.gov/10403604,"CONCLUSION: These studies support the notion that (i) products of lipid oxidation may reduce NO bioactivity without affecting endothelial NO synthase mass or catalytic activity, (ii) the mechanisms involved in the endothelial dysfunction induced by hypercholesterolaemia and oxidized lipids may differ among vascular beds, and (iii) decreased NO bioavailability does not necessarily result in systemic hypertension, but it may enhance the sensitivity to the hypertensinogenic effect of dietary salt."
Nitric_Oxide,Hypertension,C0028128,C0020538,10403604,https://pubmed.ncbi.nlm.nih.gov/10403604,OBJECTIVES: We have previously shown that in the rat a diet high in cholesterol and deficient in vitamin E and selenium results in hypercholesterolaemia and increased lipid oxidation.
Nitric_Oxide,Hypertension,C0028128,C0020538,10403604,https://pubmed.ncbi.nlm.nih.gov/10403604,We also investigated whether endothelial dysfunction induced by dyslipidaemia increases the sensitivity for the development of hypertension in response to high dietary salt.
Nitric_Oxide,Hypertension,C0028128,C0020538,10403604,https://pubmed.ncbi.nlm.nih.gov/10403604,"CONCLUSION: These studies support the notion that (i) products of lipid oxidation may reduce NO bioactivity without affecting endothelial NO synthase mass or catalytic activity, (ii) the mechanisms involved in the endothelial dysfunction induced by hypercholesterolaemia and oxidized lipids may differ among vascular beds, and (iii) decreased NO bioavailability does not necessarily result in systemic hypertension, but it may enhance the sensitivity to the hypertensinogenic effect of dietary salt."
Nitric_Oxide,Hypertension,C0028128,C0020538,10403604,https://pubmed.ncbi.nlm.nih.gov/10403604,OBJECTIVES: We have previously shown that in the rat a diet high in cholesterol and deficient in vitamin E and selenium results in hypercholesterolaemia and increased lipid oxidation.
Nitric_Oxide,Hypertension,C0028128,C0020538,10403604,https://pubmed.ncbi.nlm.nih.gov/10403604,We also investigated whether endothelial dysfunction induced by dyslipidaemia increases the sensitivity for the development of hypertension in response to high dietary salt.
Nitric_Oxide,Hypertension,C0028128,C0020538,10403604,https://pubmed.ncbi.nlm.nih.gov/10403604,"CONCLUSION: These studies support the notion that (i) products of lipid oxidation may reduce NO bioactivity without affecting endothelial NO synthase mass or catalytic activity, (ii) the mechanisms involved in the endothelial dysfunction induced by hypercholesterolaemia and oxidized lipids may differ among vascular beds, and (iii) decreased NO bioavailability does not necessarily result in systemic hypertension, but it may enhance the sensitivity to the hypertensinogenic effect of dietary salt."
Nitric_Oxide,Hypertension,C0028128,C0020538,10403604,https://pubmed.ncbi.nlm.nih.gov/10403604,OBJECTIVES: We have previously shown that in the rat a diet high in cholesterol and deficient in vitamin E and selenium results in hypercholesterolaemia and increased lipid oxidation.
Nitric_Oxide,Hypertension,C0028128,C0020538,10403604,https://pubmed.ncbi.nlm.nih.gov/10403604,We also investigated whether endothelial dysfunction induced by dyslipidaemia increases the sensitivity for the development of hypertension in response to high dietary salt.
Nitric_Oxide,Hypertension,C0028128,C0020538,10491314,https://pubmed.ncbi.nlm.nih.gov/10491314,Manifestation of oxidative stress in the pathogenesis of arterial hypertension in ISIAH rats.
Nitric_Oxide,Hypertension,C0028128,C0020538,10491314,https://pubmed.ncbi.nlm.nih.gov/10491314,"These data support the suggestion that ROS and RNS, including superoxide radicals and nitric oxide, may play an important role in development of stress-induced hypertension in ISIAH rats."
Nitric_Oxide,Hypertension,C0028128,C0020538,10491314,https://pubmed.ncbi.nlm.nih.gov/10491314,Manifestation of oxidative stress in the pathogenesis of arterial hypertension in ISIAH rats.
Nitric_Oxide,Hypertension,C0028128,C0020538,10491314,https://pubmed.ncbi.nlm.nih.gov/10491314,"These data support the suggestion that ROS and RNS, including superoxide radicals and nitric oxide, may play an important role in development of stress-induced hypertension in ISIAH rats."
Nitric_Oxide,Hypertension,C0028128,C0020538,10491314,https://pubmed.ncbi.nlm.nih.gov/10491314,Manifestation of oxidative stress in the pathogenesis of arterial hypertension in ISIAH rats.
Nitric_Oxide,Hypertension,C0028128,C0020538,10491314,https://pubmed.ncbi.nlm.nih.gov/10491314,"These data support the suggestion that ROS and RNS, including superoxide radicals and nitric oxide, may play an important role in development of stress-induced hypertension in ISIAH rats."
Nitric_Oxide,Hypertension,C0028128,C0020538,10523364,https://pubmed.ncbi.nlm.nih.gov/10523364,The long-term administration of nitric oxide synthesis inhibitors induces arterial hypertension accompanied by left ventricular hypertrophy and myocardial ischemic lesions.
Nitric_Oxide,Hypertension,C0028128,C0020538,10523364,https://pubmed.ncbi.nlm.nih.gov/10523364,The long-term administration of nitric oxide synthesis inhibitors induces arterial hypertension accompanied by left ventricular hypertrophy and myocardial ischemic lesions.
Nitric_Oxide,Hypertension,C0028128,C0020538,10523364,https://pubmed.ncbi.nlm.nih.gov/10523364,The long-term administration of nitric oxide synthesis inhibitors induces arterial hypertension accompanied by left ventricular hypertrophy and myocardial ischemic lesions.
Nitric_Oxide,Hypertension,C0028128,C0020538,10696524,https://pubmed.ncbi.nlm.nih.gov/10696524,"These results suggest that long-term inhibition of NO synthesis produces a sodium-sensitive hypertension and that changes in sympathetic nerve activity may, at least in part, contribute to the sodium sensitivity in this type of hypertension."
Nitric_Oxide,Hypertension,C0028128,C0020538,10696524,https://pubmed.ncbi.nlm.nih.gov/10696524,NG-Nitro-L-arginine methyl ester-induced hypertension was accompanied by a decreased urinary excretion of the stable NO metabolites NO2- and NO3- and was aggravated when rats drank 0.9% NaCl in place of tap water.
Nitric_Oxide,Hypertension,C0028128,C0020538,10696524,https://pubmed.ncbi.nlm.nih.gov/10696524,"These results suggest that long-term inhibition of NO synthesis produces a sodium-sensitive hypertension and that changes in sympathetic nerve activity may, at least in part, contribute to the sodium sensitivity in this type of hypertension."
Nitric_Oxide,Hypertension,C0028128,C0020538,10696524,https://pubmed.ncbi.nlm.nih.gov/10696524,NG-Nitro-L-arginine methyl ester-induced hypertension was accompanied by a decreased urinary excretion of the stable NO metabolites NO2- and NO3- and was aggravated when rats drank 0.9% NaCl in place of tap water.
Nitric_Oxide,Hypertension,C0028128,C0020538,10696524,https://pubmed.ncbi.nlm.nih.gov/10696524,"These results suggest that long-term inhibition of NO synthesis produces a sodium-sensitive hypertension and that changes in sympathetic nerve activity may, at least in part, contribute to the sodium sensitivity in this type of hypertension."
Nitric_Oxide,Hypertension,C0028128,C0020538,10696524,https://pubmed.ncbi.nlm.nih.gov/10696524,NG-Nitro-L-arginine methyl ester-induced hypertension was accompanied by a decreased urinary excretion of the stable NO metabolites NO2- and NO3- and was aggravated when rats drank 0.9% NaCl in place of tap water.
Nitric_Oxide,Hypertension,C0028128,C0020538,10719388,https://pubmed.ncbi.nlm.nih.gov/10719388,"To evaluate the role of renal nerve activity in L-NAME-induced hypertension, we compared the blood pressure response in four groups (N = 10 each) of male Wistar-Hannover rats weighing 200 to 250 g: 1) sham-operated vehicle-treated, 2) sham-operated L-NAME-treated, 3) denervated vehicle-treated, and 4) denervated L-NAME-treated rats."
Nitric_Oxide,Hypertension,C0028128,C0020538,10719388,https://pubmed.ncbi.nlm.nih.gov/10719388,Much of the hypertension caused by chronic NO synthesis inhibition is thus dependent on renal nerve activity.
