from,to,subject_cui,object_cui,pmid,pmid_url,sentence
Hypertension,Alzheimers,C0020538,C0002395,12480731,https://pubmed.ncbi.nlm.nih.gov/12480731,"The consequences of hypertension include cerebrovascular disease, coronary heart disease, and general atherosclerosis."
Hypertension,Alzheimers,C0020538,C0002395,12480731,https://pubmed.ncbi.nlm.nih.gov/12480731,Hypertension and related factors in the etiology of Alzheimer's disease.
Hypertension,Alzheimers,C0020538,C0002395,17362841,https://pubmed.ncbi.nlm.nih.gov/17362841,"In recent years the renin-angiotensin system, already of recognised importance in the pathogenesis of hypertension, has become a source of interest in the pathogenesis of Alzheimer's disease."
Hypertension,Alzheimers,C0020538,C0002395,19555872,https://pubmed.ncbi.nlm.nih.gov/19555872,Cumulative evidence implicates hypertension in the pathogenesis of Alzheimer disease.
Hypertension,Alzheimers,C0020538,C0002395,22615109,https://pubmed.ncbi.nlm.nih.gov/22615109,"Interestingly, RAGE inhibition protected from hypertension-induced Alzheimer pathology, as showed by rescue from cognitive impairment and parenchymal Abeta deposition."
Hypertension,Alzheimers,C0020538,C0002395,22615109,https://pubmed.ncbi.nlm.nih.gov/22615109,"Overall we demonstrate that RAGE activation in brain vessels is a crucial pathogenetic event in hypertension-induced Alzheimer disease, suggesting that inhibiting this target can limit the onset of vascular-related Alzheimer disease."
Hypertension,Alzheimers,C0020538,C0002395,25976367,https://pubmed.ncbi.nlm.nih.gov/25976367,"Several preclinical and epidemiological studies have linked metabolic risk factors such as hypertension, obesity, dyslipidemia, and diabetes to the pathogenesis of AD."
Hypertension,Alzheimers,C0020538,C0002395,29568075,https://pubmed.ncbi.nlm.nih.gov/29568075,"Hypertension-induced endothelial dysfunction is associated with beta-amyloid (Abeta) deposition, a typical pathology of Alzheimer's disease (AD)."
Hypertension,Alzheimers,C0020538,C0002395,29568075,https://pubmed.ncbi.nlm.nih.gov/29568075,"In conclusion, eNOS downregulation contributed to hypertension-induced Alzheimer pathology and cognitive impairment."
Hypertension,Alzheimers,C0020538,C0002395,30854970,https://pubmed.ncbi.nlm.nih.gov/30854970,"Chronic, low-level environmental lead (Pb) exposure is associated with cognitive impairment, hypertension and mortality, and has been proposed as a potential cause of AD."
Hypertension,Alzheimers,C0020538,C0002395,31889399,https://pubmed.ncbi.nlm.nih.gov/31889399,The study result showed that HTN-induced AD regulated long-term memory (LTM) loss and neuronal degeneration in the SHR animals.
Hypertension,Alzheimers,C0020538,C0002395,31889399,https://pubmed.ncbi.nlm.nih.gov/31889399,Dipeptide IF prevents the effects of hypertension-induced Alzheimer's disease on long-term memory in the cortex of spontaneously hypertensive rats.
Hypertension,Alzheimers,C0020538,C0002395,34897090,https://pubmed.ncbi.nlm.nih.gov/34897090,Hypertension is a major risk factor for the pathogenesis of vascular dementia and Alzheimer's disease.
Hypertension,Alzheimers,C0020538,C0002395,38062190,https://pubmed.ncbi.nlm.nih.gov/38062190,The results suggest that the increased risk of AD owing to hypertension is mediated through stroke.
Hypertension,Alzheimers,C0020538,C0002395,38062190,https://pubmed.ncbi.nlm.nih.gov/38062190,This implies that approximately 55% of the risk of AD owing to hypertension can be attributed to stroke.
Hypertension,Alzheimers,C0020538,C0002395,9894287,https://pubmed.ncbi.nlm.nih.gov/9894287,"A possible consequence of these findings would be to prevent, or to postpone, AD by an early treatment of arterial hypertension."
MicroRNAs,Alzheimers,C1101610,C0002395,18525125,https://pubmed.ncbi.nlm.nih.gov/18525125,"We used experimental validation in addition to literature to reveal how the deregulated brain microRNAs are biomarkers for known and novel pathways in AD pathogenesis related to amyloid processing, neurogenesis, insulin resistance, and innate immunity."
MicroRNAs,Alzheimers,C1101610,C0002395,18525125,https://pubmed.ncbi.nlm.nih.gov/18525125,"We used experimental validation in addition to literature to reveal how the deregulated brain microRNAs are biomarkers for known and novel pathways in AD pathogenesis related to amyloid processing, neurogenesis, insulin resistance, and innate immunity."
MicroRNAs,Alzheimers,C1101610,C0002395,18525125,https://pubmed.ncbi.nlm.nih.gov/18525125,"We used experimental validation in addition to literature to reveal how the deregulated brain microRNAs are biomarkers for known and novel pathways in AD pathogenesis related to amyloid processing, neurogenesis, insulin resistance, and innate immunity."
MicroRNAs,Alzheimers,C1101610,C0002395,21945006,https://pubmed.ncbi.nlm.nih.gov/21945006,"Aberrant expression and dysfunction of brain-enriched miRNAs induce development of neurodegenerative diseases, such as Alzheimer's disease (AD) and Parkinson's disease (PD)."
MicroRNAs,Alzheimers,C1101610,C0002395,21945006,https://pubmed.ncbi.nlm.nih.gov/21945006,"This review is conducted to summarize accumulating studies focused on aberrant miRNA expression in AD brains, and to propose the systems biological view that abnormal regulation of cell cycle progression as a result of deregulation of miRNA target networks plays a central role in the pathogenesis of AD."
MicroRNAs,Alzheimers,C1101610,C0002395,21945006,https://pubmed.ncbi.nlm.nih.gov/21945006,"Aberrant expression and dysfunction of brain-enriched miRNAs induce development of neurodegenerative diseases, such as Alzheimer's disease (AD) and Parkinson's disease (PD)."
MicroRNAs,Alzheimers,C1101610,C0002395,21945006,https://pubmed.ncbi.nlm.nih.gov/21945006,"This review is conducted to summarize accumulating studies focused on aberrant miRNA expression in AD brains, and to propose the systems biological view that abnormal regulation of cell cycle progression as a result of deregulation of miRNA target networks plays a central role in the pathogenesis of AD."
MicroRNAs,Alzheimers,C1101610,C0002395,21945006,https://pubmed.ncbi.nlm.nih.gov/21945006,"Aberrant expression and dysfunction of brain-enriched miRNAs induce development of neurodegenerative diseases, such as Alzheimer's disease (AD) and Parkinson's disease (PD)."
MicroRNAs,Alzheimers,C1101610,C0002395,21945006,https://pubmed.ncbi.nlm.nih.gov/21945006,"This review is conducted to summarize accumulating studies focused on aberrant miRNA expression in AD brains, and to propose the systems biological view that abnormal regulation of cell cycle progression as a result of deregulation of miRNA target networks plays a central role in the pathogenesis of AD."
MicroRNAs,Alzheimers,C1101610,C0002395,22985563,https://pubmed.ncbi.nlm.nih.gov/22985563,OBJECTIVE: To observe the changes of miRNA expression profiles in APPswe/PSdeltaE9 transgenic mice and explore the possible roles of miRNA in the pathogenesis of Alzheimer's disease.
MicroRNAs,Alzheimers,C1101610,C0002395,22985563,https://pubmed.ncbi.nlm.nih.gov/22985563,OBJECTIVE: To observe the changes of miRNA expression profiles in APPswe/PSdeltaE9 transgenic mice and explore the possible roles of miRNA in the pathogenesis of Alzheimer's disease.
MicroRNAs,Alzheimers,C1101610,C0002395,22985563,https://pubmed.ncbi.nlm.nih.gov/22985563,OBJECTIVE: To observe the changes of miRNA expression profiles in APPswe/PSdeltaE9 transgenic mice and explore the possible roles of miRNA in the pathogenesis of Alzheimer's disease.
MicroRNAs,Alzheimers,C1101610,C0002395,23443129,https://pubmed.ncbi.nlm.nih.gov/23443129,"These results demonstrated that oxidative stress alters the miRNA expression profile of hippocampal neurons, and the deregulated miRNAs might play a potential role in the pathogenesis of neurodegenerative diseases, such as Alzheimer's disease (AD)."
MicroRNAs,Alzheimers,C1101610,C0002395,23443129,https://pubmed.ncbi.nlm.nih.gov/23443129,"Oxidative stress plays a critical role in the etiology and pathogenesis of neurodegenerative disorders, and the molecular mechanisms that control the neuron response to ROS have been extensively studied."
MicroRNAs,Alzheimers,C1101610,C0002395,23443129,https://pubmed.ncbi.nlm.nih.gov/23443129,"These results demonstrated that oxidative stress alters the miRNA expression profile of hippocampal neurons, and the deregulated miRNAs might play a potential role in the pathogenesis of neurodegenerative diseases, such as Alzheimer's disease (AD)."
MicroRNAs,Alzheimers,C1101610,C0002395,23443129,https://pubmed.ncbi.nlm.nih.gov/23443129,"Oxidative stress plays a critical role in the etiology and pathogenesis of neurodegenerative disorders, and the molecular mechanisms that control the neuron response to ROS have been extensively studied."
MicroRNAs,Alzheimers,C1101610,C0002395,23443129,https://pubmed.ncbi.nlm.nih.gov/23443129,"These results demonstrated that oxidative stress alters the miRNA expression profile of hippocampal neurons, and the deregulated miRNAs might play a potential role in the pathogenesis of neurodegenerative diseases, such as Alzheimer's disease (AD)."
MicroRNAs,Alzheimers,C1101610,C0002395,23443129,https://pubmed.ncbi.nlm.nih.gov/23443129,"Oxidative stress plays a critical role in the etiology and pathogenesis of neurodegenerative disorders, and the molecular mechanisms that control the neuron response to ROS have been extensively studied."
MicroRNAs,Alzheimers,C1101610,C0002395,23450482,https://pubmed.ncbi.nlm.nih.gov/23450482,Research on microRNA will facilitate in depth understanding of the pathogenesis of Alzheimer's disease.
MicroRNAs,Alzheimers,C1101610,C0002395,23450482,https://pubmed.ncbi.nlm.nih.gov/23450482,Research on microRNA will facilitate in depth understanding of the pathogenesis of Alzheimer's disease.
MicroRNAs,Alzheimers,C1101610,C0002395,23450482,https://pubmed.ncbi.nlm.nih.gov/23450482,Research on microRNA will facilitate in depth understanding of the pathogenesis of Alzheimer's disease.
MicroRNAs,Alzheimers,C1101610,C0002395,23922807,https://pubmed.ncbi.nlm.nih.gov/23922807,"Pathway analysis, taking into account enriched target mRNAs for these signature miRNAs was also carried out, suggesting that the disturbance of multiple enzymatic pathways including lipid metabolism could play a role in AD etiology."
MicroRNAs,Alzheimers,C1101610,C0002395,23922807,https://pubmed.ncbi.nlm.nih.gov/23922807,"Pathway analysis, taking into account enriched target mRNAs for these signature miRNAs was also carried out, suggesting that the disturbance of multiple enzymatic pathways including lipid metabolism could play a role in AD etiology."
MicroRNAs,Alzheimers,C1101610,C0002395,23922807,https://pubmed.ncbi.nlm.nih.gov/23922807,"Pathway analysis, taking into account enriched target mRNAs for these signature miRNAs was also carried out, suggesting that the disturbance of multiple enzymatic pathways including lipid metabolism could play a role in AD etiology."
MicroRNAs,Alzheimers,C1101610,C0002395,23962497,https://pubmed.ncbi.nlm.nih.gov/23962497,"In conclusion, the abnormal expression of several miRNAs in hippocampus of intermediate- and late-stage AD patients suggests their involvement in AD pathogenesis, and low levels of miR-146a in CSF were associated with AD."
MicroRNAs,Alzheimers,C1101610,C0002395,23962497,https://pubmed.ncbi.nlm.nih.gov/23962497,"In conclusion, the abnormal expression of several miRNAs in hippocampus of intermediate- and late-stage AD patients suggests their involvement in AD pathogenesis, and low levels of miR-146a in CSF were associated with AD."
MicroRNAs,Alzheimers,C1101610,C0002395,23962497,https://pubmed.ncbi.nlm.nih.gov/23962497,"In conclusion, the abnormal expression of several miRNAs in hippocampus of intermediate- and late-stage AD patients suggests their involvement in AD pathogenesis, and low levels of miR-146a in CSF were associated with AD."
MicroRNAs,Alzheimers,C1101610,C0002395,24027266,https://pubmed.ncbi.nlm.nih.gov/24027266,MicroRNA (miRNA) functions in the pathogenesis of major neurodegenerative diseases such as Alzheimer's disease (AD) are only beginning to emerge.
MicroRNAs,Alzheimers,C1101610,C0002395,24027266,https://pubmed.ncbi.nlm.nih.gov/24027266,MicroRNA (miRNA) functions in the pathogenesis of major neurodegenerative diseases such as Alzheimer's disease (AD) are only beginning to emerge.
MicroRNAs,Alzheimers,C1101610,C0002395,24027266,https://pubmed.ncbi.nlm.nih.gov/24027266,MicroRNA (miRNA) functions in the pathogenesis of major neurodegenerative diseases such as Alzheimer's disease (AD) are only beginning to emerge.
MicroRNAs,Alzheimers,C1101610,C0002395,24423585,https://pubmed.ncbi.nlm.nih.gov/24423585,"Oxidative stress plays a critical role in the etiology and pathogenesis of Alzheimer's disease (AD), and the molecular mechanisms that control the neuron response to oxidative stress have been extensively studied."
MicroRNAs,Alzheimers,C1101610,C0002395,24423585,https://pubmed.ncbi.nlm.nih.gov/24423585,"These results suggested that oxidative stress alters the miRNA expression profile of hippocampal neurons, and the deregulated miRNAs might play potential roles in the pathogenesis of neurodegenerative diseases, such as Alzheimer's disease (AD)."
MicroRNAs,Alzheimers,C1101610,C0002395,24423585,https://pubmed.ncbi.nlm.nih.gov/24423585,"Oxidative stress plays a critical role in the etiology and pathogenesis of Alzheimer's disease (AD), and the molecular mechanisms that control the neuron response to oxidative stress have been extensively studied."
MicroRNAs,Alzheimers,C1101610,C0002395,24423585,https://pubmed.ncbi.nlm.nih.gov/24423585,"These results suggested that oxidative stress alters the miRNA expression profile of hippocampal neurons, and the deregulated miRNAs might play potential roles in the pathogenesis of neurodegenerative diseases, such as Alzheimer's disease (AD)."
MicroRNAs,Alzheimers,C1101610,C0002395,24423585,https://pubmed.ncbi.nlm.nih.gov/24423585,"Oxidative stress plays a critical role in the etiology and pathogenesis of Alzheimer's disease (AD), and the molecular mechanisms that control the neuron response to oxidative stress have been extensively studied."
MicroRNAs,Alzheimers,C1101610,C0002395,24423585,https://pubmed.ncbi.nlm.nih.gov/24423585,"These results suggested that oxidative stress alters the miRNA expression profile of hippocampal neurons, and the deregulated miRNAs might play potential roles in the pathogenesis of neurodegenerative diseases, such as Alzheimer's disease (AD)."
MicroRNAs,Alzheimers,C1101610,C0002395,26345540,https://pubmed.ncbi.nlm.nih.gov/26345540,Recent efforts have revealed the microRNA (miRNA) pathways in the pathogenesis of Alzheimer's disease (AD).
MicroRNAs,Alzheimers,C1101610,C0002395,26345540,https://pubmed.ncbi.nlm.nih.gov/26345540,Recent efforts have revealed the microRNA (miRNA) pathways in the pathogenesis of Alzheimer's disease (AD).
MicroRNAs,Alzheimers,C1101610,C0002395,26345540,https://pubmed.ncbi.nlm.nih.gov/26345540,Recent efforts have revealed the microRNA (miRNA) pathways in the pathogenesis of Alzheimer's disease (AD).
MicroRNAs,Alzheimers,C1101610,C0002395,26402112,https://pubmed.ncbi.nlm.nih.gov/26402112,Dysregulation of specific miRNAs leads to impaired synaptic plasticity resulting in Alzheimer's disease (AD).
MicroRNAs,Alzheimers,C1101610,C0002395,26402112,https://pubmed.ncbi.nlm.nih.gov/26402112,Dysregulation of specific miRNAs leads to impaired synaptic plasticity resulting in Alzheimer's disease (AD).
MicroRNAs,Alzheimers,C1101610,C0002395,26402112,https://pubmed.ncbi.nlm.nih.gov/26402112,Dysregulation of specific miRNAs leads to impaired synaptic plasticity resulting in Alzheimer's disease (AD).
MicroRNAs,Alzheimers,C1101610,C0002395,26708942,https://pubmed.ncbi.nlm.nih.gov/26708942,"This article also highlights Drp1 and its relationships to glycogen synthase kinase 3, cyclin-dependent kinase 5, p53, and microRNAs in AD pathogenesis."
